,year,variable,value
85,1919,Food (per capita),0.2134528179658822
86,1919,Industrial output (per capita),0.06586050529043398
87,1919,Pollution,0.0
88,1919,Population,0.12173396674584319
89,1919,Resources,1.0
90,1920,Food (per capita),0.21420859425610028
91,1920,Industrial output (per capita),0.06791189807816883
92,1920,Pollution,0.0
93,1920,Population,0.12272367379255739
94,1920,Resources,1.0
95,1921,Food (per capita),0.2150723385877781
96,1921,Industrial output (per capita),0.06996329086590368
97,1921,Pollution,0.0
98,1921,Population,0.1237133808392716
99,1921,Resources,1.0
100,1922,Food (per capita),0.2160440509609157
101,1922,Industrial output (per capita),0.07201468365363853
102,1922,Pollution,0.0
103,1922,Population,0.12470308788598579
104,1922,Resources,1.0
105,1923,Food (per capita),0.2171237313755129
106,1923,Industrial output (per capita),0.07406607644137338
107,1923,Pollution,0.0
108,1923,Population,0.1256927949327
109,1923,Resources,1.0
110,1924,Food (per capita),0.21820341179011024
111,1924,Industrial output (per capita),0.07611746922910821
112,1924,Pollution,0.0
113,1924,Population,0.1266825019794142
114,1924,Resources,1.0
115,1925,Food (per capita),0.21928309220470746
116,1925,Industrial output (per capita),0.07816886201684307
117,1925,Pollution,0.0
118,1925,Population,0.12767220902612839
119,1925,Resources,1.0
120,1926,Food (per capita),0.2203627726193048
121,1926,Industrial output (per capita),0.08022025480457791
122,1926,Pollution,0.0
123,1926,Population,0.1286619160728426
124,1926,Resources,1.0
125,1927,Food (per capita),0.221442453033902
126,1927,Industrial output (per capita),0.08227164759231276
127,1927,Pollution,0.0
128,1927,Population,0.1296516231195568
129,1927,Resources,0.9999280213056935
130,1928,Food (per capita),0.22252213344849933
131,1928,Industrial output (per capita),0.08460695634092319
132,1928,Pollution,0.0
133,1928,Population,0.1307403008709424
134,1928,Resources,0.9997840639170805
135,1929,Food (per capita),0.22360181386309655
136,1929,Industrial output (per capita),0.0872261810504092
137,1929,Pollution,0.0
138,1929,Population,0.1319279493269994
139,1929,Resources,0.999568127834161
140,1930,Food (per capita),0.22468149427769388
141,1930,Industrial output (per capita),0.09012932172077077
142,1930,Pollution,0.0
143,1930,Population,0.1332145684877278
144,1930,Resources,0.9993521917512416
145,1931,Food (per capita),0.2257611746922911
146,1931,Industrial output (per capita),0.09303246239113237
147,1931,Pollution,0.0
148,1931,Population,0.13450118764845623
149,1931,Resources,0.9991362556683222
150,1932,Food (per capita),0.22667890304469882
151,1932,Industrial output (per capita),0.09593560306149396
152,1932,Pollution,0.0
153,1932,Population,0.13578780680918465
154,1932,Resources,0.9989203195854027
155,1933,Food (per capita),0.2274346793349169
156,1933,Industrial output (per capita),0.09883874373185554
157,1933,Pollution,0.00037114014251789354
158,1933,Population,0.13707442596991304
159,1933,Resources,0.9987043835024833
160,1934,Food (per capita),0.22802850356294538
161,1934,Industrial output (per capita),0.10174188440221714
162,1934,Pollution,0.0008907363420428248
163,1934,Population,0.13836104513064143
164,1934,Resources,0.9984884474195638
165,1935,Food (per capita),0.2286223277909739
166,1935,Industrial output (per capita),0.10464502507257874
167,1935,Pollution,0.001410332541567756
168,1935,Population,0.13964766429136985
169,1935,Resources,0.9982725113366443
170,1936,Food (per capita),0.22921615201900244
171,1936,Industrial output (per capita),0.10754816574294031
172,1936,Pollution,0.0019299287410926872
173,1936,Population,0.14093428345209827
174,1936,Resources,0.998056575253725
175,1937,Food (per capita),0.22980997624703092
176,1937,Industrial output (per capita),0.11030834872877653
177,1937,Pollution,0.0024495249406176187
178,1937,Population,0.1422209026128267
179,1937,Resources,0.9978406391708056
180,1938,Food (per capita),0.23040380047505946
181,1938,Industrial output (per capita),0.11292557403008734
182,1938,Pollution,0.00296912114014255
183,1938,Population,0.14350752177355508
184,1938,Resources,0.9974327599030687
185,1939,Food (per capita),0.23099762470308796
186,1939,Industrial output (per capita),0.11539984164687274
187,1939,Pollution,0.003488717339667481
188,1939,Population,0.14479414093428347
189,1939,Resources,0.9968329374505146
190,1940,Food (per capita),0.23159144893111647
191,1940,Industrial output (per capita),0.11787410926365816
192,1940,Pollution,0.004008313539192412
193,1940,Population,0.14636447611506995
194,1940,Resources,0.9960411718131432
195,1941,Food (per capita),0.23218527315914497
196,1941,Industrial output (per capita),0.12034837688044357
197,1941,Pollution,0.004527909738717344
198,1941,Population,0.14821852731591448
199,1941,Resources,0.9952494061757721
200,1942,Food (per capita),0.23277909738717348
201,1942,Industrial output (per capita),0.12282264449722897
202,1942,Pollution,0.005047505938242275
203,1942,Population,0.15035629453681712
204,1942,Resources,0.9944576405384007
205,1943,Food (per capita),0.23337292161520198
206,1943,Industrial output (per capita),0.1252969121140144
207,1943,Pollution,0.005567102137767207
208,1943,Population,0.15249406175771973
209,1943,Resources,0.9936658749010293
210,1944,Food (per capita),0.23429664819213522
211,1944,Industrial output (per capita),0.1277711797307998
212,1944,Pollution,0.0060866983372921376
213,1944,Population,0.15463182897862235
214,1944,Resources,0.992874109263658
215,1945,Food (per capita),0.23555027711797316
216,1945,Industrial output (per capita),0.13024544734758522
217,1945,Pollution,0.006606294536817069
218,1945,Population,0.15676959619952494
219,1945,Resources,0.9920823436262866
220,1946,Food (per capita),0.23713380839271583
221,1946,Industrial output (per capita),0.13271971496437066
222,1946,Pollution,0.007150633412509863
223,1946,Population,0.15890736342042758
224,1946,Resources,0.9912905779889153
225,1947,Food (per capita),0.23871733966745853
226,1947,Industrial output (per capita),0.13519398258115609
227,1947,Pollution,0.00771971496437052
228,1947,Population,0.1610451306413302
229,1947,Resources,0.9904988123515439
230,1948,Food (per capita),0.2403008709422012
231,1948,Industrial output (per capita),0.1376682501979415
232,1948,Pollution,0.008313539192399041
233,1948,Population,0.1631828978622328
234,1948,Resources,0.9897070467141726
235,1949,Food (per capita),0.24188440221694388
236,1949,Industrial output (per capita),0.14021749562129615
237,1949,Pollution,0.00890736342042756
238,1949,Population,0.1653206650831354
239,1949,Resources,0.9889152810768014
240,1950,Food (per capita),0.2434679334916866
241,1950,Industrial output (per capita),0.14284171885122007
242,1950,Pollution,0.00950118764845608
243,1950,Population,0.16745843230403804
244,1950,Resources,0.9880311427817366
245,1951,Food (per capita),0.24505146476642928
246,1951,Industrial output (per capita),0.14554091988771325
247,1951,Pollution,0.010095011876484601
248,1951,Population,0.16959619952494065
249,1951,Resources,0.9870546318289787
250,1952,Food (per capita),0.24663499604117198
251,1952,Industrial output (per capita),0.14824012092420646
252,1952,Pollution,0.01068883610451312
253,1952,Population,0.1717339667458433
254,1952,Resources,0.9859857482185274
255,1953,Food (per capita),0.24821852731591465
256,1953,Industrial output (per capita),0.15093932196069967
257,1953,Pollution,0.01128266033254164
258,1953,Population,0.1738717339667459
259,1953,Resources,0.984916864608076
260,1954,Food (per capita),0.2498020585906573
261,1954,Industrial output (per capita),0.15363852299719286
262,1954,Pollution,0.01187648456057016
263,1954,Population,0.1760095011876485
264,1954,Resources,0.9838479809976247
265,1955,Food (per capita),0.2513855898654
266,1955,Industrial output (per capita),0.15633772403368604
267,1955,Pollution,0.01247030878859868
268,1955,Population,0.1781981676280964
269,1955,Resources,0.9827790973871734
270,1956,Food (per capita),0.25347057271047785
271,1956,Industrial output (per capita),0.15903692507017922
272,1956,Pollution,0.012965162311955778
273,1956,Population,0.18043773328808962
274,1956,Resources,0.9817102137767221
275,1957,Food (per capita),0.2560570071258909
276,1957,Industrial output (per capita),0.16173612610667243
277,1957,Pollution,0.013361045130641458
278,1957,Population,0.18272819816762817
279,1957,Resources,0.9806413301662708
280,1958,Food (per capita),0.25914489311163913
281,1958,Industrial output (per capita),0.16443532714316564
282,1958,Pollution,0.013657957244655718
283,1958,Population,0.18501866304716663
284,1958,Resources,0.9795724465558194
285,1959,Food (per capita),0.2622327790973873
286,1959,Industrial output (per capita),0.1671345281796588
287,1959,Pollution,0.013954869358669976
288,1959,Population,0.18730912792670518
289,1959,Resources,0.9785035629453681
290,1960,Food (per capita),0.2653206650831355
291,1960,Industrial output (per capita),0.1702799971208522
292,1960,Pollution,0.014251781472684235
293,1960,Population,0.1895995928062437
294,1960,Resources,0.9772631301134863
295,1961,Food (per capita),0.2684085510688837
296,1961,Industrial output (per capita),0.17387173396674585
297,1961,Pollution,0.014548693586698492
298,1961,Population,0.19189005768578218
299,1961,Resources,0.9758511480601743
300,1962,Food (per capita),0.27149643705463194
301,1962,Industrial output (per capita),0.17790973871733964
302,1962,Pollution,0.01484560570071275
303,1962,Population,0.1941805225653207
304,1962,Resources,0.9742676167854315
305,1963,Food (per capita),0.2745843230403801
306,1963,Industrial output (per capita),0.1819477434679335
307,1963,Pollution,0.01514251781472701
308,1963,Population,0.19647098744485922
309,1963,Resources,0.9726840855106887
310,1964,Food (per capita),0.2776722090261283
311,1964,Industrial output (per capita),0.1859857482185273
312,1964,Pollution,0.015439429928741267
313,1964,Population,0.19876145232439776
314,1964,Resources,0.9711005542359462
315,1965,Food (per capita),0.2807600950118765
316,1965,Industrial output (per capita),0.19002375296912113
317,1965,Pollution,0.015736342042755525
318,1965,Population,0.20105191720393625
319,1965,Resources,0.9695170229612035
320,1966,Food (per capita),0.2842537608867775
321,1966,Industrial output (per capita),0.19406175771971498
322,1966,Pollution,0.016033254156769785
323,1966,Population,0.20334238208347477
324,1966,Resources,0.9679334916864608
325,1967,Food (per capita),0.2881532066508314
326,1967,Industrial output (per capita),0.19809976247030883
327,1967,Pollution,0.01633016627078404
328,1967,Population,0.2056328469630133
329,1967,Resources,0.9663499604117182
330,1968,Food (per capita),0.292458432304038
331,1968,Industrial output (per capita),0.20213776722090263
332,1968,Pollution,0.016923990498812543
333,1968,Population,0.20792331184255178
334,1968,Resources,0.9647664291369754
335,1969,Food (per capita),0.29676365795724463
336,1969,Industrial output (per capita),0.20617577197149647
337,1969,Pollution,0.017814726840855288
338,1969,Population,0.21067092711985827
339,1969,Resources,0.962874989003255
340,1970,Food (per capita),0.3010688836104513
341,1970,Industrial output (per capita),0.21039040136427314
342,1970,Pollution,0.019002375296912274
343,1970,Population,0.2138756927949327
344,1970,Resources,0.9606756400105568
345,1971,Food (per capita),0.30537410926365793
346,1971,Industrial output (per capita),0.21478165539923263
347,1971,Pollution,0.02019002375296926
348,1971,Population,0.21753760886777518
349,1971,Resources,0.958168382158881
350,1972,Food (per capita),0.30967933491686456
351,1972,Industrial output (per capita),0.21934953407637495
352,1972,Pollution,0.02137767220902625
353,1972,Population,0.22119952494061765
354,1972,Resources,0.9556611243072051
355,1973,Food (per capita),0.31398456057007124
356,1973,Industrial output (per capita),0.2239174127535173
357,1973,Pollution,0.02256532066508324
358,1973,Population,0.22486144101346006
359,1973,Resources,0.953153866455529
360,1974,Food (per capita),0.3184947969686687
361,1974,Industrial output (per capita),0.22848529143065963
362,1974,Pollution,0.02375296912114022
363,1974,Population,0.22852335708630248
364,1974,Resources,0.9506466086038531
365,1975,Food (per capita),0.32321004411265697
366,1975,Industrial output (per capita),0.23305317010780194
367,1975,Pollution,0.02494061757719721
368,1975,Population,0.23218527315914494
369,1975,Resources,0.9481393507521773
370,1976,Food (per capita),0.328130302002036
371,1976,Industrial output (per capita),0.2376210487849443
372,1976,Pollution,0.02634420211617366
373,1976,Population,0.23584718923198741
374,1976,Resources,0.9456320929005013
375,1977,Food (per capita),0.333050559891415
376,1977,Industrial output (per capita),0.24218892746208665
377,1977,Pollution,0.027963722738069574
378,1977,Population,0.23950910530482983
379,1977,Resources,0.9431248350488254
380,1978,Food (per capita),0.3379708177807941
381,1978,Industrial output (per capita),0.24675680613922898
382,1978,Pollution,0.029799179442884943
383,1978,Population,0.24317102137767224
384,1978,Resources,0.9405131081199963
385,1979,Food (per capita),0.3428910756701731
386,1979,Industrial output (per capita),0.25132468481637127
387,1979,Pollution,0.03163463614770032
388,1979,Population,0.2468329374505147
389,1979,Resources,0.9377969121140142
390,1980,Food (per capita),0.3478113335595521
391,1980,Industrial output (per capita),0.25589256349351364
392,1980,Pollution,0.03347009285251569
393,1980,Population,0.25049485352335715
394,1980,Resources,0.9349762470308788
395,1981,Food (per capita),0.35312747426761687
396,1981,Industrial output (per capita),0.260460442170656
397,1981,Pollution,0.03530554955733106
398,1981,Population,0.2543064945083948
399,1981,Resources,0.9321555819477435
400,1982,Food (per capita),0.3588394977943672
401,1982,Industrial output (per capita),0.2650283208477983
402,1982,Pollution,0.037141006262146434
403,1982,Population,0.2582678604056277
404,1982,Resources,0.9293349168646081
405,1983,Food (per capita),0.36494740413980326
406,1983,Industrial output (per capita),0.270201443449662
407,1983,Pollution,0.038976462966961806
408,1983,Population,0.2623789512150558
409,1983,Resources,0.9265142517814727
410,1984,Food (per capita),0.37105531048523926
411,1984,Industrial output (per capita),0.275979809976247
412,1984,Pollution,0.04081191967177718
413,1984,Population,0.26649004202448384
414,1984,Resources,0.9236935866983375
415,1985,Food (per capita),0.37716321683067533
416,1985,Industrial output (per capita),0.2823634204275535
417,1985,Pollution,0.04264737637659255
418,1985,Population,0.27060113283391196
419,1985,Resources,0.9208729216152021
420,1986,Food (per capita),0.3832711231761114
421,1986,Industrial output (per capita),0.28874703087885983
422,1986,Pollution,0.04448283308140793
423,1986,Population,0.2747122236433401
424,1986,Resources,0.9176917203936207
425,1987,Food (per capita),0.38937902952154735
426,1987,Industrial output (per capita),0.29513064133016637
427,1987,Pollution,0.04630029511264667
428,1987,Population,0.27882331445276815
429,1987,Resources,0.9141499830335936
430,1988,Food (per capita),0.3947375862458998
431,1988,Industrial output (per capita),0.3015142517814727
432,1988,Pollution,0.0480997624703088
433,1988,Population,0.28293440526219626
434,1988,Resources,0.9102477095351205
435,1989,Food (per capita),0.3993467933491687
436,1989,Industrial output (per capita),0.3078978622327792
437,1989,Pollution,0.0498812351543943
438,1989,Population,0.2870454960716244
439,1989,Resources,0.9063454360366475
440,1990,Food (per capita),0.40320665083135393
441,1990,Industrial output (per capita),0.3142814726840855
442,1990,Pollution,0.051662707838479795
443,1990,Population,0.29115658688105245
444,1990,Resources,0.9024431625381745
445,1991,Food (per capita),0.40706650831353924
446,1991,Industrial output (per capita),0.3205526164255381
447,1991,Pollution,0.0534441805225653
448,1991,Population,0.2952676776904805
449,1991,Resources,0.8985408890397014
450,1992,Food (per capita),0.4109263657957245
451,1992,Industrial output (per capita),0.32671129345713673
452,1992,Pollution,0.05522565320665079
453,1992,Population,0.2993787684999086
454,1992,Resources,0.8946386155412284
455,1993,Food (per capita),0.4147862232779098
456,1993,Industrial output (per capita),0.3327575037788815
457,1993,Pollution,0.05700712589073629
458,1993,Population,0.3034898593093367
459,1993,Resources,0.8906797873543716
460,1994,Food (per capita),0.4186460807600951
461,1994,Industrial output (per capita),0.3388037141006263
462,1994,Pollution,0.0587885985748218
463,1994,Population,0.30809123576344477
464,1994,Resources,0.8866644044791313
465,1995,Food (per capita),0.4225059382422803
466,1995,Industrial output (per capita),0.34484992442237106
467,1995,Pollution,0.060570071258907295
468,1995,Population,0.31318289786223275
469,1995,Resources,0.8825924669155073
470,1996,Food (per capita),0.42604060626625956
471,1996,Industrial output (per capita),0.3508961347441158
472,1996,Pollution,0.0623515439429928
473,1996,Population,0.3187648456057007
474,1996,Resources,0.8785205293518833
475,1997,Food (per capita),0.42925008483203264
476,1997,Industrial output (per capita),0.3569423450658606
477,1997,Pollution,0.06463886689539888
478,1997,Population,0.32434679334916866
479,1997,Resources,0.8744485917882593
480,1998,Food (per capita),0.4321343739395997
481,1998,Industrial output (per capita),0.3629885553876053
482,1998,Pollution,0.06743204011612554
483,1998,Population,0.3299287410926366
484,1998,Resources,0.8703766542246352
485,1999,Food (per capita),0.4350186630471667
486,1999,Industrial output (per capita),0.36903476570935007
487,1999,Pollution,0.07073106360517278
488,1999,Population,0.3355106888361046
489,1999,Resources,0.866304716661011
490,2000,Food (per capita),0.4379029521547337
491,2000,Industrial output (per capita),0.37508097603109486
492,2000,Pollution,0.07403008709422003
493,2000,Population,0.3410926365795725
494,2000,Resources,0.8610828337669192
495,2001,Food (per capita),0.4407872412623007
496,2001,Industrial output (per capita),0.3811271863528396
497,2001,Pollution,0.07732911058326726
498,2001,Population,0.3466745843230405
499,2001,Resources,0.8547110055423595
500,2002,Food (per capita),0.44367153036986773
501,2002,Industrial output (per capita),0.38770295421126777
502,2002,Pollution,0.08062813407231452
503,2002,Population,0.35225653206650837
504,2002,Resources,0.8471892319873318
505,2003,Food (per capita),0.44623769935527663
506,2003,Industrial output (per capita),0.39480827960637943
507,2003,Pollution,0.08392715756136176
508,2003,Population,0.3578384798099763
509,2003,Resources,0.8396674584323041
510,2004,Food (per capita),0.4484857482185274
511,2004,Industrial output (per capita),0.4024431625381745
512,2004,Pollution,0.08722618105040902
513,2004,Population,0.3639746634996042
514,2004,Resources,0.8321456848772764
515,2005,Food (per capita),0.4504156769596201
516,2005,Industrial output (per capita),0.4100780454699695
517,2005,Pollution,0.09052520453945627
518,2005,Population,0.370665083135392
519,2005,Resources,0.8246239113222487
520,2006,Food (per capita),0.4523456057007127
521,2006,Industrial output (per capita),0.4177129284017645
522,2006,Pollution,0.09459085824881545
523,2006,Population,0.37790973871733974
524,2006,Resources,0.8174980205859067
525,2007,Food (per capita),0.4542755344418053
526,2007,Industrial output (per capita),0.42534781133355953
527,2007,Pollution,0.09942314217848656
528,2007,Population,0.3851543942992875
529,2007,Resources,0.8107680126682503
530,2008,Food (per capita),0.45620546318289795
531,2008,Industrial output (per capita),0.4329826942653546
532,2008,Pollution,0.10502205632846962
533,2008,Population,0.39239904988123525
534,2008,Resources,0.8044338875692795
535,2009,Food (per capita),0.45813539192399055
536,2009,Industrial output (per capita),0.44029945707499146
537,2009,Pollution,0.11062097047845267
538,2009,Population,0.39964370546318295
539,2009,Resources,0.7980997624703088
540,2010,Food (per capita),0.46006532066508316
541,2010,Industrial output (per capita),0.44729809976247026
542,2010,Pollution,0.11621988462843573
543,2010,Population,0.40688836104513065
544,2010,Resources,0.7917656373713381
545,2011,Food (per capita),0.46135193982581163
546,2011,Industrial output (per capita),0.453978622327791
547,2011,Pollution,0.1218187987784188
548,2011,Population,0.41413301662707847
549,2011,Resources,0.7854315122723673
550,2012,Food (per capita),0.4619952494061758
551,2012,Industrial output (per capita),0.46065914489311166
552,2012,Pollution,0.12741771292840184
553,2012,Population,0.42137767220902617
554,2012,Resources,0.7768540512008446
555,2013,Food (per capita),0.4619952494061758
556,2013,Industrial output (per capita),0.4673396674584323
557,2013,Pollution,0.13346906458545424
558,2013,Population,0.428622327790974
559,2013,Resources,0.7660332541567696
560,2014,Food (per capita),0.4619952494061758
561,2014,Industrial output (per capita),0.474020190023753
562,2014,Pollution,0.13997285374957594
563,2014,Population,0.4359461599366588
564,2014,Resources,0.7529691211401426
565,2015,Food (per capita),0.4619952494061758
566,2015,Industrial output (per capita),0.48070071258907365
567,2015,Pollution,0.146929080420767
568,2015,Population,0.4433491686460808
569,2015,Resources,0.7399049881235156
570,2016,Food (per capita),0.4619952494061758
571,2016,Industrial output (per capita),0.4873812351543943
572,2016,Pollution,0.15388530709195802
573,2016,Population,0.45083135391923995
574,2016,Resources,0.7271047769860122
575,2017,Food (per capita),0.4619952494061758
576,2017,Industrial output (per capita),0.4938583179378904
577,2017,Pollution,0.16084153376314905
578,2017,Population,0.4583135391923991
579,2017,Resources,0.7145684877276327
580,2018,Food (per capita),0.4608076009501188
581,2018,Industrial output (per capita),0.5001319609395619
582,2018,Pollution,0.1677977604343401
583,2018,Population,0.4657957244655582
584,2018,Resources,0.702296120348377
585,2019,Food (per capita),0.4584323040380048
586,2019,Industrial output (per capita),0.5062021641594089
587,2019,Pollution,0.17475398710553117
588,2019,Population,0.4732779097387174
589,2019,Resources,0.6888690947479548
590,2020,Food (per capita),0.4548693586698338
591,2020,Industrial output (per capita),0.5122723673792557
592,2020,Pollution,0.18523074312860546
593,2020,Population,0.4807600950118766
594,2020,Resources,0.6742874109263658
595,2021,Food (per capita),0.4513064133016627
596,2021,Industrial output (per capita),0.5183425705991027
597,2021,Pollution,0.19922802850356303
598,2021,Population,0.4882422802850357
599,2021,Resources,0.6585510688836105
600,2022,Food (per capita),0.44774346793349173
601,2022,Industrial output (per capita),0.5244127738189497
602,2022,Pollution,0.21674584323040383
603,2022,Population,0.49572446555819477
604,2022,Resources,0.6428147268408552
605,2023,Food (per capita),0.44418052256532076
606,2023,Industrial output (per capita),0.5304829770387965
607,2023,Pollution,0.2342636579572447
608,2023,Population,0.5032066508313539
609,2023,Resources,0.628760886777514
610,2024,Food (per capita),0.44061757719714967
611,2024,Industrial output (per capita),0.5365531802586435
612,2024,Pollution,0.252375296912114
613,2024,Population,0.5105700712589074
614,2024,Resources,0.6163895486935868
615,2025,Food (per capita),0.4344154130377409
616,2025,Industrial output (per capita),0.5426233834784904
617,2025,Pollution,0.27108076009501186
618,2025,Population,0.5178147268408552
619,2025,Resources,0.6057007125890738
620,2026,Food (per capita),0.42557403008709427
621,2026,Industrial output (per capita),0.546670185625055
622,2026,Pollution,0.2903800475059383
623,2026,Population,0.5249406175771972
624,2026,Resources,0.5950118764845606
625,2027,Food (per capita),0.41409342834520985
626,2027,Industrial output (per capita),0.5486935866983373
627,2027,Pollution,0.3096793349168646
628,2027,Population,0.5320665083135392
629,2027,Resources,0.5797044074953814
630,2028,Food (per capita),0.402579836368435
631,2028,Industrial output (per capita),0.5486935866983373
632,2028,Pollution,0.3313869094747955
633,2028,Population,0.5391923990498811
634,2028,Resources,0.5597783056215361
635,2029,Food (per capita),0.3910332541567696
636,2029,Industrial output (per capita),0.5486935866983373
637,2029,Pollution,0.3555027711797309
638,2029,Population,0.5463182897862233
639,2029,Resources,0.5352335708630246
640,2030,Food (per capita),0.3794536817102138
641,2030,Industrial output (per capita),0.5486935866983373
642,2030,Pollution,0.38202692003167077
643,2030,Population,0.5520365971672386
644,2030,Resources,0.5136447611506995
645,2031,Food (per capita),0.367874109263658
646,2031,Industrial output (per capita),0.5467141726049091
647,2031,Pollution,0.4085180786487201
648,2031,Population,0.556347321192927
649,2031,Resources,0.4950118764845606
650,2032,Food (per capita),0.3494655581947745
651,2032,Industrial output (per capita),0.5427553444180523
652,2032,Pollution,0.43497624703087895
653,2032,Population,0.5592504618632885
654,2032,Resources,0.47933491686460816
655,2033,Food (per capita),0.324228028503563
656,2033,Industrial output (per capita),0.5368171021377673
657,2033,Pollution,0.4614014251781473
658,2033,Population,0.5621536025336501
659,2033,Resources,0.4636579572446557
660,2034,Food (per capita),0.2937450514647664
661,2034,Industrial output (per capita),0.5287015043547111
662,2034,Pollution,0.4878266033254158
663,2034,Population,0.5650567432040117
664,2034,Resources,0.44798099762470317
665,2035,Food (per capita),0.2648456057007126
666,2035,Industrial output (per capita),0.5184085510688837
667,2035,Pollution,0.5196951702296121
668,2035,Population,0.5679598838743732
669,2035,Resources,0.43385363646646313
670,2036,Food (per capita),0.23317498020585906
671,2036,Industrial output (per capita),0.5018474531538665
672,2036,Pollution,0.5570071258907364
673,2036,Population,0.5708630245447348
674,2036,Resources,0.42127587376993564
675,2037,Food (per capita),0.20190023752969122
676,2037,Industrial output (per capita),0.48119556611243075
677,2037,Pollution,0.5997624703087886
678,2037,Population,0.5737661652150964
679,2037,Resources,0.4102477095351205
680,2038,Food (per capita),0.17102137767220904
681,2038,Industrial output (per capita),0.4564528899445765
682,2038,Pollution,0.6438374241224598
683,2038,Population,0.576669305885458
684,2038,Resources,0.3992195453003055
685,2039,Food (per capita),0.14053840063341258
686,2039,Industrial output (per capita),0.4297307996832938
687,2039,Pollution,0.68923198733175
688,2039,Population,0.578152295491963
689,2039,Resources,0.3881913810654904
690,2040,Food (per capita),0.11441013460015848
691,2040,Industrial output (per capita),0.4010292953285828
692,2040,Pollution,0.7359461599366588
693,2040,Population,0.5782151340346116
694,2040,Resources,0.37716321683067533
695,2041,Food (per capita),0.09263657957244674
696,2041,Industrial output (per capita),0.3703483768804434
697,2041,Pollution,0.8088545790446028
698,2041,Population,0.5768578215134035
699,2041,Resources,0.36613505259586027
700,2042,Food (per capita),0.07957244655581967
701,2042,Industrial output (per capita),0.3434283452098179
702,2042,Pollution,0.8968725257323832
703,2042,Population,0.5755005089921955
704,2042,Resources,0.35551690985182677
705,2043,Food (per capita),0.06782792293481148
706,2043,Industrial output (per capita),0.32026920031670625
708,2043,Population,0.5741431964709875
709,2043,Resources,0.3453087885985749
710,2044,Food (per capita),0.05740300870942214
711,2044,Industrial output (per capita),0.3008709422011085
713,2044,Population,0.5727858839497796
714,2044,Resources,0.3355106888361045
715,2045,Food (per capita),0.048297703879651675
716,2045,Industrial output (per capita),0.28516759039324363
718,2045,Population,0.5714285714285716
719,2045,Resources,0.32571258907363426
720,2046,Food (per capita),0.04133676431776194
721,2046,Industrial output (per capita),0.2731591448931117
723,2046,Population,0.5665648682275761
724,2046,Resources,0.3173707725370433
