,year,value,variable
7,1939.7478030113648,0.0131193232148469,Pollution
7,1944.0150568236447,0.158165403237352,Population
8,1944.0150568236447,0.9678585251098538,Resources
8,1944.562140645732,0.1312741840027909,Industrial output (per capita)
8,1944.7809741745668,0.2345797629064351,Food (per capita)
8,1945.328057996654,0.0150570211230103,Pollution
8,1949.595311808934,0.165932711435043,Population
9,1949.595311808934,0.9582010398247182,Resources
9,1950.1423956310207,0.149134667469941,Industrial output (per capita)
9,1950.361229159856,0.2420600069610805,Food (per capita)
9,1950.9083129819437,0.0171232354398291,Pollution
10,1955.1755667942236,0.946700602741234,Resources
10,1955.5690015428731,0.1665271284650774,Industrial output (per capita)
10,1955.9414841451453,0.2573771021208535,Food (per capita)
10,1956.4885679672325,0.0193100166967267,Pollution
11,1960.7558217795129,0.9329093937962516,Resources
39,1960.9022556390976,0.184535786145444,Population
11,1961.3029056016,0.1900658486005072,Industrial output (per capita)
11,1961.5217391304348,0.2755074258824659,Food (per capita)
11,1962.068822952522,0.0216747777223123,Pollution
12,1966.3360767648016,0.9164714534523948,Resources
12,1966.883160586889,0.2105070387136312,Industrial output (per capita)
12,1967.101994115724,0.2954519950281223,Food (per capita)
12,1967.6490779378112,0.0242462249308902,Pollution
9,1971.6918387334415,0.2045823444166454,Population
13,1971.9163317500916,0.8967954295749913,Resources
13,1972.4634155721783,0.2343843866190029,Industrial output (per capita)
13,1972.6822491010132,0.3177504901467469,Food (per capita)
13,1973.2293329231009,0.0271793729597047,Pollution
14,1977.4965867353808,0.8732325572007597,Resources
10,1977.4965867353808,0.2277114187356475,Population
14,1978.043670557468,0.2611668236519895,Industrial output (per capita)
14,1978.262504086303,0.3451472444458495,Food (per capita)
14,1978.8095879083896,0.0307325795374961,Pollution
15,1982.9674249562524,0.8453743357289784,Resources
11,1983.0768417206696,0.2518241592383162,Population
15,1983.459800396131,0.2902261838599496,Industrial output (per capita)
15,1983.842759071592,0.3743754679775789,Food (per capita)
15,1984.389842893679,0.0359794645592527,Pollution
16,1987.891179355037,0.8153123752262073,Resources
16,1988.5476799415417,0.3199880421867184,Industrial output (per capita)
12,1988.6570967059592,0.2789740383744004,Population
16,1989.4230140568811,0.3992632816664679,Food (per capita)
16,1989.9700978789683,0.0471341296448737,Pollution
17,1992.0490164029,0.7852200032364125,Resources
17,1993.4167259581177,0.3499010796330186,Industrial output (per capita)
13,1994.18264330904,0.3079644778270997,Population
17,1995.0032690421704,0.4209072705389509,Food (per capita)
17,1995.5503528642575,0.059626513637084,Pollution
18,1995.6050612464664,0.7551968062823803,Resources
18,1998.2857719746935,0.3797644288858313,Industrial output (per capita)
19,1998.6687306501549,0.7254323106621401,Resources
14,1999.544064765494,0.3374282164440215,Population
18,2000.58352402746,0.4397954436382021,Food (per capita)
18,2001.130607849547,0.0745474602794543,Pollution
20,2001.349441378382,0.695686549095866,Resources
19,2003.537776666731,0.4085071355803777,Industrial output (per capita)
21,2003.7566101955656,0.6654404218257387,Resources
15,2004.6866526931135,0.3669290869814543,Population
22,2005.8902371017057,0.635132858699931,Resources
19,2006.1637790127493,0.4532121741710171,Food (per capita)
19,2006.6233294233025,0.0982706367535359,Pollution
23,2007.8050304790108,0.6046069109877075,Resources
20,2009.11803165202,0.4291578825179247,Industrial output (per capita)
16,2009.665115474107,0.3966015481084198,Population
24,2009.739045720335,0.5645285706072518,Resources
20,2011.4157837047865,0.1285725540213138,Pollution
25,2011.4279411230548,0.529472948528079,Resources
20,2011.7440339980385,0.4587977948815666,Food (per capita)
26,2012.9354609883617,0.4986026461522324,Resources
21,2013.9749202503276,0.4322430989993575,Industrial output (per capita)
17,2014.4247447262655,0.426200409580147,Population
27,2014.4247447262655,0.4675173466427859,Resources
21,2015.792454281484,0.158448814742371,Pollution
28,2015.916791513776,0.4375344978812236,Resources
43,2016.1654135338345,0.4277847536345895,Industrial output (per capita)
21,2017.0142748174785,0.4368626121713499,Food (per capita)
29,2017.59285740508,0.4070101461095021,Resources
44,2018.421052631579,0.4035491142342781,Industrial output (per capita)
18,2018.8014153029635,0.4556834942698516,Population
22,2019.4032075072591,0.4060749900243723,Food (per capita)
30,2019.5673326538852,0.3758034771906637,Resources
22,2019.8955829471377,0.1883744616334733,Pollution
22,2019.9502913293463,0.3840662786038317,Industrial output (per capita)
31,2021.4274176489816,0.345931605847827,Resources
23,2021.4274176489816,0.3752609493427263,Food (per capita)
23,2021.5368344133992,0.3559676191182488,Industrial output (per capita)
19,2022.740418821991,0.4856780495608899,Population
24,2022.740418821991,0.3166904429150693,Industrial output (per capita)
24,2023.4516277907044,0.3443612930394709,Food (per capita)
32,2023.5610445551215,0.3160376884824256,Resources
23,2023.6157529373304,0.2194837691901463,Pollution
25,2024.177757227293,0.2770589751999683,Industrial output (per capita)
26,2025.2768983607589,0.2471219720509646,Industrial output (per capita)
25,2025.639963079053,0.3143924008511453,Food (per capita)
33,2026.0776301367227,0.2857512455073886,Resources
20,2026.4058804299752,0.5153528569943875,Population
27,2026.654172318461,0.2146132646503021,Industrial output (per capita)
24,2026.788839105436,0.2646400073227475,Pollution
26,2028.1018402784453,0.2841535442616794,Food (per capita)
28,2028.2491320767,0.1854712500171471,Industrial output (per capita)
34,2029.2507163048283,0.2551650482312664,Resources
21,2030.0166336557504,0.5449583609040825,Population
25,2030.7825510066723,0.3077995087550609,Pollution
27,2030.9466761532988,0.2550704985639469,Food (per capita)
29,2031.056092917716,0.1532510527211944,Industrial output (per capita)
28,2033.5179701171085,0.2213503112153543,Food (per capita)
22,2033.6820952637347,0.5745089478538625,Population
35,2033.7368036459436,0.2249381941100895,Resources
30,2034.5027209968653,0.1238655980650552,Industrial output (per capita)
26,2036.362805991962,0.3116282969101749,Pollution
29,2036.4175143741709,0.1949747101978857,Food (per capita)
23,2037.511682018345,0.6041324817332527,Population
31,2039.1529334846064,0.0934707070052053,Industrial output (per capita)
36,2039.2076418668155,0.1999377254745801,Resources
30,2040.1923927465723,0.1639182981665933,Food (per capita)
27,2040.411226275407,0.2856383464738002,Pollution
24,2041.7242274484165,0.6337634532394556,Population
28,2042.599561563756,0.254544361790794,Pollution
32,2044.5690633232696,0.066254371440818,Industrial output (per capita)
29,2044.6237717054785,0.2244615439884661,Pollution
31,2044.6237717054785,0.1334009661323607,Food (per capita)
37,2044.7878968521045,0.1833390292106183,Resources
25,2046.7573986116183,0.6619679385483224,Population
30,2046.9762321404528,0.1952588686365375,Pollution
31,2049.4381093398456,0.1621845132960633,Pollution
32,2049.9304847797243,0.1076858859473181,Food (per capita)
33,2050.149318308559,0.0453554543140432,Industrial output (per capita)
38,2050.3681518373937,0.172051019592987,Resources
32,2051.954694921447,0.1335700981975284,Pollution
26,2052.337653596908,0.672634594590767,Population
33,2054.580697267465,0.1055510244495253,Pollution
33,2055.5107397650136,0.092063207769709,Food (per capita)
34,2055.7295732938483,0.0300772531080879,Industrial output (per capita)
39,2055.9484068226834,0.1640240586403464,Resources
27,2057.3161163779014,0.6528228929758001,Population
34,2057.6443666711534,0.0720835736647853,Pollution
28,2061.090994750303,0.6215240616391972,Population
34,2061.090994750303,0.0810163320322359,Food (per capita)
35,2061.309828279137,0.0193691130594079,Industrial output (per capita)
40,2061.5286618079726,0.1580352531033251,Resources
35,2062.185162394477,0.0429133370562266,Pollution
29,2064.1546641539912,0.5910309066203379,Population
35,2066.671249735592,0.0736036883457114,Food (per capita)
36,2066.890083264427,0.0125191150932516,Industrial output (per capita)
41,2067.108916793262,0.1534013903214754,Resources
30,2067.218333557679,0.5606162817923346,Population
36,2067.7654173797664,0.0250601704871583,Pollution
31,2070.5555448724112,0.5302561378114273,Population
36,2072.2515047208813,0.0704797829562781,Food (per capita)
37,2072.4703382497164,0.0082412118487775,Industrial output (per capita)
42,2072.689171778551,0.149600013554456,Resources
37,2073.345672365056,0.0156179833093063,Pollution
32,2074.3304232448127,0.5004012970354839,Population
37,2077.8317597061705,0.0733153291764572,Food (per capita)
38,2078.0505932350056,0.0057890365540691,Industrial output (per capita)
43,2078.2694267638403,0.1463899889221093,Resources
33,2078.4882602926755,0.4705265052387768,Population
38,2078.925927350345,0.0113458213476933,Pollution
34,2082.263138665077,0.4446737901013374,Population
38,2083.41201469146,0.081082637374148,Food (per capita)
39,2083.630848220295,0.0045884609230368,Industrial output (per capita)
44,2083.8496817491296,0.1435359238271382,Resources
39,2084.5061823356345,0.0099270769679467,Pollution
35,2088.55460261908,0.4045992585414397,Population
39,2088.9922696767494,0.0887121547831775,Food (per capita)
40,2089.211103205584,0.004260560286861,Industrial output (per capita)
45,2089.4299367344192,0.1413421062611706,Resources
40,2090.086437320924,0.009484350674553,Pollution
36,2094.134857604369,0.3776362144697869,Population
40,2094.572524662038,0.0920127449150894,Food (per capita)
41,2094.7913581908733,0.0045858409853983,Industrial output (per capita)
46,2095.0101917197085,0.1399061380328411,Resources
41,2095.666692306213,0.009443514181422,Pollution
42,2099.003903620945,0.0094183043378826,Pollution
37,2099.4415706786144,0.3602006882226453,Population
42,2100.152779647328,0.005060979248451,Industrial output (per capita)
41,2100.152779647328,0.0926723449309881,Food (per capita)
47,2100.5904467049977,0.1393313622336467,Resources
48,2103.435282579851,0.1390503847137851,Resources
42,2103.48999096206,0.09295084895079,Food (per capita)
