,Year,Country,Value 1,Value 2
50,2011,Indonesia,54.50131102,-16.7
51,2012,Indonesia,53.99000867,-17.5
52,2013,Indonesia,53.47870632,-18.3
53,2014,Indonesia,52.96740396,-19.1
54,2015,Indonesia,52.45610161,-19.8
55,2016,Indonesia,50.74345453,-22.5
56,2017,Indonesia,50.03933382,-23.5
57,2018,Indonesia,49.71681778,-24.0
58,1990,North Korea,67.91416131,0.0
59,1991,North Korea,67.83640887,-0.1
60,1992,North Korea,67.75865644,-0.2
61,1993,North Korea,67.680904,-0.3
62,1994,North Korea,67.60315157,-0.5
63,1995,North Korea,67.52539913,-0.6
64,1996,North Korea,67.44764669,-0.7
65,1997,North Korea,67.36989426,-0.8
66,1998,North Korea,67.29214182,-0.9
67,1999,North Korea,67.21438938,-1.0
68,2000,North Korea,67.13663695,-1.1
69,2001,North Korea,66.85032045,-1.6
70,2002,North Korea,66.72383511,-1.8
71,2003,North Korea,66.625,-1.9
72,2004,North Korea,66.51931419,-2.1
73,2005,North Korea,66.40681466,-2.2
74,2006,North Korea,66.29438481,-2.4
75,2007,North Korea,66.17519604,-2.6
76,2008,North Korea,66.03567378,-2.8
77,2009,North Korea,65.89635277,-3.0
78,2010,North Korea,65.70987654,-3.3
79,2011,North Korea,65.61374627,-3.4
80,2012,North Korea,65.43006885,-3.7
81,2013,North Korea,65.24952271,-3.9
82,2014,North Korea,65.1442061,-4.1
83,2015,North Korea,65.03155626,-4.2
84,2016,North Korea,64.87911457,-4.5
85,2017,North Korea,64.78309917,-4.6
86,2018,North Korea,64.67391304,-4.8
87,1990,Tanzania,64.78890269,0.0
88,1991,Tanzania,64.36894333,-0.7
89,1992,Tanzania,63.94898397,-1.3
90,1993,Tanzania,63.52902461,-1.9
91,1994,Tanzania,63.10906525,-2.6
92,1995,Tanzania,62.68910589,-3.2
93,1996,Tanzania,62.26914653,-3.9
94,1997,Tanzania,61.84918718,-4.5
95,1998,Tanzania,61.42922782,-5.2
96,1999,Tanzania,61.00926846,-5.8
97,2000,Tanzania,60.5893091,-6.5
98,2001,Tanzania,60.16934974,-7.1
99,2002,Tanzania,59.74939038,-7.8
100,2003,Tanzania,59.32943102,-8.4
101,2004,Tanzania,58.90947166,-9.1
102,2005,Tanzania,58.48951231,-9.7
103,2006,Tanzania,58.06955295,-10.4
104,2007,Tanzania,57.64959359,-11.0
105,2008,Tanzania,57.22963423,-11.7
106,2009,Tanzania,56.80967487,-12.3
107,2010,Tanzania,56.38971551,-13.0
108,2011,Tanzania,55.96975389,-13.6
109,2012,Tanzania,55.54979228,-14.3
110,2013,Tanzania,55.12983066,-14.9
111,2014,Tanzania,54.70986904,-15.6
112,2015,Tanzania,54.28990743,-16.2
113,2016,Tanzania,53.76044254,-17.0
114,2017,Tanzania,53.23097765,-17.8
115,2018,Tanzania,52.70151276,-18.7
116,1990,Paraguay,64.298666,0.0
117,1991,Paraguay,63.65577397,-1.0
118,1992,Paraguay,63.01288195,-2.0
119,1993,Paraguay,62.36998993,-3.0
120,1994,Paraguay,61.72709791,-4.0
121,1995,Paraguay,61.08420589,-5.0
122,1996,Paraguay,60.44131387,-6.0
123,1997,Paraguay,59.79842185,-7.0
124,1998,Paraguay,59.15552983,-8.0
125,1999,Paraguay,58.51263781,-9.0
126,2000,Paraguay,57.86974578,-10.0
127,2001,Paraguay,57.00857287,-11.3
128,2002,Paraguay,56.14739995,-12.7
129,2003,Paraguay,55.28622703,-14.0
130,2004,Paraguay,54.42505412,-15.4
131,2005,Paraguay,53.5638812,-16.7
132,2006,Paraguay,52.70270828,-18.0
133,2007,Paraguay,51.84153536,-19.4
134,2008,Paraguay,50.98036245,-20.7
135,2009,Paraguay,50.11918953,-22.1
136,2010,Paraguay,49.25801661,-23.4
137,2011,Paraguay,48.21534357,-25.0
138,2012,Paraguay,47.17267053,-26.6
139,2013,Paraguay,46.12999748,-28.3
140,2014,Paraguay,45.08732444,-29.9
141,2015,Paraguay,44.0446514,-31.5
142,2016,Paraguay,43.62730934,-32.2
143,2017,Paraguay,42.63848477,-33.7
144,2018,Paraguay,41.93538887,-34.8
