,year,ind,value
137,1804,Employment,-0.9747945599138375
138,1804,Average hours,-0.39660586673306125
139,1804,Productivity,0.6165046119782331
140,1805,Real GDP,1.547332912637207
141,1805,Employment,-0.9050542381160295
142,1805,Average hours,-0.3351601309870965
143,1805,Productivity,0.2894431508225793
144,1806,Real GDP,1.3291515733962207
145,1806,Employment,-0.9026966085308523
146,1806,Average hours,-0.2737143952411319
147,1806,Productivity,0.13740584818460866
148,1807,Real GDP,2.0549433871459093
149,1807,Employment,-1.1939016345761029
150,1807,Average hours,-0.21226865949516838
151,1807,Productivity,0.6215888505801554
152,1808,Real GDP,1.492997819389235
153,1808,Employment,-1.0163875937559887
154,1808,Average hours,-0.15082292374920508
155,1808,Productivity,0.29579515813115814
156,1809,Real GDP,1.5443936911546596
157,1809,Employment,-1.0549977504492578
158,1809,Average hours,-0.08937718800324242
159,1809,Productivity,0.36985716211841624
160,1810,Real GDP,1.701378487650348
161,1810,Employment,-1.1341347270252053
162,1810,Average hours,-0.0279314522572424
163,1810,Productivity,0.5061786009757632
164,1811,Real GDP,1.507944360089628
165,1811,Employment,-1.0917264051901907
166,1811,Average hours,-0.027931452257242684
167,1811,Productivity,0.3554541854565631
168,1812,Real GDP,0.9802203667382553
169,1812,Employment,-0.9617042730160861
170,1812,Average hours,-0.02793145225724274
171,1812,Productivity,-0.044849951539870814
172,1813,Real GDP,1.7325267443529682
173,1813,Employment,-1.225015129159223
174,1813,Average hours,-0.02793145225724212
175,1813,Productivity,0.43920801390853
176,1814,Real GDP,1.5204386084654067
177,1814,Employment,-1.1255563992762574
178,1814,Average hours,-0.02793145225724019
179,1814,Productivity,0.325445555540023
180,1815,Real GDP,1.981690136475936
181,1815,Employment,-1.4158433277795375
182,1815,Average hours,-0.027931452257240454
183,1815,Productivity,0.4790578244128268
184,1816,Real GDP,1.4966752990505363
185,1816,Employment,-1.178597804232048
186,1816,Average hours,-0.02793145225723979
187,1816,Productivity,0.22461876814997614
188,1817,Real GDP,1.011455013816869
189,1817,Employment,-0.9411847698140294
190,1817,Average hours,-0.027931452257239198
191,1817,Productivity,-0.01348906383432994
192,1818,Real GDP,1.467436826280013
193,1818,Employment,-1.058413823896344
194,1818,Average hours,-0.027931452257239513
195,1818,Productivity,0.32752464439721074
196,1819,Real GDP,0.9892014329325282
197,1819,Employment,-0.899145358839039
198,1819,Average hours,-0.027931452257237126
199,1819,Productivity,0.010534209374888758
200,1820,Real GDP,1.1569865518760813
201,1820,Employment,-1.1216089866532575
202,1820,Average hours,-0.027931452257234656
203,1820,Productivity,-0.049146150687417255
204,1821,Real GDP,1.4311305642020744
205,1821,Employment,-1.3027338799402277
206,1821,Average hours,-0.02793145225723457
207,1821,Productivity,0.0440796910005793
208,1822,Real GDP,2.036025752952339
209,1822,Employment,-1.5863585198379213
210,1822,Average hours,-0.027931452257234878
211,1822,Productivity,0.36820622329450947
212,1823,Real GDP,1.78772018502938
213,1823,Employment,-1.6653768399453466
214,1823,Average hours,-0.02793145225723343
215,1823,Productivity,0.045483159027145954
216,1824,Real GDP,2.5572639105215673
217,1824,Employment,-1.9772212168917367
218,1824,Average hours,-0.027931452257234313
219,1824,Productivity,0.49675391760843174
220,1825,Real GDP,1.7150173707269265
221,1825,Employment,-1.5057174516103016
222,1825,Average hours,-0.02793145225723289
223,1825,Productivity,0.15112794205573027
224,1826,Real GDP,1.7047640736031504
225,1826,Employment,-1.3781562519517494
226,1826,Average hours,-0.027931452257232908
227,1826,Productivity,0.26634407400709165
228,1827,Real GDP,2.307079171818251
229,1827,Employment,-1.6169764050284297
230,1827,Average hours,-0.027931452257231527
231,1827,Productivity,0.6164163458856233
232,1828,Real GDP,2.3476194385863147
233,1828,Employment,-1.504630659346907
234,1828,Average hours,-0.027931452257232148
235,1828,Productivity,0.768799522278879
236,1829,Real GDP,2.596461745903758
237,1829,Employment,-1.6271120017898901
238,1829,Average hours,-0.02793145225723161
239,1829,Productivity,0.895601031598709
240,1830,Real GDP,2.2325532688336187
241,1830,Employment,-1.4186490638025613
242,1830,Average hours,-0.027931452257220192
243,1830,Productivity,0.750634300350902
244,1831,Real GDP,2.366825252832597
245,1831,Employment,-1.4607923974674184
246,1831,Average hours,-0.005044100059579415
247,1831,Productivity,0.8638402776446663
248,1832,Real GDP,2.2279686600758364
249,1832,Employment,-1.1779749350823838
250,1832,Average hours,0.017843252138060817
251,1832,Productivity,1.0324599071187026
252,1833,Real GDP,2.045250056266983
253,1833,Employment,-1.1128632449838052
254,1833,Average hours,0.04073060433570112
255,1833,Productivity,0.9400150221491064
256,1834,Real GDP,1.8433399642413626
257,1834,Employment,-1.094629324760905
258,1834,Average hours,0.06361795653334061
259,1834,Productivity,0.7842689680143673
260,1835,Real GDP,2.2238464202841195
261,1835,Employment,-1.2146834840308165
262,1835,Average hours,0.08650530873097884
263,1835,Productivity,1.0606306774074756
264,1836,Real GDP,3.02138685498826
265,1836,Employment,-1.6224169573046416
266,1836,Average hours,0.10939266092861843
267,1836,Productivity,1.479143914056753
268,1837,Real GDP,2.1657749047361206
269,1837,Employment,-1.264310505716359
270,1837,Average hours,0.1322800131262577
271,1837,Productivity,1.0184303926082117
272,1838,Real GDP,2.61915766122225
273,1838,Employment,-1.4979240092260346
274,1838,Average hours,0.1551673653238989
275,1838,Productivity,1.2559186192427316
276,1839,Real GDP,2.7511810955967757
277,1839,Employment,-1.680021001819691
278,1839,Average hours,0.17805471752153784
279,1839,Productivity,1.230041702503438
280,1840,Real GDP,2.347929769024092
281,1840,Employment,-1.074145303903912
282,1840,Average hours,0.200942069719167
283,1840,Productivity,1.4726762405360827
284,1841,Real GDP,1.7691044467302703
285,1841,Employment,-0.697137913891033
286,1841,Average hours,0.20094206971916653
287,1841,Productivity,1.2702638464636666
288,1842,Real GDP,1.6277167862124966
289,1842,Employment,-0.8904363408257776
290,1842,Average hours,0.2009420697191679
291,1842,Productivity,0.9353990070921124
292,1843,Real GDP,1.863618664853147
293,1843,Employment,-1.2368309354535998
294,1843,Average hours,0.20094206971916723
295,1843,Productivity,0.831932262933673
296,1844,Real GDP,2.255694925969812
297,1844,Employment,-1.391996078247383
298,1844,Average hours,0.20094206971916742
299,1844,Productivity,1.0587908695601276
300,1845,Real GDP,2.121713106447544
301,1845,Employment,-1.4327545475191203
302,1845,Average hours,0.20094206971916967
303,1845,Productivity,0.887649797743908
304,1846,Real GDP,2.3378780369976866
305,1846,Employment,-1.582306570138732
306,1846,Average hours,0.20094206971916942
307,1846,Productivity,0.9508080947908717
308,1847,Real GDP,2.2874113475680162
309,1847,Employment,-1.4726746802824513
310,1847,Average hours,0.20094206971916923
311,1847,Productivity,1.0103560643794431
312,1848,Real GDP,2.0975137646282818
313,1848,Employment,-1.2047624001348305
314,1848,Average hours,0.20094206971917045
315,1848,Productivity,1.0966101208375219
316,1849,Real GDP,2.029705467551796
317,1849,Employment,-0.858482930291881
318,1849,Average hours,0.2009420697191709
319,1849,Productivity,1.375964625769421
320,1850,Real GDP,1.8618313389163568
321,1850,Employment,-1.0056686042742897
322,1850,Average hours,0.20094206971916956
323,1850,Productivity,1.049230171704771
324,1851,Real GDP,2.591384433817171
325,1851,Employment,-1.52910677135905
326,1851,Average hours,0.20094206971916853
327,1851,Productivity,1.2547390687478688
328,1852,Real GDP,2.99608243522962
329,1852,Employment,-1.6170299066658427
330,1852,Average hours,0.20094206971916803
331,1852,Productivity,1.5678848949696542
332,1853,Real GDP,3.000220991582079
333,1853,Employment,-1.503810258059935
334,1853,Average hours,0.20094206971916823
335,1853,Productivity,1.6792100292582828
336,1854,Real GDP,2.635267372649282
337,1854,Employment,-1.296329552627807
338,1854,Average hours,0.20094206971916936
339,1854,Productivity,1.5311073683667265
340,1855,Real GDP,2.093408239006115
341,1855,Employment,-1.1305794676793361
342,1855,Average hours,0.20094206971916986
343,1855,Productivity,1.162162046785579
344,1856,Real GDP,2.0941038544227806
345,1856,Employment,-0.9360279752168543
346,1856,Average hours,0.2009420697191647
347,1856,Productivity,1.3592352369403709
348,1857,Real GDP,2.3011288019771814
349,1857,Employment,-1.1131247061583742
350,1857,Average hours,0.19991296205590173
351,1857,Productivity,1.387968930015023
352,1858,Real GDP,1.9757384681588401
353,1858,Employment,-1.1351045893857887
354,1858,Average hours,0.19892027162361473
355,1858,Productivity,1.0364672995526358
356,1859,Real GDP,2.229539314762041
357,1859,Employment,-1.5036528726880678
358,1859,Average hours,0.1979641378134323
359,1859,Productivity,0.9156469533765937
360,1860,Real GDP,2.5754571923439835
361,1860,Employment,-1.7855853710798606
362,1860,Average hours,0.19704470081831765
363,1860,Productivity,0.9767930157007407
364,1861,Real GDP,2.3035062340788928
365,1861,Employment,-1.4141798847697098
366,1861,Average hours,0.21159749028353048
367,1861,Productivity,1.0941929841402311
368,1862,Real GDP,1.8856465573272865
369,1862,Employment,-1.1949786061553014
370,1862,Average hours,0.2339030292270036
371,1862,Productivity,0.9196028127286319
372,1863,Real GDP,2.0463294764823354
373,1863,Employment,-0.9251421021141034
374,1863,Average hours,0.21380882225508682
375,1863,Productivity,1.323223221411639
376,1864,Real GDP,1.800578574647074
377,1864,Employment,-0.9327212243155477
378,1864,Average hours,0.20393411764196134
379,1864,Productivity,1.0640871582542588
380,1865,Real GDP,2.3460111594353337
381,1865,Employment,-0.8679792359336043
382,1865,Average hours,0.1940692171474548
383,1865,Productivity,1.6590704919828543
384,1866,Real GDP,1.9950445030513406
385,1866,Employment,-0.7971599203652144
386,1866,Average hours,0.23882977814442513
387,1866,Productivity,1.4274772167775867
388,1867,Real GDP,1.9910204633531936
389,1867,Employment,-0.6761945504668008
390,1867,Average hours,0.26528735090989075
391,1867,Productivity,1.5731400725370954
392,1868,Real GDP,2.410379287498921
393,1868,Employment,-0.7779766279460274
394,1868,Average hours,0.3083110126200551
395,1868,Productivity,1.9342307506772176
396,1869,Real GDP,2.2318438663600655
397,1869,Employment,-0.5852698442039492
398,1869,Average hours,0.29525060839804723
399,1869,Productivity,1.9370840640910871
400,1870,Real GDP,2.7910099934543267
401,1870,Employment,-0.6409748999253014
402,1870,Average hours,0.27694479422560525
403,1870,Productivity,2.413114828596446
404,1871,Real GDP,3.179098837246138
405,1871,Employment,-0.7805619244576414
406,1871,Average hours,0.2883465145610457
407,1871,Productivity,2.6684534641943225
408,1872,Real GDP,3.32378254318879
409,1872,Employment,-0.9622487947011497
410,1872,Average hours,0.4414683748440509
411,1872,Productivity,2.788293707580878
412,1873,Real GDP,2.8773397413237047
413,1873,Employment,-0.8921195308853355
414,1873,Average hours,0.6675975150647175
415,1873,Productivity,2.6483714739759012
416,1874,Real GDP,3.1648350875875737
417,1874,Employment,-0.7295845856693489
418,1874,Average hours,0.7705340630629447
419,1874,Productivity,3.205012356250285
420,1875,Real GDP,2.7908559908967705
421,1875,Employment,-0.6579683323617345
422,1875,Average hours,0.7992097866083461
423,1875,Productivity,2.9344690487431953
424,1876,Real GDP,2.70324812453547
425,1876,Employment,-0.6234611068240246
426,1876,Average hours,0.7382656298042483
427,1876,Productivity,2.8197061707914255
428,1877,Real GDP,2.730968334605304
429,1877,Employment,-0.6157800957415946
430,1877,Average hours,0.7188617132275685
431,1877,Productivity,2.835810039457171
432,1878,Real GDP,2.3299691784007046
433,1878,Employment,-0.5095772045240234
434,1878,Average hours,0.6662247587434418
435,1878,Productivity,2.4879893607872514
436,1879,Real GDP,1.9373132869201153
437,1879,Employment,-0.3651349006739951
438,1879,Average hours,0.6566452717141733
439,1879,Productivity,2.2308373153723315
440,1880,Real GDP,1.8669909914623588
441,1880,Employment,-0.5051177817957482
442,1880,Average hours,0.5854420981572449
443,1880,Productivity,1.945122593784642
444,1881,Real GDP,1.5702147854771886
445,1881,Employment,-0.5110567494895009
446,1881,Average hours,0.5608041878091405
447,1881,Productivity,1.620118260200569
448,1882,Real GDP,1.692429682811247
449,1882,Employment,-0.5235396495424178
450,1882,Average hours,0.36364612599675744
451,1882,Productivity,1.5292500546436745
452,1883,Real GDP,1.9221998220819825
453,1883,Employment,-0.5761587816475615
454,1883,Average hours,0.13957519034214022
455,1883,Productivity,1.4750037242525347
456,1884,Real GDP,1.391499160168821
457,1884,Employment,-0.5204574716479131
458,1884,Average hours,0.029401732694435016
459,1884,Productivity,0.884808056832744
460,1885,Real GDP,1.182397545592463
461,1885,Employment,-0.4597937328599647
462,1885,Average hours,-0.011140310272030062
463,1885,Productivity,0.6950949751238815
464,1886,Real GDP,1.1706797653524128
465,1886,Employment,-0.574068942169071
466,1886,Average hours,-0.01668766644319044
467,1886,Productivity,0.5644361004374316
468,1887,Real GDP,1.5041108883219367
469,1887,Employment,-0.8436632146985028
470,1887,Average hours,-0.04351896149844546
471,1887,Productivity,0.594709804202301
472,1888,Real GDP,1.8664037031655973
473,1888,Employment,-1.1149615448852215
474,1888,Average hours,-0.05464354582374466
475,1888,Productivity,0.6715363930671586
476,1889,Real GDP,2.3579662721286487
477,1889,Employment,-1.4023210945335762
478,1889,Average hours,-0.05277782057005468
479,1889,Productivity,0.8761950648620103
480,1890,Real GDP,1.7436648435593827
481,1890,Employment,-1.2190490961631468
482,1890,Average hours,0.015920571982849605
483,1890,Productivity,0.5285208322429578
484,1891,Real GDP,1.7810396594138198
485,1891,Employment,-1.0916858927342423
486,1891,Average hours,0.03988647784125722
487,1891,Productivity,0.7196558234980577
488,1892,Real GDP,1.3534078042813236
489,1892,Employment,-0.932715884324689
490,1892,Average hours,0.05385123713808713
491,1892,Productivity,0.4648178170470273
492,1893,Real GDP,0.9597717340281205
493,1893,Employment,-0.8268734249260523
494,1893,Average hours,0.11284104633441383
495,1893,Productivity,0.23784137099727215
496,1894,Real GDP,1.5612960784104084
497,1894,Employment,-0.9960503658181967
498,1894,Average hours,0.08128959382107186
499,1894,Productivity,0.6332619712218898
500,1895,Real GDP,1.9975281224296633
501,1895,Employment,-1.1378612390392768
502,1895,Average hours,0.07459259602650496
503,1895,Productivity,0.9189677753967995
504,1896,Real GDP,2.369337665472494
505,1896,Employment,-1.2529322746932856
506,1896,Average hours,0.09961478255191426
507,1896,Productivity,1.1963880240544091
508,1897,Real GDP,2.080492146389759
509,1897,Employment,-1.208641935442722
510,1897,Average hours,0.12284435742073327
511,1897,Productivity,0.9794108866490806
512,1898,Real GDP,2.210228494818759
513,1898,Employment,-1.1980990590460103
514,1898,Average hours,0.22375890726599484
515,1898,Productivity,1.2215130239792802
516,1899,Real GDP,2.2590119254777603
517,1899,Employment,-1.1267725462967473
518,1899,Average hours,0.14533143875441376
519,1899,Productivity,1.2608051486978566
520,1900,Real GDP,2.1581508110771246
521,1900,Employment,-1.1199147225550317
522,1900,Average hours,0.15273946722802284
523,1900,Productivity,1.175218377446736
524,1901,Real GDP,2.0698431032657356
525,1901,Employment,-1.0870184385172994
526,1901,Average hours,0.10922650358952761
527,1901,Productivity,1.0757035554724135
528,1902,Real GDP,2.481522538943602
529,1902,Employment,-1.140056893600043
530,1902,Average hours,0.12035569407282543
531,1902,Productivity,1.4454055476506398
532,1903,Real GDP,2.4629721343548847
533,1903,Employment,-1.173944470140365
534,1903,Average hours,0.055873417889370044
535,1903,Productivity,1.329392912007847
536,1904,Real GDP,2.1038640728652314
537,1904,Employment,-0.9860952157643738
538,1904,Average hours,0.08145183962739141
539,1904,Productivity,1.1901755358315764
540,1905,Real GDP,2.106552902743595
541,1905,Employment,-1.0324992356180553
542,1905,Average hours,0.09137045372942633
543,1905,Productivity,1.1560911214169498
544,1906,Real GDP,1.9498032824468254
545,1906,Employment,-1.0324227908099768
546,1906,Average hours,0.07098254197979073
547,1906,Productivity,0.9820523065943124
548,1907,Real GDP,2.0527328413435124
549,1907,Employment,-1.069919103435708
550,1907,Average hours,0.05200356193653579
551,1907,Productivity,1.027347890036013
552,1908,Real GDP,1.1692823209217218
553,1908,Employment,-0.6649864188225213
554,1908,Average hours,-0.019798198005074187
555,1908,Productivity,0.47424877113846886
556,1909,Real GDP,1.0322163026851816
557,1909,Employment,-0.5379481466457509
558,1909,Average hours,0.07829701168170304
559,1909,Productivity,0.5661615129662532
560,1910,Real GDP,1.3189233431241683
561,1910,Employment,-0.6921553427119409
562,1910,Average hours,0.08320371647394245
563,1910,Productivity,0.7019453019710387
564,1911,Real GDP,1.4441780160543796
565,1911,Employment,-0.9029854038648224
566,1911,Average hours,0.08168653819903735
567,1911,Productivity,0.6116259417899934
568,1912,Real GDP,1.4716683813402798
569,1912,Employment,-1.0094999149608326
570,1912,Average hours,0.11317688586148192
571,1912,Productivity,0.5645048031162265
572,1913,Real GDP,2.032043398159316
573,1913,Employment,-1.0900336104685406
574,1913,Average hours,0.12152233693374352
575,1913,Productivity,1.0482329833302597
576,1914,Real GDP,2.1090438671487064
577,1914,Employment,-1.2703102026336583
578,1914,Average hours,0.15512178958104506
579,1914,Productivity,0.9771229760612513
580,1915,Real GDP,2.329817222304242
581,1915,Employment,-1.4515919526670689
582,1915,Average hours,0.1527350198057697
583,1915,Productivity,1.0095554849011434
584,1916,Real GDP,2.2006016247177547
585,1916,Employment,-1.3734119300470369
586,1916,Average hours,0.15801949791910985
587,1916,Productivity,0.9646648000374156
588,1917,Real GDP,1.9041315633526181
589,1917,Employment,-1.2750039597340932
590,1917,Average hours,0.16778045374648026
591,1917,Productivity,0.778285528917586
592,1918,Real GDP,2.502457625921143
593,1918,Employment,-1.5356706430950755
594,1918,Average hours,0.14970425664801956
595,1918,Productivity,1.1018350351900996
596,1919,Real GDP,1.4860446485438572
597,1919,Employment,-1.3377983943201261
598,1919,Average hours,1.0751275800243199
599,1919,Productivity,1.2312391945886758
600,1920,Real GDP,0.6233334183448804
601,1920,Employment,-1.2592249847695673
602,1920,Average hours,1.4619545223198467
603,1920,Productivity,0.8339564148460477
604,1921,Real GDP,-0.6970511369036334
605,1921,Employment,0.11760616553538927
606,1921,Average hours,1.8926438767066713
607,1921,Productivity,1.3814175383240506
608,1922,Real GDP,-0.3443313549521515
609,1922,Employment,0.3001187100214944
610,1922,Average hours,1.7384425769984913
611,1922,Productivity,1.758876902427172
612,1923,Real GDP,-0.4922647378564801
613,1923,Employment,0.29358700150186856
614,1923,Average hours,1.8420429734843988
615,1923,Productivity,1.7126189760998052
616,1924,Real GDP,-0.22429856220459152
617,1924,Employment,0.27501528801353003
618,1924,Average hours,1.9379379026440184
619,1924,Productivity,2.0594556287302255
620,1925,Real GDP,-0.42479097690314943
621,1925,Employment,0.47679761229014284
622,1925,Average hours,1.8389194646906297
623,1925,Productivity,1.9649658927111748
624,1926,Real GDP,-0.8527428202923705
625,1926,Employment,0.6225040667186039
626,1926,Average hours,1.9242692459035418
627,1926,Productivity,1.7656117651372067
628,1927,Real GDP,-0.02969033372412273
629,1927,Employment,0.40121339027210234
630,1927,Average hours,1.616420348801661
631,1927,Productivity,2.040427068679281
632,1928,Real GDP,-0.13447327617571728
633,1928,Employment,0.4312520437070493
634,1928,Average hours,1.6240612391369988
635,1928,Productivity,1.9739619277979945
636,1929,Real GDP,0.9323548509161512
637,1929,Employment,0.13449291498125143
638,1929,Average hours,0.7331127491317171
639,1929,Productivity,1.8300365634279572
640,1930,Real GDP,1.4320551974352114
641,1930,Employment,0.5151226387562896
642,1930,Average hours,0.36834171180729347
643,1930,Productivity,2.3483488027199764
644,1931,Real GDP,1.9392385418913733
645,1931,Employment,-0.42648138429501525
646,1931,Average hours,-0.054579198120445274
647,1931,Productivity,1.4279131295751408
648,1932,Real GDP,1.4151332599649538
649,1932,Employment,-0.49205596942491797
650,1932,Average hours,0.052174563949192454
651,1932,Productivity,0.9485710285249839
652,1933,Real GDP,1.4369127194999805
653,1933,Employment,-0.5670591894225387
654,1933,Average hours,-0.047691318318713
655,1933,Productivity,0.792439270174049
656,1934,Real GDP,1.5615823295848688
657,1934,Employment,-0.7037265578589516
658,1934,Average hours,-0.1894017324994331
659,1934,Productivity,0.6287378009310901
660,1935,Real GDP,1.5795220132076486
661,1935,Employment,-0.7682758570522294
662,1935,Average hours,-0.1488964176844145
663,1935,Productivity,0.6225410861132509
664,1936,Real GDP,2.368371045073856
665,1936,Employment,-1.0815015058060378
666,1936,Average hours,-0.2960733112109664
667,1936,Productivity,0.9475169584928776
668,1937,Real GDP,1.9492964564732926
669,1937,Employment,-1.1252084103948548
670,1937,Average hours,-0.04441858887419725
671,1937,Productivity,0.754421073871296
672,1938,Real GDP,1.9376359890946429
673,1938,Employment,-1.1149494588500746
674,1938,Average hours,0.3750768517988723
675,1938,Productivity,1.194761717350595
676,1939,Real GDP,2.092344890641732
677,1939,Employment,-1.3835532816016194
678,1939,Average hours,0.12276298379157949
679,1939,Productivity,0.8318085514951734
680,1940,Real GDP,3.1641873507298883
681,1940,Employment,-1.9291655852506906
682,1940,Average hours,-0.10527949726043528
683,1940,Productivity,1.0975714875962417
684,1941,Real GDP,4.498839827924056
685,1941,Employment,-2.554193186474997
686,1941,Average hours,-0.07539950930066266
687,1941,Productivity,1.8266370727057732
688,1942,Real GDP,4.67132638658424
689,1942,Employment,-2.8403794531059474
690,1942,Average hours,-0.04424818708718
691,1942,Productivity,1.748464163531771
692,1943,Real GDP,4.525105475001643
693,1943,Employment,-2.7167906251678806
694,1943,Average hours,-0.014108698020135035
695,1943,Productivity,1.7579191045578562
696,1944,Real GDP,3.4884236294462903
697,1944,Employment,-2.3098968124588493
698,1944,Average hours,0.04213519417284296
699,1944,Productivity,1.1883954181487686
700,1945,Real GDP,2.6612793772500867
701,1945,Employment,-1.9286513050285634
702,1945,Average hours,0.46850888682528485
703,1945,Productivity,1.1717903388259217
704,1946,Real GDP,1.9385831607493522
705,1946,Employment,-1.116867980212531
706,1946,Average hours,0.6886849990360122
707,1946,Productivity,1.5068546401774525
708,1947,Real GDP,1.4609997875830047
709,1947,Employment,-0.824593943065645
710,1947,Average hours,1.0651300611772043
711,1947,Productivity,1.7046998376244438
712,1948,Real GDP,1.7049326790337198
713,1948,Employment,-0.7837333619691542
714,1948,Average hours,0.7171020453441527
715,1948,Productivity,1.623620093345383
716,1949,Real GDP,1.6029876730123995
717,1949,Employment,-0.38320318528062386
718,1949,Average hours,0.9619643062420465
719,1949,Productivity,2.1661151474678433
720,1950,Real GDP,0.9418344674520214
721,1950,Employment,-0.11670651695022652
722,1950,Average hours,1.0970688322901814
723,1950,Productivity,1.9332384949687982
724,1951,Real GDP,0.4457680018816387
725,1951,Employment,0.12413146005320681
726,1951,Average hours,1.0191450293487865
