,Country,Amount,Measure,Year
153,LUX,12.538025518805,GDP_share,2017
154,LUX,13.451239877461,GDP_share,2009
155,LUX,11.153915889485,GDP_share,2007
156,CZE,31.523948872713,perc_total,2017
157,CZE,37.409719939697,perc_total,2009
158,CZE,35.564985252393,perc_total,2007
159,CZE,12.27666378656,GDP_share,2017
160,CZE,16.53502218217,GDP_share,2009
161,CZE,14.359119787236,GDP_share,2007
162,TUR,35.018234895202,perc_total,2017
163,TUR,32.757326238129,perc_total,2009
164,TUR,0.0,perc_total,2007
165,TUR,11.966065889301,GDP_share,2017
166,TUR,12.443886619415,GDP_share,2009
167,TUR,0.0,GDP_share,2007
168,OECD,29.142304397622908,perc_total,2017
169,OECD,29.939944204454992,perc_total,2009
170,OECD,30.23670870658267,perc_total,2007
171,OECD,11.774745271621008,GDP_share,2017
172,OECD,13.282469773947781,GDP_share,2009
173,OECD,11.794583030210305,GDP_share,2007
174,GRC,24.762340143709,perc_total,2017
175,GRC,28.674856368817,perc_total,2009
176,GRC,30.167628369002,perc_total,2007
177,GRC,11.721940938612,GDP_share,2017
178,GRC,15.506820857275,GDP_share,2009
179,GRC,14.19972832914,GDP_share,2007
180,LVA,30.331720166026,perc_total,2017
181,LVA,26.922485526603,perc_total,2009
182,LVA,35.482761943706,perc_total,2007
183,LVA,11.467146000807,GDP_share,2017
184,LVA,11.997231788035,GDP_share,2009
185,LVA,12.060456941132,GDP_share,2007
186,SVN,26.207287735519,perc_total,2017
187,SVN,28.428613782295,perc_total,2009
188,SVN,28.360761192198,perc_total,2007
189,SVN,11.314531876776,GDP_share,2017
190,SVN,13.707355607193,GDP_share,2009
191,SVN,11.965035453773,GDP_share,2007
192,POL,27.16903745591,perc_total,2017
193,POL,28.856853941674,perc_total,2009
194,POL,28.755614884682,perc_total,2007
195,POL,11.201750955354,GDP_share,2017
196,POL,12.997810827513,GDP_share,2009
197,POL,12.424838224831,GDP_share,2007
198,ITA,21.364666615378,perc_total,2017
199,ITA,23.041255882912,perc_total,2009
200,ITA,22.251625555849,perc_total,2007
201,ITA,10.44986298626,GDP_share,2017
202,ITA,11.787561695015,GDP_share,2009
203,ITA,10.411786940804,GDP_share,2007
204,ESP,23.393415124883,perc_total,2017
205,ESP,29.931862624038,perc_total,2009
206,ESP,30.926737677596,perc_total,2007
207,ESP,9.5900006773447,GDP_share,2017
208,ESP,13.703139422382,GDP_share,2009
209,ESP,12.069962537252,GDP_share,2007
210,LTU,28.308514597814,perc_total,2017
211,LTU,26.872303725117,perc_total,2009
212,LTU,34.318677917389,perc_total,2007
213,LTU,9.3671291251273,GDP_share,2017
214,LTU,12.062530359168,GDP_share,2009
215,LTU,12.099318879163,GDP_share,2007
216,USA,24.468484275861,perc_total,2017
217,USA,27.226295232255,perc_total,2009
218,USA,28.5162070903,perc_total,2007
219,USA,9.2860010939476,GDP_share,2017
220,USA,11.778784065148,GDP_share,2009
221,USA,10.672396494292,GDP_share,2007
222,CHE,26.638544329405,perc_total,2017
223,CHE,25.712618411945,perc_total,2009
224,CHE,25.210077766824,perc_total,2007
225,CHE,9.0975163346093,GDP_share,2017
226,CHE,8.5377496681642,GDP_share,2009
227,CHE,7.7458219035208,GDP_share,2007
228,PRT,19.820899505149,perc_total,2017
229,PRT,25.183619524833,perc_total,2009
230,PRT,23.993799508394,perc_total,2007
231,PRT,9.0517575441144,GDP_share,2017
232,PRT,12.648088304587,GDP_share,2009
233,PRT,10.674025011678,GDP_share,2007
234,IRL,27.517465080826,perc_total,2017
235,IRL,26.249221509237,perc_total,2009
236,IRL,32.506638760428,perc_total,2007
237,IRL,7.2382135580068,GDP_share,2017
238,IRL,12.349384010513,GDP_share,2009
239,IRL,11.683053020197,GDP_share,2007
240,MEX,18.707010504564,perc_total,2017
241,MEX,23.510510729314,perc_total,2009
242,MEX,20.641702422118,perc_total,2007
243,MEX,4.9274777367717,GDP_share,2017
244,MEX,5.9878668212257,GDP_share,2009
245,MEX,4.4569771944313,GDP_share,2007
