,date,indicator,value
437,2016-02-01,Rent,3.67861
438,2016-03-01,House Prices (Lagged),4.73879
439,2016-03-01,Owner's Equivalent Rent ,3.1327
440,2016-03-01,Rent,3.65874
441,2016-04-01,House Prices (Lagged),4.61012
442,2016-04-01,Owner's Equivalent Rent ,3.14897
443,2016-04-01,Rent,3.72957
444,2016-05-01,House Prices (Lagged),4.58062
445,2016-05-01,Owner's Equivalent Rent ,3.26541
446,2016-05-01,Rent,3.79637
447,2016-06-01,House Prices (Lagged),4.51269
448,2016-06-01,Owner's Equivalent Rent ,3.23627
449,2016-06-01,Rent,3.81397
450,2016-07-01,House Prices (Lagged),4.32376
451,2016-07-01,Owner's Equivalent Rent ,3.243
452,2016-07-01,Rent,3.76525
453,2016-08-01,House Prices (Lagged),4.2344
454,2016-08-01,Owner's Equivalent Rent ,3.2953
455,2016-08-01,Rent,3.7789
456,2016-09-01,House Prices (Lagged),4.28603
457,2016-09-01,Owner's Equivalent Rent ,3.38437
458,2016-09-01,Rent,3.69607
459,2016-10-01,House Prices (Lagged),4.29879
460,2016-10-01,Owner's Equivalent Rent ,3.4505
461,2016-10-01,Rent,3.79093
462,2016-11-01,House Prices (Lagged),4.35363
463,2016-11-01,Owner's Equivalent Rent ,3.55847
464,2016-11-01,Rent,3.88017
465,2016-12-01,House Prices (Lagged),4.3563
466,2016-12-01,Owner's Equivalent Rent ,3.58489
467,2016-12-01,Rent,3.95977
468,2017-01-01,House Prices (Lagged),4.40583
469,2017-01-01,Owner's Equivalent Rent ,3.5398
470,2017-01-01,Rent,3.92563
471,2017-02-01,House Prices (Lagged),4.47458
472,2017-02-01,Owner's Equivalent Rent ,3.52616
473,2017-02-01,Rent,3.90536
474,2017-03-01,House Prices (Lagged),4.67028
475,2017-03-01,Owner's Equivalent Rent ,3.48253
476,2017-03-01,Rent,3.87715
477,2017-04-01,House Prices (Lagged),4.88204
478,2017-04-01,Owner's Equivalent Rent ,3.38252
479,2017-04-01,Rent,3.84193
480,2017-05-01,House Prices (Lagged),5.09759
481,2017-05-01,Owner's Equivalent Rent ,3.25024
482,2017-05-01,Rent,3.84462
483,2017-06-01,House Prices (Lagged),5.20628
484,2017-06-01,Owner's Equivalent Rent ,3.22773
485,2017-06-01,Rent,3.85668
486,2017-07-01,House Prices (Lagged),5.28851
487,2017-07-01,Owner's Equivalent Rent ,3.2047
488,2017-07-01,Rent,3.81019
489,2017-08-01,House Prices (Lagged),5.19169
490,2017-08-01,Owner's Equivalent Rent ,3.26301
491,2017-08-01,Rent,3.8813
492,2017-09-01,House Prices (Lagged),5.06642
493,2017-09-01,Owner's Equivalent Rent ,3.18421
494,2017-09-01,Rent,3.78175
495,2017-10-01,House Prices (Lagged),5.02053
496,2017-10-01,Owner's Equivalent Rent ,3.19772
497,2017-10-01,Rent,3.69541
498,2017-11-01,House Prices (Lagged),4.94763
499,2017-11-01,Owner's Equivalent Rent ,3.12864
500,2017-11-01,Rent,3.67489
501,2017-12-01,House Prices (Lagged),4.88585
502,2017-12-01,Owner's Equivalent Rent ,3.17775
503,2017-12-01,Rent,3.68937
504,2018-01-01,House Prices (Lagged),4.88866
505,2018-01-01,Owner's Equivalent Rent ,3.19951
506,2018-01-01,Rent,3.73055
507,2018-02-01,House Prices (Lagged),4.98714
508,2018-02-01,Owner's Equivalent Rent ,3.14556
509,2018-02-01,Rent,3.63761
510,2018-03-01,House Prices (Lagged),5.0874
511,2018-03-01,Owner's Equivalent Rent ,3.25816
512,2018-03-01,Rent,3.61304
513,2018-04-01,House Prices (Lagged),5.12775
514,2018-04-01,Owner's Equivalent Rent ,3.35835
515,2018-04-01,Rent,3.69455
516,2018-05-01,House Prices (Lagged),5.19231
517,2018-05-01,Owner's Equivalent Rent ,3.41245
518,2018-05-01,Rent,3.62655
519,2018-06-01,House Prices (Lagged),5.30493
520,2018-06-01,Owner's Equivalent Rent ,3.37021
521,2018-06-01,Rent,3.5807
522,2018-07-01,House Prices (Lagged),5.49758
523,2018-07-01,Owner's Equivalent Rent ,3.39087
524,2018-07-01,Rent,3.62718
525,2018-08-01,House Prices (Lagged),5.55952
526,2018-08-01,Owner's Equivalent Rent ,3.33068
527,2018-08-01,Rent,3.60994
528,2018-09-01,House Prices (Lagged),5.62155
529,2018-09-01,Owner's Equivalent Rent ,3.26992
530,2018-09-01,Rent,3.63073
531,2018-10-01,House Prices (Lagged),5.62695
532,2018-10-01,Owner's Equivalent Rent ,3.25219
533,2018-10-01,Rent,3.57206
534,2018-11-01,House Prices (Lagged),5.65304
535,2018-11-01,Owner's Equivalent Rent ,3.31414
536,2018-11-01,Rent,3.61339
537,2018-12-01,House Prices (Lagged),5.69379
538,2018-12-01,Owner's Equivalent Rent ,3.2261
539,2018-12-01,Rent,3.4759
540,2019-01-01,House Prices (Lagged),5.74146
541,2019-01-01,Owner's Equivalent Rent ,3.20333
542,2019-01-01,Rent,3.43374
543,2019-02-01,House Prices (Lagged),5.83095
544,2019-02-01,Owner's Equivalent Rent ,3.32339
545,2019-02-01,Rent,3.51247
546,2019-03-01,House Prices (Lagged),5.92012
547,2019-03-01,Owner's Equivalent Rent ,3.32513
548,2019-03-01,Rent,3.68174
549,2019-04-01,House Prices (Lagged),6.01976
550,2019-04-01,Owner's Equivalent Rent ,3.35239
551,2019-04-01,Rent,3.76149
552,2019-05-01,House Prices (Lagged),6.09526
553,2019-05-01,Owner's Equivalent Rent ,3.34444
554,2019-05-01,Rent,3.7302
555,2019-06-01,House Prices (Lagged),6.21103
556,2019-06-01,Owner's Equivalent Rent ,3.40746
557,2019-06-01,Rent,3.87349
558,2019-07-01,House Prices (Lagged),6.21064
559,2019-07-01,Owner's Equivalent Rent ,3.36871
560,2019-07-01,Rent,3.83716
561,2019-08-01,House Prices (Lagged),6.42695
562,2019-08-01,Owner's Equivalent Rent ,3.34119
563,2019-08-01,Rent,3.73833
564,2019-09-01,House Prices (Lagged),6.46304
565,2019-09-01,Owner's Equivalent Rent ,3.40161
566,2019-09-01,Rent,3.82573
567,2019-10-01,House Prices (Lagged),6.41172
568,2019-10-01,Owner's Equivalent Rent ,3.31544
569,2019-10-01,Rent,3.73557
570,2019-11-01,House Prices (Lagged),6.25948
571,2019-11-01,Owner's Equivalent Rent ,3.26237
572,2019-11-01,Rent,3.65808
573,2019-12-01,House Prices (Lagged),6.12656
574,2019-12-01,Owner's Equivalent Rent ,3.2788
575,2019-12-01,Rent,3.68641
576,2020-01-01,House Prices (Lagged),5.90764
577,2020-01-01,Owner's Equivalent Rent ,3.34567
578,2020-01-01,Rent,3.75556
579,2020-02-01,House Prices (Lagged),5.64395
580,2020-02-01,Owner's Equivalent Rent ,3.27932
581,2020-02-01,Rent,3.75822
582,2020-03-01,House Prices (Lagged),5.41371
583,2020-03-01,Owner's Equivalent Rent ,3.21844
584,2020-03-01,Rent,3.66581
585,2020-04-01,House Prices (Lagged),5.27001
586,2020-04-01,Owner's Equivalent Rent ,3.06905
587,2020-04-01,Rent,3.48578
588,2020-05-01,House Prices (Lagged),4.94043
589,2020-05-01,Owner's Equivalent Rent ,3.0562
590,2020-05-01,Rent,3.48523
591,2020-06-01,House Prices (Lagged),4.52
592,2020-06-01,Owner's Equivalent Rent ,2.83884
593,2020-06-01,Rent,3.21974
594,2020-07-01,House Prices (Lagged),4.12586
595,2020-07-01,Owner's Equivalent Rent ,2.79573
