"Fieldwork End Date / Pollster",Yes,No
"6 December 2019 / Panelbase",47%,53%
"6 December 2019 / YouGov",44%,56%
"11 December 2019 / Survation",49%,51%
"22 January 2020 / Survation",50%,50%
"27 January 2020 / YouGov",51%,49%
"31 January 2020 / Panelbase",52%,48%
"14 February 2020 / YouGov",49%,51%
"26 March 2020 / Panelbase",49%,51%
"5 May 2020 / Panelbase",50%,50%
"5 June 2020 / Panelbase",52%,48%
"19 June 2020 / Panelbase",54%,46%
"3 July 2020 / Panelbase",54%,46%
"10 August 2020 / YouGov",53%,47%
"13 August 2020 / ComRes",54%,46%
"18 August 2020 / Panelbase",55%,45%
"7 September 2020 / Survation",53%,47%
"21 September 2020 / JL Partners",56%,44%
"9 October 2020 / Ipsos Mori",59%,41%
"9 October 2020 / ComRes",53%,47%
"3 November 2020 / Survation",54%,46%
"10 November 2020 / YouGov",51%,49%
"11 November 2020 / Panelbase",56%,44%
"26 November 2020 / Ipsos Mori",56%,44%
"9 December 2020 / Survation",51%,49%
"15 December 2020 / ComRes",56%,44%
"13 January 2021 / Survation",51%,49%
"13 January 2021 / ComRes",52%,48%
"22 January 2021 / Panelbase",53%,47%
"9 February 2021 / ComRes",48%,52%
"21 February 2021 / Ipsos Mori",52%,48%
"22 February 2021 / ComRes",52%,48%
"26 February 2021 / Survation",49%,51%
"1 March 2021 / Hanbury Strategy",56%,44%
"4 March 2021 / ComRes",49%,51%
"5 March 2021 / ComRes",48%,52%
"5 March 2021 / Panelbase",49%,51%
"8 March 2021 / YouGov",49%,51%
"9 March 2021 / Hanbury Strategy",54%,46%
"10 March 2021 / ComRes",49%,51%
"16 March 2021 / Opinium",51%,49%
"18 March 2021 / Survation",49%,51%
"19 March 2021 / BMG Research",52%,48%
"30 March 2021 / Survation",51%,49%
"1 April 2021 / Panelbase",51%,49%
"4 April 2021 / Ipsos Mori",52%,48%
"6 April 2021 / Opinium",51%,49%
"7 April 2021 / ComRes",50%,50%
"12 April 2021 / Panelbase",51%,49%
"19 April 2021 / Lord Ashcroft Polls",49%,51%
"20 April 2021 / ComRes",48%,52%
"20 April 2021 / YouGov",46%,54%
"22 April 2021 / Survation",49%,51%
"23 April 2021 / Survation",49%,51%
"26 April 2021 / Survation",47%,53%
"26 April 2021 / Panelbase",49%,51%
"27 April 2021 / ComRes",46%,54%
"30 April 2021 / BMG Research",50%,50%
"30 April 2021 / Panelbase",52%,48%
"3 May 2021 / Ipsos Mori",50%,50%
"3 May 2021 / Opinium",50%,50%
"4 May 2021 / Survation",48%,52%
"4 May 2021 / YouGov",47%,53%
"4 May 2021 / ComRes",46%,54%
"8 May 2021 / Stack Data",50%,50%
"14 May 2021 / ComRes",47%,53%
"24 June 2021 / Panelbase",48%,52%
"5 August 2021 / Redfield &amp; Wilton",48%,52%
"8 September 2021 / Stack Data",48%,52%
"8 September 2021 / Opinium",51%,49%
"9 September 2021 / ComRes",49%,51%
"10 September 2021 / Panelbase",48%,52%
"18 September 2021 / Redfield &amp; Wilton",48%,52%
"26 October 2021 / Panelbase",47%,53%
"28 October 2021 / ComRes",48%,52%
"12 November 2021 / Panelbase",49%,51%
"22 November 2021 / YouGov",47%,53%
"29 November 2021 / Ipsos Mori",55%,45%
"22 December 2021 / Opinium",50%,50%
"18 January 2022 / ComRes",50%,50%
