ISO,region,Country
SVK,Eastern Europe,Slovakia
SVN,"Northern, Southern and Western Europe",Slovenia
SLB,South-Eastern Asia and the Pacific,Solomon Islands
SOM,Sub-Saharan Africa,Somalia
ZAF,Sub-Saharan Africa,South Africa
SSD,Sub-Saharan Africa,South Sudan
ESP,"Northern, Southern and Western Europe",Spain
LKA,Southern Asia,Sri Lanka
SDN,Northern Africa,Sudan
SUR,Latin America and the Caribbean,Suriname
SWZ,Sub-Saharan Africa,Eswatini
SWE,"Northern, Southern and Western Europe",Sweden
CHE,"Northern, Southern and Western Europe",Switzerland
SYR,Arab States,Syrian Arab Republic
TWN,Eastern Asia,"Taiwan, China"
TJK,Central and Western Asia,Tajikistan
TZA,Sub-Saharan Africa,"Tanzania, United Republic of"
THA,South-Eastern Asia and the Pacific,Thailand
TLS,South-Eastern Asia and the Pacific,Timor-Leste
TGO,Sub-Saharan Africa,Togo
TKL,South-Eastern Asia and the Pacific,Tokelau
TON,South-Eastern Asia and the Pacific,Tonga
TTO,Latin America and the Caribbean,Trinidad and Tobago
TUN,Northern Africa,Tunisia
TUR,Central and Western Asia,Turkey
TKM,Central and Western Asia,Turkmenistan
TCA,Latin America and the Caribbean,Turks and Caicos Islands
TUV,South-Eastern Asia and the Pacific,Tuvalu
UGA,Sub-Saharan Africa,Uganda
UKR,Eastern Europe,Ukraine
ARE,Arab States,United Arab Emirates
GBR,"Northern, Southern and Western Europe",United Kingdom
USA,Northern America,United States
VIR,Latin America and the Caribbean,United States Virgin Islands
URY,Latin America and the Caribbean,Uruguay
UZB,Central and Western Asia,Uzbekistan
VUT,South-Eastern Asia and the Pacific,Vanuatu
VEN,Latin America and the Caribbean,"Venezuela, Bolivarian Republic of"
VNM,South-Eastern Asia and the Pacific,Viet Nam
WLF,South-Eastern Asia and the Pacific,Wallis and Futuna Islands
ESH,Northern Africa,Western Sahara
YEM,Arab States,Yemen
ZMB,Sub-Saharan Africa,Zambia
ZWE,Sub-Saharan Africa,Zimbabwe
