Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Israel,Europe,847108,9786.89,3054,35.28,100,6439,74.39,7,0.08,0,Community transmission
Italy,Europe,4272163,7163.07,8366,14.03,887,127788,214.26,108,0.18,13,Clusters of cases
Jamaica,Americas,50793,1715.3,389,13.14,36,1134,38.3,38,1.28,3,Community transmission
Japan,Western Pacific,824589,651.97,15036,11.89,2309,14971,11.84,87,0.07,12,Clusters of cases
Jersey,Europe,4351,4036.33,677,628.04,0,69,64.01,0,0,0,Community transmission
Jordan,Eastern Mediterranean,758291,7431.94,4010,39.3,601,9855,96.59,60,0.59,12,Community transmission
Kazakhstan,Europe,520336,2771.18,20581,109.61,0,8173,43.53,239,1.27,0,Clusters of cases
Kenya,Africa,188942,351.38,2889,5.37,188,3723,6.92,33,0.06,1,Community transmission
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Kosovo[1],Europe,107816,6004.23,59,3.29,5,2254,125.52,3,0.17,0,Community transmission
Kuwait,Eastern Mediterranean,379076,8876.47,11434,267.74,1712,2147,50.27,98,2.29,11,Community transmission
Kyrgyzstan,Europe,142270,2180.65,8967,137.44,1292,2123,32.54,69,1.06,10,Clusters of cases
Lao People's Democratic Republic,Western Pacific,2901,39.87,545,7.49,76,3,0.04,0,0,0,Sporadic cases
Latvia,Europe,137917,7229.59,264,13.84,18,2536,132.94,8,0.42,0,Community transmission
Lebanon,Eastern Mediterranean,548455,8035.45,2490,36.48,494,7879,115.44,14,0.21,2,Community transmission
Lesotho,Africa,11903,555.63,269,12.56,0,335,15.64,2,0.09,0,Community transmission
Liberia,Africa,5215,103.11,297,5.87,59,144,2.85,10,0.2,0,Community transmission
Libya,Eastern Mediterranean,209409,3047.59,12515,182.13,2640,3245,47.23,30,0.44,2,Community transmission
Liechtenstein,Europe,3151,8132.24,10,25.81,0,58,149.69,0,0,0,Sporadic cases
Lithuania,Europe,279302,9996.17,352,12.6,85,4401,157.51,6,0.21,1,Community transmission
Luxembourg,Europe,72257,11540.66,710,113.4,8,819,130.81,1,0.16,0,Community transmission
Madagascar,Africa,42499,153.48,133,0.48,17,933,3.37,8,0.03,2,Community transmission
Malawi,Africa,39418,206.05,2361,12.34,232,1256,6.57,41,0.21,6,Community transmission
Malaysia,Western Pacific,855949,2644.59,63256,195.44,11079,6385,19.73,708,2.19,125,Community transmission
Maldives,South-East Asia,75332,13936.33,747,138.19,170,214,39.59,1,0.18,0,Clusters of cases
Mali,Africa,14477,71.49,25,0.12,13,528,2.61,1,0,0,Community transmission
Malta,Europe,31240,6071.16,565,109.8,179,420,81.62,0,0,0,Clusters of cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Martinique,Americas,12807,3412.79,411,109.52,0,98,26.11,0,0,0,Community transmission
Mauritania,Africa,21765,468.1,631,13.57,93,495,10.65,6,0.13,0,Community transmission
Mauritius,Africa,2260,177.71,213,16.75,129,18,1.42,0,0,0,Community transmission
Mayotte,Africa,19450,7129.37,38,13.93,0,174,63.78,0,0,0,Community transmission
Mexico,Americas,2593574,2011.57,51701,40.1,3074,235058,182.31,1369,1.06,89,Community transmission
"Micronesia, Federated States of",Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Monaco,Europe,2624,6686.37,35,89.19,2,33,84.09,0,0,0,Sporadic cases
Mongolia,Western Pacific,140530,4286.69,12076,368.36,1246,699,21.32,60,1.83,10,Clusters of cases
Montenegro,Europe,100477,15997.94,96,15.29,0,1620,257.94,1,0.16,0,Clusters of cases
Montserrat,Americas,21,420.08,1,20,0,1,20,0,0,0,No cases
Morocco,Eastern Mediterranean,545016,1476.59,9042,24.5,1897,9395,25.45,59,0.16,11,Community transmission
Mozambique,Africa,90555,289.73,9667,30.93,1687,996,3.19,84,0.27,14,Community transmission
Myanmar,South-East Asia,201274,369.92,29298,53.85,4047,4036,7.42,523,0.96,109,Clusters of cases
Namibia,Africa,106879,4206.34,8357,328.9,1284,2019,79.46,329,12.95,28,Community transmission
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nepal,South-East Asia,658778,2260.98,10693,36.7,1639,9412,32.3,149,0.51,12,Community transmission
Netherlands,Europe,1736879,9977.71,46333,266.17,8522,17766,102.06,9,0.05,1,Community transmission
New Caledonia,Western Pacific,129,45.18,0,0,0,0,0,0,0,0,Sporadic cases
New Zealand,Western Pacific,2434,50.47,27,0.56,4,26,0.54,0,0,0,Sporadic cases
Nicaragua,Americas,7044,106.33,225,3.4,225,193,2.91,1,0.02,1,Community transmission
Niger,Africa,5538,22.88,23,0.1,0,194,0.8,0,0,0,Community transmission
Nigeria,Africa,168713,81.84,854,0.41,161,2124,1.03,3,0,0,Community transmission
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
"Macedonia, the former Yugoslav Republic of",Europe,155802,7478.33,86,4.13,5,5487,263.37,1,0.05,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,187,324.9,3,5.21,2,2,3.47,0,0,0,Pending
Norway,Europe,133365,2484.64,1230,22.92,170,796,14.83,2,0.04,0,Clusters of cases
Occupied Palestinian Territory,Eastern Mediterranean,344166,6746.48,545,10.68,101,3851,75.49,7,0.14,1,Community transmission
Oman,Eastern Mediterranean,287054,5621.21,8494,166.33,982,3472,67.99,133,2.6,37,Community transmission
Other,Other,764,,0,,0,13,,0,,0,Not applicable
Pakistan,Eastern Mediterranean,976682,442.15,12192,5.52,1590,22618,10.24,166,0.08,21,Community transmission
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Panama,Americas,416232,9646.69,7504,173.91,752,6646,154.03,63,1.46,14,Community transmission
Papua New Guinea,Western Pacific,17367,194.11,113,1.26,0,179,2,5,0.06,0,Community transmission
Paraguay,Americas,438764,6151.58,8880,124.5,1045,13964,195.78,517,7.25,46,Community transmission
Peru,Americas,2081557,6313.13,14880,45.13,780,194488,589.86,1099,3.33,101,Community transmission
Philippines,Western Pacific,1481660,1352.11,35839,32.71,3604,26092,23.81,796,0.73,77,Community transmission
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Poland,Europe,2880959,7589.83,556,1.46,94,75173,198.04,78,0.21,13,Community transmission
Portugal,Europe,909756,8836.09,19185,186.34,1782,17164,166.71,47,0.46,8,Clusters of cases
Puerto Rico,Americas,140944,4926.64,538,18.81,97,2555,89.31,3,0.1,0,Community transmission
Qatar,Eastern Mediterranean,223646,7762.65,886,30.75,142,599,20.79,5,0.17,0,Community transmission
"Korea, Republic of",Western Pacific,171911,335.31,9158,17.86,1615,2048,3.99,15,0.03,2,Clusters of cases
"Moldova, Republic of",Europe,257529,6384.02,494,12.25,62,6211,153.97,14,0.35,2,Community transmission
Réunion,Africa,31845,3556.86,0,0,0,244,27.25,0,0,0,Community transmission
Romania,Europe,1081326,5594.37,296,1.53,51,34233,177.11,21,0.11,8,Community transmission
Russian Federation,Europe,5833175,3997.12,174503,119.58,24702,144492,99.01,5176,3.55,780,Clusters of cases
Rwanda,Africa,49016,378.44,5620,43.39,772,582,4.49,103,0.8,22,Community transmission
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,No cases
Saint Barthélemy,Americas,1052,10642.39,6,60.7,0,1,10.12,0,0,0,Clusters of cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Saint Kitts and Nevis,Americas,538,1011.43,23,43.24,8,3,5.64,0,0,0,Community transmission
Saint Lucia,Americas,5416,2949.46,90,49.01,6,86,46.83,1,0.54,0,Community transmission
Saint Martin,Americas,2472,6394.37,52,134.51,0,30,77.6,1,2.59,0,Community transmission
Saint Pierre and Miquelon,Americas,26,448.66,0,0,0,0,0,0,0,0,Sporadic cases
Saint Vincent and the Grenadines,Americas,2245,2023.62,5,4.51,1,12,10.82,0,0,0,Community transmission
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
San Marino,Europe,5092,15003.83,0,0,0,90,265.19,0,0,0,Community transmission
Sao Tome and Principe,Africa,2392,1091.45,15,6.84,0,37,16.88,0,0,0,Community transmission
Saudi Arabia,Eastern Mediterranean,503734,1446.93,8425,24.2,1295,8006,23,99,0.28,14,Community transmission
Senegal,Africa,46509,277.77,2550,15.23,334,1196,7.14,21,0.13,2,Community transmission
Serbia,Europe,717667,10360.87,684,9.87,118,7073,102.11,14,0.2,1,Community transmission
Seychelles,Africa,17005,17290.82,701,712.78,48,68,69.14,11,11.18,0,Community transmission
Sierra Leone,Africa,6046,75.79,235,2.95,15,112,1.4,5,0.06,0,Community transmission
Singapore,Western Pacific,62744,1072.48,104,1.78,26,36,0.62,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Sint Maarten (Kingdom of the Netherlands),Americas,2641,6158.76,14,32.65,3,34,79.29,1,2.33,0,Community transmission
Slovakia,Europe,391953,7181.42,233,4.27,28,12522,229.43,9,0.16,1,Clusters of cases
Slovenia,Europe,257875,12304.01,390,18.61,12,4765,227.35,3,0.14,0,Clusters of cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Somalia,Eastern Mediterranean,15068,94.81,73,0.46,8,781,4.91,6,0.04,2,Community transmission
South Africa,Africa,2206781,3720.84,131372,221.51,11182,64509,108.77,2338,3.94,220,Community transmission
South Sudan,Africa,10911,97.47,32,0.29,20,117,1.05,0,0,0,Community transmission
Spain,Europe,3971124,8389.83,99756,210.76,4682,81020,171.17,26,0.05,2,Community transmission
Sri Lanka,South-East Asia,277519,1296.02,10086,47.1,1413,3517,16.42,261,1.22,41,Clusters of cases
Sudan,Eastern Mediterranean,36805,83.94,0,0,0,2760,6.29,0,0,0,Clusters of cases
Suriname,Americas,23463,3999.61,998,170.12,80,587,100.06,39,6.65,5,Community transmission
Sweden,Europe,1092540,10578.85,1304,12.63,0,14643,141.79,1,0.01,0,Community transmission
Switzerland,Europe,702614,8118.37,1611,18.61,0,10314,119.17,2,0.02,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,25801,147.43,89,0.51,6,1900,10.86,9,0.05,1,Community transmission
Tajikistan,Europe,14274,149.66,213,2.23,0,105,1.1,9,0.09,0,Pending
Thailand,South-East Asia,353712,506.75,59059,84.61,8685,2847,4.08,514,0.74,56,Clusters of cases
Timor-Leste,South-East Asia,9906,751.34,348,26.39,44,25,1.9,0,0,0,Community transmission
Togo,Africa,14278,172.47,196,2.37,8,133,1.61,1,0.01,0,Community transmission
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Trinidad and Tobago,Americas,34822,2488.2,1267,90.53,57,941,67.24,42,3,4,Community transmission
Tunisia,Eastern Mediterranean,510396,4318.58,55305,467.95,8473,16651,140.89,1050,8.88,157,Community transmission
Turkey,Europe,5486959,6505.83,37495,44.46,5404,50278,59.61,319,0.38,49,Community transmission
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Turks and Caicos Islands,Americas,2436,6291.65,11,28.41,0,18,46.49,0,0,0,Clusters of cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Uganda,Africa,87756,191.85,3640,7.96,479,2129,4.65,936,2.05,25,Community transmission
Ukraine,Europe,2241698,5125.78,3334,7.62,481,52640,120.36,136,0.31,36,Community transmission
United Arab Emirates,Eastern Mediterranean,653284,6605.23,10683,108.01,1522,1876,18.97,33,0.33,6,Community transmission
United Kingdom,Europe,5155247,7593.98,224709,331.01,33998,128431,189.19,200,0.29,6,Community transmission
"Tanzania, United Republic of",Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
United States,Americas,33572715,10142.73,180309,54.47,20450,602409,182,1952,0.59,211,Community transmission
United States Virgin Islands,Americas,4043,3871.68,101,96.72,10,32,30.64,2,1.92,0,Community transmission
Uruguay,Americas,376876,10849.32,3590,103.35,297,5833,167.92,122,3.51,18,Community transmission
Uzbekistan,Europe,116918,349.33,3350,10.01,497,778,2.32,24,0.07,4,Clusters of cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
"Venezuela, Bolivarian Republic of",Americas,285910,1005.45,7245,25.48,968,3302,11.61,93,0.33,12,Community transmission
Viet Nam,Western Pacific,35409,36.38,13068,13.43,2744,132,0.14,35,0.04,7,Clusters of cases
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0,Sporadic cases
Yemen,Eastern Mediterranean,6961,23.34,30,0.1,9,1366,4.58,3,0.01,0,Community transmission
Zambia,Africa,176742,961.39,11229,61.08,1013,2867,15.6,375,2.04,45,Community transmission
Zimbabwe,Africa,70426,473.84,14412,96.97,2661,2236,15.04,325,2.19,51,Community transmission
