Entity,Code,Year,Share of services in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of agriculture in GDP at current prices (Herrendorf et al. data)
Netherlands,NLD,1846,45.99,27.82,26.19
Netherlands,NLD,1847,44.96,24.12,30.92
Netherlands,NLD,1848,46.65,27.87,25.48
Netherlands,NLD,1849,48.46,27.19,24.35
Netherlands,NLD,1850,48.99,26.06,24.95
Netherlands,NLD,1851,48.7,24.75,26.56
Netherlands,NLD,1852,49.27,24.49,26.24
Netherlands,NLD,1853,47.03,24.5,28.48
Netherlands,NLD,1854,45.08,23.8,31.12
Netherlands,NLD,1855,46.19,22.93,30.88
Netherlands,NLD,1856,46.4,21.75,31.86
Netherlands,NLD,1857,47.23,24.46,28.32
Netherlands,NLD,1858,49.62,24.33,26.05
Netherlands,NLD,1859,49.48,22.94,27.58
Netherlands,NLD,1860,47.45,23.42,29.13
Netherlands,NLD,1861,50.5,23.83,25.67
Netherlands,NLD,1862,49.05,22.35,28.6
Netherlands,NLD,1863,49.48,25.07,25.46
Netherlands,NLD,1864,50.35,24.05,25.6
Netherlands,NLD,1865,49.57,24.54,25.9
Netherlands,NLD,1866,49.18,22.76,28.05
Netherlands,NLD,1867,48.96,23.74,27.3
Netherlands,NLD,1868,48.84,22.28,28.88
Netherlands,NLD,1869,47.58,22.49,29.93
Netherlands,NLD,1870,47.07,24.02,28.91
Netherlands,NLD,1871,48.01,23.98,28.01
Netherlands,NLD,1872,47.05,26.95,25.99
Netherlands,NLD,1873,46.13,29.68,24.19
Netherlands,NLD,1874,44.87,29.18,25.94
Netherlands,NLD,1875,45.23,29.21,25.56
Netherlands,NLD,1876,44.32,29.23,26.44
Netherlands,NLD,1877,43.57,30.83,25.6
Netherlands,NLD,1878,44.46,30.05,25.48
Netherlands,NLD,1879,46.53,30.32,23.15
Netherlands,NLD,1880,45.37,28.8,25.83
Netherlands,NLD,1881,45.59,30.99,23.42
Netherlands,NLD,1882,44.58,31.78,23.64
Netherlands,NLD,1883,45.89,30.47,23.65
Netherlands,NLD,1884,47.25,29.96,22.8
Netherlands,NLD,1885,47.11,31.05,21.84
Netherlands,NLD,1886,47.22,30.62,22.16
Netherlands,NLD,1887,47.82,30.99,21.18
Netherlands,NLD,1888,47.63,32.81,19.56
Netherlands,NLD,1889,47.11,32.06,20.84
Netherlands,NLD,1890,49.29,30.45,20.26
Netherlands,NLD,1891,49.78,30.42,19.8
Netherlands,NLD,1892,50,29.98,20.02
Netherlands,NLD,1893,51.64,29.05,19.31
Netherlands,NLD,1894,49.61,31.89,18.51
Netherlands,NLD,1895,51.26,29.55,19.19
Netherlands,NLD,1896,49.98,30.81,19.2
Netherlands,NLD,1897,49.91,31.67,18.42
Netherlands,NLD,1898,50.14,30.92,18.95
Netherlands,NLD,1899,49.99,31.54,18.47
Netherlands,NLD,1900,49.85,31.93,18.22
Netherlands,NLD,1901,49.18,31.73,19.09
Netherlands,NLD,1902,49.35,31.56,19.08
Netherlands,NLD,1903,49.36,32.7,17.94
Netherlands,NLD,1904,49.35,32.65,18
Netherlands,NLD,1905,49.48,32.77,17.75
Netherlands,NLD,1906,50.53,32.3,17.18
Netherlands,NLD,1907,50.61,32.28,17.11
Netherlands,NLD,1908,50.48,32.22,17.29
Netherlands,NLD,1909,50.49,31.59,17.92
Netherlands,NLD,1910,50.13,31.33,18.54
Netherlands,NLD,1911,50.72,30.94,18.33
Netherlands,NLD,1912,51.83,31.46,16.71
Netherlands,NLD,1913,52.12,32.65,15.23
Netherlands,NLD,1970,56.2,37.5,6.3
Netherlands,NLD,1971,56.88,37.2,5.92
Netherlands,NLD,1972,57.24,36.87,5.88
Netherlands,NLD,1973,57.32,36.87,5.81
Netherlands,NLD,1974,57.85,37.05,5.1
Netherlands,NLD,1975,59.19,35.49,5.32
Netherlands,NLD,1976,58.96,35.72,5.32
Netherlands,NLD,1977,59.87,35.17,4.96
Netherlands,NLD,1978,61.12,34.12,4.76
Netherlands,NLD,1979,61.7,33.92,4.39
Netherlands,NLD,1980,61.33,34.37,4.3
Netherlands,NLD,1981,60.72,34.42,4.86
Netherlands,NLD,1982,61.07,33.92,5.01
Netherlands,NLD,1983,61.19,33.96,4.84
Netherlands,NLD,1984,60.15,35.02,4.83
Netherlands,NLD,1985,59.8,35.43,4.77
Netherlands,NLD,1986,62.04,33.01,4.95
Netherlands,NLD,1987,64.02,31.18,4.8
Netherlands,NLD,1988,63.56,31.67,4.77
Netherlands,NLD,1989,63.17,31.67,5.16
Netherlands,NLD,1990,63.28,31.7,5.02
Netherlands,NLD,1991,63.77,31.33,4.9
Netherlands,NLD,1992,65.05,30.33,4.62
Netherlands,NLD,1993,65.96,29.95,4.09
Netherlands,NLD,1994,66.05,29.78,4.17
Netherlands,NLD,1995,65.83,30.07,4.09
Netherlands,NLD,1996,66.41,29.69,3.9
Netherlands,NLD,1997,66.93,28.95,4.12
Netherlands,NLD,1998,68.05,28.39,3.56
Netherlands,NLD,1999,69.18,27.62,3.2
Netherlands,NLD,2000,68.53,28.3,3.17
Netherlands,NLD,2001,69.19,27.76,3.05
Netherlands,NLD,2002,70.79,26.46,2.74
Netherlands,NLD,2003,71.33,25.92,2.75
Netherlands,NLD,2004,71.26,26.21,2.53
Netherlands,NLD,2005,71.2,26.35,2.46
Netherlands,NLD,2006,70.41,26.97,2.61
Netherlands,NLD,2007,70.27,27.24,2.49
Netherlands,NLD,2008,69.63,28.21,2.16
Netherlands,NLD,2009,73.09,24.92,1.99
Netherlands,NLD,2010,73.01,24.74,2.25
Netherlands,NLD,2011,71.98,25.97,2.05
South Korea,KOR,1911,25.51,7.19,67.3
South Korea,KOR,1912,25.11,6.67,68.22
South Korea,KOR,1913,24.27,6.68,69.05
South Korea,KOR,1914,25.94,7.96,66.1
South Korea,KOR,1915,28.44,9.68,61.88
South Korea,KOR,1916,27.27,9.41,63.33
South Korea,KOR,1917,25.77,8.95,65.29
South Korea,KOR,1918,24.07,9.15,66.79
South Korea,KOR,1919,27.59,10.07,62.34
South Korea,KOR,1920,26.88,8.76,64.36
South Korea,KOR,1921,31.18,11.26,57.55
South Korea,KOR,1922,29.93,10.7,59.37
South Korea,KOR,1923,30.46,10.99,58.55
South Korea,KOR,1924,29.77,10.63,59.6
South Korea,KOR,1925,29.26,10.46,60.28
South Korea,KOR,1926,30.59,11.41,58
South Korea,KOR,1927,31.25,11.82,56.93
South Korea,KOR,1928,33.98,13.14,52.88
South Korea,KOR,1929,35.14,13.46,51.4
South Korea,KOR,1930,37.33,16.08,46.6
South Korea,KOR,1931,36.15,16.95,46.9
South Korea,KOR,1932,34.34,16.45,49.2
South Korea,KOR,1933,34,17.51,48.49
South Korea,KOR,1934,33.76,17.2,49.04
South Korea,KOR,1935,32.46,18.19,49.35
South Korea,KOR,1936,33.67,22.41,43.92
South Korea,KOR,1937,30.82,22.77,46.41
South Korea,KOR,1938,31.86,26.25,41.9
South Korea,KOR,1939,33.03,28.09,38.88
South Korea,KOR,1940,31.61,27.54,40.85
South Korea,KOR,1953,40.8,12.67,46.54
South Korea,KOR,1954,44.79,15.55,39.66
South Korea,KOR,1955,39.09,16.01,44.89
South Korea,KOR,1956,36.98,15.95,47.07
South Korea,KOR,1957,39.31,16.6,44.08
South Korea,KOR,1958,42.24,17.98,39.78
South Korea,KOR,1959,47.04,19.65,33.31
South Korea,KOR,1960,45.38,19.5,35.12
South Korea,KOR,1961,42.37,19.21,38.42
South Korea,KOR,1962,44.15,20.8,35.05
South Korea,KOR,1963,40.07,18.52,41.41
South Korea,KOR,1964,34.61,19.64,45.75
South Korea,KOR,1965,39.01,22.33,38.67
South Korea,KOR,1966,42.07,22.6,35.33
South Korea,KOR,1967,45.68,23.05,31.28
South Korea,KOR,1968,47.33,24.68,27.99
South Korea,KOR,1969,45.85,25.64,28.5
South Korea,KOR,1970,45.72,26.54,27.75
South Korea,KOR,1971,46.18,25.72,28.1
South Korea,KOR,1972,46.15,26.27,27.58
South Korea,KOR,1973,44.85,29.28,25.87
South Korea,KOR,1974,43.9,30.38,25.73
South Korea,KOR,1975,43.11,30.99,25.9
South Korea,KOR,1976,43.15,32.21,24.64
South Korea,KOR,1977,43.12,33.22,23.66
South Korea,KOR,1978,42.39,35.57,22.04
South Korea,KOR,1979,42.32,37.08,20.6
South Korea,KOR,1980,46.17,37.82,16.01
South Korea,KOR,1981,46.26,37,16.74
South Korea,KOR,1982,47.4,36.94,15.65
South Korea,KOR,1983,47.31,38.31,14.39
South Korea,KOR,1984,47.69,38.71,13.6
South Korea,KOR,1985,48.6,37.87,13.53
South Korea,KOR,1986,49.14,38.81,12.05
South Korea,KOR,1987,49.27,39.79,10.94
South Korea,KOR,1988,48.43,40.62,10.95
South Korea,KOR,1989,49.48,40.26,10.26
South Korea,KOR,1990,49.29,41.4,9.31
South Korea,KOR,1991,48.77,42.84,8.39
South Korea,KOR,1992,49.97,41.86,8.17
South Korea,KOR,1993,50.32,42.25,7.43
South Korea,KOR,1994,50.6,42.11,7.29
South Korea,KOR,1995,50.41,42.64,6.95
South Korea,KOR,1996,51.34,42.09,6.58
South Korea,KOR,1997,52.17,41.81,6.02
South Korea,KOR,1998,53.41,40.98,5.61
South Korea,KOR,1999,53.58,40.66,5.76
South Korea,KOR,2000,54.15,40.6,5.24
South Korea,KOR,2001,55.93,39.09,4.97
South Korea,KOR,2002,56.09,39.31,4.6
South Korea,KOR,2003,55.95,39.76,4.29
South Korea,KOR,2004,54.3,41.42,4.28
South Korea,KOR,2005,54.95,41.21,3.84
South Korea,KOR,2006,55.66,40.68,3.65
South Korea,KOR,2007,55.79,40.87,3.34
South Korea,KOR,2008,55.6,41.28,3.12
South Korea,KOR,2009,56.2,40.79,3.01
South Korea,KOR,2010,54.29,42.85,2.86
South Korea,KOR,2011,53.73,43.35,2.92
Spain,ESP,1850,45.4,17.19,37.41
Spain,ESP,1851,44.81,18.23,36.96
Spain,ESP,1852,45.19,19.53,35.28
Spain,ESP,1853,39.76,15.78,44.47
Spain,ESP,1854,40.54,16.05,43.41
Spain,ESP,1855,36.36,15.12,48.52
Spain,ESP,1856,39.78,18.55,41.67
Spain,ESP,1857,41.45,19.7,38.85
Spain,ESP,1858,41.06,20.86,38.08
Spain,ESP,1859,39.83,20.85,39.32
Spain,ESP,1860,40.1,20.44,39.46
Spain,ESP,1861,39.7,20.65,39.64
Spain,ESP,1862,39.48,21.42,39.09
Spain,ESP,1863,38.88,21.94,39.17
Spain,ESP,1864,40.26,22.16,37.58
Spain,ESP,1865,40.14,21.55,38.32
Spain,ESP,1866,39.54,20.82,39.64
Spain,ESP,1867,37.82,20.02,42.16
Spain,ESP,1868,42.89,21.41,35.7
Spain,ESP,1869,43.47,22.89,33.64
Spain,ESP,1870,40.83,20.9,38.27
Spain,ESP,1871,39.71,21.26,39.04
Spain,ESP,1872,36.95,20.79,42.26
Spain,ESP,1873,37.23,22.47,40.3
Spain,ESP,1874,40.47,20.88,38.65
Spain,ESP,1875,41.43,21.76,36.82
Spain,ESP,1876,38.57,21.09,40.34
Spain,ESP,1877,35.82,21.8,42.38
Spain,ESP,1878,36.27,21.29,42.44
Spain,ESP,1879,36.67,22.65,40.68
Spain,ESP,1880,35.89,24.72,39.38
Spain,ESP,1881,35.1,26.37,38.53
Spain,ESP,1882,34.66,26.59,38.74
Spain,ESP,1883,34.92,26.96,38.11
Spain,ESP,1884,35.87,25.55,38.59
Spain,ESP,1885,35.85,25.89,38.25
Spain,ESP,1886,35.3,24.69,40.01
Spain,ESP,1887,38.14,26.03,35.84
Spain,ESP,1888,35.92,26.69,37.4
Spain,ESP,1889,39.2,26.49,34.31
Spain,ESP,1890,38.4,27.99,33.61
Spain,ESP,1891,37.74,29,33.25
Spain,ESP,1892,38.55,28.08,33.37
Spain,ESP,1893,39.74,29.19,31.07
Spain,ESP,1894,39.89,28.53,31.59
Spain,ESP,1895,39.07,28.33,32.59
Spain,ESP,1896,41.21,28.25,30.54
Spain,ESP,1897,38.87,25.83,35.3
Spain,ESP,1898,39.77,27.47,32.76
Spain,ESP,1899,40.5,29.1,30.4
Spain,ESP,1900,39.83,30.28,29.89
Spain,ESP,1901,37.76,29.03,33.21
Spain,ESP,1902,40.4,28.31,31.29
Spain,ESP,1903,39.14,28.91,31.95
Spain,ESP,1904,38.75,29.53,31.72
Spain,ESP,1905,39.75,28.16,32.09
Spain,ESP,1906,39.46,28.89,31.64
Spain,ESP,1907,36.81,30.18,33.01
Spain,ESP,1908,39.54,30.07,30.39
Spain,ESP,1909,38.86,28.47,32.67
Spain,ESP,1910,41.42,30.73,27.85
Spain,ESP,1911,39.76,29.1,31.14
Spain,ESP,1912,41.26,31.83,26.91
Spain,ESP,1913,40.41,30.51,29.08
Spain,ESP,1914,42.27,30.01,27.71
Spain,ESP,1915,38.35,28.63,33.02
Spain,ESP,1916,37.32,30.7,31.98
Spain,ESP,1917,39.6,30.92,29.48
Spain,ESP,1918,39.3,30.39,30.31
Spain,ESP,1919,39.39,28.48,32.13
Spain,ESP,1920,37.87,30.2,31.93
Spain,ESP,1921,41.12,30.01,28.87
Spain,ESP,1922,41.11,29.44,29.44
Spain,ESP,1923,42.47,31.63,25.9
Spain,ESP,1924,41.73,31.79,26.48
Spain,ESP,1925,41.68,30.78,27.53
Spain,ESP,1926,42.93,32.55,24.52
Spain,ESP,1927,39.1,32.31,28.59
Spain,ESP,1928,42.16,34.17,23.67
Spain,ESP,1929,40.78,32.86,26.36
Spain,ESP,1930,44.97,32.25,22.78
Spain,ESP,1931,46.84,28.99,24.17
Spain,ESP,1932,45.27,28.11,26.62
Spain,ESP,1933,48.23,29.43,22.34
Spain,ESP,1934,48.16,27.27,24.57
Spain,ESP,1935,49.47,27.51,23.03
Spain,ESP,1940,49.94,23.26,26.8
Spain,ESP,1941,51.68,22.93,25.39
Spain,ESP,1942,48.11,24.88,27.01
Spain,ESP,1943,49.3,23.76,26.94
Spain,ESP,1944,45.06,23.63,31.31
Spain,ESP,1945,48.91,24.66,26.43
Spain,ESP,1946,43.97,25.81,30.22
Spain,ESP,1947,45.64,26.97,27.38
Spain,ESP,1948,45.5,29.49,25
Spain,ESP,1949,46.22,25.7,28.09
Spain,ESP,1950,44.27,27.02,28.71
Spain,ESP,1951,41.08,30.05,28.87
Spain,ESP,1952,42.26,31.04,26.7
Spain,ESP,1953,41.79,33.16,25.05
Spain,ESP,1954,42.65,33.52,23.83
Spain,ESP,1955,41.94,34.52,23.54
Spain,ESP,1956,42.23,35.22,22.55
Spain,ESP,1957,41.54,35.55,22.91
Spain,ESP,1958,40.71,35.95,23.34
Spain,ESP,1970,43.84,43.03,13.13
Spain,ESP,1971,44.14,41.98,13.88
Spain,ESP,1972,44.06,43.2,12.75
Spain,ESP,1973,43.53,44.19,12.27
Spain,ESP,1974,43.22,45.45,11.33
Spain,ESP,1975,45.34,43.4,11.26
Spain,ESP,1976,46.28,42.84,10.88
Spain,ESP,1977,47.11,42.3,10.59
Spain,ESP,1978,47.55,41.48,10.97
Spain,ESP,1979,49.18,41.13,9.69
Spain,ESP,1980,50.23,40.81,8.96
Spain,ESP,1981,52.72,39.82,7.46
Spain,ESP,1982,53.69,38.68,7.64
Spain,ESP,1983,54.27,38.27,7.46
Spain,ESP,1984,54.84,37.12,8.04
Spain,ESP,1985,55.28,36.66,8.06
Spain,ESP,1986,53.77,37.49,8.74
Spain,ESP,1987,54.3,37.11,8.59
Spain,ESP,1988,53.84,37.34,8.82
Spain,ESP,1989,54.02,37.85,8.12
Spain,ESP,1990,55.23,36.98,7.79
Spain,ESP,1991,56.76,36.15,7.09
Spain,ESP,1992,60.15,33.59,6.26
Spain,ESP,1993,61.71,31.37,6.93
Spain,ESP,1994,61.95,31.15,6.9
Spain,ESP,1995,61.05,32.43,6.52
Spain,ESP,1996,60.84,31.99,7.17
Spain,ESP,1997,61.08,32.17,6.74
Spain,ESP,1998,61.5,32.22,6.27
Spain,ESP,1999,62.2,32.23,5.57
Spain,ESP,2000,62.19,32.57,5.23
Spain,ESP,2001,62.29,32.63,5.08
Spain,ESP,2002,62.64,32.53,4.82
Spain,ESP,2003,62.64,32.58,4.78
Spain,ESP,2004,62.62,32.99,4.38
Spain,ESP,2005,62.37,33.73,3.9
Spain,ESP,2006,62.46,34.12,3.42
Spain,ESP,2007,63.32,33.16,3.52
Spain,ESP,2008,64.68,32.05,3.26
Spain,ESP,2009,68.21,28.58,3.21
Spain,ESP,2010,67.63,28.88,3.5
Spain,ESP,2011,67.95,28.59,3.47
Sweden,SWE,1800,44.44,14.94,40.78
Sweden,SWE,1801,44.02,17.19,38.78
Sweden,SWE,1802,45.75,15.65,38.6
Sweden,SWE,1803,46.67,15.78,37.56
Sweden,SWE,1804,48.05,12.43,39.52
Sweden,SWE,1805,45.68,13.99,40.34
Sweden,SWE,1806,47.5,14.5,38
Sweden,SWE,1807,45.98,14.03,39.99
Sweden,SWE,1808,48.18,13.07,38.74
Sweden,SWE,1809,44.28,11.28,44.44
Sweden,SWE,1810,44.52,10.75,44.73
Sweden,SWE,1811,44.54,15.4,40.06
Sweden,SWE,1812,48.42,11.79,39.79
Sweden,SWE,1813,46.71,15.94,37.35
Sweden,SWE,1814,46.01,13.18,40.82
Sweden,SWE,1815,44.42,14.18,41.4
Sweden,SWE,1816,45.63,15.41,38.96
Sweden,SWE,1817,46.34,13.63,40.03
Sweden,SWE,1818,45.58,18.7,35.72
Sweden,SWE,1819,44.6,18.47,36.94
Sweden,SWE,1820,43.48,15.96,40.56
Sweden,SWE,1821,44.23,16.01,39.76
Sweden,SWE,1822,45.47,14.54,39.98
Sweden,SWE,1823,46.04,13.23,40.73
Sweden,SWE,1824,44.76,14.8,40.44
Sweden,SWE,1825,44.88,16.84,38.28
Sweden,SWE,1826,46.29,16.6,37.11
Sweden,SWE,1827,43.38,17.33,39.29
Sweden,SWE,1828,43.38,15.98,40.64
Sweden,SWE,1829,45.42,15.69,38.89
Sweden,SWE,1830,44.98,14.43,40.59
Sweden,SWE,1831,44.99,16.13,38.88
Sweden,SWE,1832,44.08,14.83,41.09
Sweden,SWE,1833,44.47,14.78,40.75
Sweden,SWE,1834,44.95,14.71,40.33
Sweden,SWE,1835,44.48,14.96,40.57
Sweden,SWE,1836,43.52,17.39,39.09
Sweden,SWE,1837,44.62,16.67,38.71
Sweden,SWE,1838,44.16,17.55,38.28
Sweden,SWE,1839,42.85,16.86,40.29
Sweden,SWE,1840,42.98,16.43,40.59
Sweden,SWE,1841,43.37,16.44,40.19
Sweden,SWE,1842,43.85,14.97,41.18
Sweden,SWE,1843,43.07,15.6,41.33
Sweden,SWE,1844,42,17.03,40.97
Sweden,SWE,1845,43.36,17.81,38.83
Sweden,SWE,1846,42.76,17.2,40.04
Sweden,SWE,1847,42.32,17.55,40.13
Sweden,SWE,1848,43.02,15.78,41.21
Sweden,SWE,1849,42.85,16.81,40.34
Sweden,SWE,1850,42.42,19.06,38.52
Sweden,SWE,1851,42.48,19.81,37.71
Sweden,SWE,1852,42.51,19.7,37.79
Sweden,SWE,1853,43.67,19.89,36.44
Sweden,SWE,1854,41.93,19.02,39.05
Sweden,SWE,1855,41.98,22,36.03
Sweden,SWE,1856,42.12,20.49,37.38
Sweden,SWE,1857,42.15,21.11,36.73
Sweden,SWE,1858,41.29,19.77,38.94
Sweden,SWE,1859,41.5,20.54,37.97
Sweden,SWE,1860,41.96,21.05,36.99
Sweden,SWE,1861,42.36,19.25,38.38
Sweden,SWE,1862,42.15,20.68,37.16
Sweden,SWE,1863,41.13,20.72,38.15
Sweden,SWE,1864,41.7,21.72,36.58
Sweden,SWE,1865,42.89,21.4,35.72
Sweden,SWE,1866,42.57,21.46,35.97
Sweden,SWE,1867,40.94,20.37,38.69
Sweden,SWE,1868,42.22,19.99,37.78
Sweden,SWE,1869,40.46,19.74,39.8
Sweden,SWE,1870,39.71,19.61,40.68
Sweden,SWE,1871,40.04,19.44,40.52
Sweden,SWE,1872,39.64,21.33,39.03
Sweden,SWE,1873,40.01,23.26,36.73
Sweden,SWE,1874,39.05,24.56,36.39
Sweden,SWE,1875,39.76,24.04,36.2
Sweden,SWE,1876,39.86,23.48,36.66
Sweden,SWE,1877,40.12,24,35.87
Sweden,SWE,1878,40.04,22.76,37.2
Sweden,SWE,1879,40.25,21.62,38.13
Sweden,SWE,1880,40.7,22.81,36.49
Sweden,SWE,1881,40.67,23.05,36.28
Sweden,SWE,1882,40.61,22.55,36.84
Sweden,SWE,1883,41.04,21.74,37.22
Sweden,SWE,1884,41.54,23.61,34.85
Sweden,SWE,1885,41.81,23.16,35.03
Sweden,SWE,1886,42.2,24.79,33.02
Sweden,SWE,1887,43.26,23.99,32.75
Sweden,SWE,1888,43.15,24.86,32
Sweden,SWE,1889,42.82,26.23,30.95
Sweden,SWE,1890,43.51,25.62,30.87
Sweden,SWE,1891,42.6,24.22,33.18
Sweden,SWE,1892,42,24.64,33.36
Sweden,SWE,1893,41.94,25.27,32.79
Sweden,SWE,1894,41.39,26.9,31.71
Sweden,SWE,1895,41.18,28.89,29.93
Sweden,SWE,1896,40.99,29.06,29.95
Sweden,SWE,1897,40.49,30.72,28.78
Sweden,SWE,1898,41.66,29.67,28.67
Sweden,SWE,1899,41.52,29.89,28.59
Sweden,SWE,1900,41.42,30.94,27.64
Sweden,SWE,1901,41.48,30.25,28.27
Sweden,SWE,1902,42.41,30.69,26.9
Sweden,SWE,1903,42.27,31.77,25.97
Sweden,SWE,1904,42.62,31.96,25.42
Sweden,SWE,1905,43.31,33.4,23.3
Sweden,SWE,1906,42.57,33.79,23.64
Sweden,SWE,1907,43.46,31.89,24.66
Sweden,SWE,1908,43.01,31.12,25.88
Sweden,SWE,1909,43.96,29.43,26.61
Sweden,SWE,1910,42.52,31.68,25.8
Sweden,SWE,1911,42.45,33.41,24.14
Sweden,SWE,1912,42.81,32.68,24.51
Sweden,SWE,1913,41.59,33.33,25.07
Sweden,SWE,1914,42.58,33.74,23.68
Sweden,SWE,1915,44.79,30.44,24.77
Sweden,SWE,1916,42.56,32.05,25.38
Sweden,SWE,1917,41.28,33.72,25
Sweden,SWE,1918,44.29,30.33,25.38
Sweden,SWE,1919,45.56,29.69,24.75
Sweden,SWE,1920,47.09,30.81,22.09
Sweden,SWE,1921,49.26,30.59,20.14
Sweden,SWE,1922,49.66,31.26,19.07
Sweden,SWE,1923,51.21,31.75,17.04
Sweden,SWE,1924,51.63,31.72,16.64
Sweden,SWE,1925,51.81,32.22,15.97
Sweden,SWE,1926,51.77,32.07,16.17
Sweden,SWE,1927,52.54,32.25,15.21
Sweden,SWE,1928,52.77,32.28,14.95
Sweden,SWE,1929,52.02,33.41,14.56
Sweden,SWE,1930,52.57,34.41,13.02
Sweden,SWE,1931,55.03,32.18,12.79
Sweden,SWE,1932,56.71,31.71,11.58
Sweden,SWE,1933,55.51,31.25,13.24
Sweden,SWE,1934,53.7,33.93,12.36
Sweden,SWE,1935,52.18,35.1,12.72
Sweden,SWE,1936,50.47,36.37,13.17
Sweden,SWE,1937,49.35,37.48,13.18
Sweden,SWE,1938,49.09,38.81,12.1
Sweden,SWE,1939,50.38,38.17,11.46
Sweden,SWE,1940,52.14,36.35,11.51
Sweden,SWE,1941,50.37,37.79,11.84
Sweden,SWE,1942,49.24,39.13,11.63
Sweden,SWE,1943,48.24,39.79,11.97
Sweden,SWE,1944,48.15,39.49,12.36
Sweden,SWE,1945,46.86,41.23,11.91
Sweden,SWE,1946,47.1,41.22,11.68
Sweden,SWE,1947,47.94,41.03,11.03
Sweden,SWE,1948,47.72,42.63,9.65
Sweden,SWE,1949,48.02,42.05,9.92
Sweden,SWE,1950,46.28,42.46,11.26
Sweden,SWE,1951,42.66,45.91,11.43
Sweden,SWE,1952,44.21,41.65,14.14
Sweden,SWE,1953,46.45,42.65,10.9
Sweden,SWE,1954,46.16,43,10.84
Sweden,SWE,1955,47.15,42.88,9.98
Sweden,SWE,1956,47.33,42.55,10.12
Sweden,SWE,1957,48.46,42.75,8.8
Sweden,SWE,1958,49.02,42.55,8.43
Sweden,SWE,1959,49.58,43.05,7.37
Sweden,SWE,1960,49.21,43.22,7.57
Sweden,SWE,1961,49.54,42.96,7.5
Sweden,SWE,1962,49.4,43.52,7.08
Sweden,SWE,1963,50.59,43.24,6.16
Sweden,SWE,1964,50.28,43.37,6.34
Sweden,SWE,1965,50.88,43.1,6.02
Sweden,SWE,1966,52.66,41.96,5.38
Sweden,SWE,1967,53.97,40.97,5.06
Sweden,SWE,1968,55.44,40.22,4.35
Sweden,SWE,1969,55.44,40.64,3.92
Sweden,SWE,1970,55.22,40.84,3.94
Sweden,SWE,1971,56.41,39.42,4.17
Sweden,SWE,1972,57.45,38.89,3.65
Sweden,SWE,1973,57.04,39.49,3.47
Sweden,SWE,1974,55.2,40.59,4.21
Sweden,SWE,1975,55.81,40.12,4.07
Sweden,SWE,1976,57.38,38.53,4.09
Sweden,SWE,1977,60.16,36.11,3.73
Sweden,SWE,1978,62.1,34.54,3.36
Sweden,SWE,1979,62.25,34.78,2.97
Sweden,SWE,1980,62.63,34.33,3.03
Sweden,SWE,1981,64.14,32.78,3.09
Sweden,SWE,1982,64.32,32.61,3.07
Sweden,SWE,1983,64,32.9,3.11
Sweden,SWE,1984,63.08,33.87,3.06
Sweden,SWE,1985,63.12,33.91,2.96
Sweden,SWE,1986,63.5,33.69,2.81
Sweden,SWE,1987,63.83,33.51,2.66
Sweden,SWE,1988,64.19,33.28,2.53
Sweden,SWE,1989,64.04,33.44,2.52
Sweden,SWE,1990,65.41,32.28,2.31
Sweden,SWE,1991,67.27,30.77,1.96
Sweden,SWE,1992,68.36,29.8,1.84
Sweden,SWE,1993,69.63,28.71,1.66
Sweden,SWE,1994,68.21,30.06,1.73
Sweden,SWE,1995,66.69,31.55,1.77
Sweden,SWE,1996,67.56,30.84,1.6
Sweden,SWE,1997,67.49,30.95,1.56
Sweden,SWE,1998,67.22,31.31,1.47
Sweden,SWE,1999,67.62,30.99,1.39
Sweden,SWE,2000,68.13,30.62,1.24
Sweden,SWE,2001,68.71,30.04,1.25
Sweden,SWE,2002,68.92,29.87,1.21
Sweden,SWE,2003,69.26,29.54,1.2
Sweden,SWE,2004,68.86,29.96,1.18
Sweden,SWE,2005,69.21,30.04,0.74
Sweden,SWE,2006,69.01,30.11,0.88
Sweden,SWE,2007,68.83,30.13,1.04
Sweden,SWE,2008,70.28,28.64,1.08
Sweden,SWE,2009,72.63,26.39,0.99
Sweden,SWE,2010,70.03,28.9,1.07
United Kingdom,GBR,1801,35.8,32.6,31.6
United Kingdom,GBR,1811,43,21,36
United Kingdom,GBR,1821,42,32,26
United Kingdom,GBR,1831,41,35,24
United Kingdom,GBR,1841,41.6,34.1,24.3
United Kingdom,GBR,1851,48.8,31.9,19.3
United Kingdom,GBR,1920,51.35,42.5,6.15
United Kingdom,GBR,1921,56.94,36.75,6.31
United Kingdom,GBR,1922,54.45,39.83,5.71
United Kingdom,GBR,1923,53.35,41.53,5.12
United Kingdom,GBR,1924,53.47,41.67,4.86
United Kingdom,GBR,1925,56.33,39.2,4.46
United Kingdom,GBR,1926,57.14,38.22,4.64
United Kingdom,GBR,1927,56.1,39.99,3.91
United Kingdom,GBR,1928,57.07,38.88,4.06
United Kingdom,GBR,1929,57.42,38.65,3.93
United Kingdom,GBR,1930,59.83,36.09,4.08
United Kingdom,GBR,1931,60.04,35.92,4.04
United Kingdom,GBR,1932,60.06,35.91,4.02
United Kingdom,GBR,1933,58.48,37.02,4.5
United Kingdom,GBR,1934,57.8,37.66,4.55
United Kingdom,GBR,1935,57.39,38.41,4.2
United Kingdom,GBR,1936,55.63,40.08,4.29
United Kingdom,GBR,1937,55.23,41.24,3.53
