Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband
S01007834,Balgay,Dundee City,719,506,1050,16,4,2,1,825,858,1299,1309,4828,4075,719,25%,182,19%,93,145,223,266,157,24%,9%,113,68%,5.27,127,10%,5%,11,156,132,46,18%,6%,3.988706199,2.119390162,2.182988544,2.319823529,3.855616577,4.562160494,5.117250674,8.171418464,9.055033693,0%
S01007835,Balgay,Dundee City,678,422,3671,53,11,6,3,3244,2943,3154,5060,6530,1850,2135,11%,72,9%,39,105,58,24,96,19%,8%,105,92%,5.17,82,0%,18%,24,347,92,13,13%,2%,3.995809353,0.96473741,2.440571942,1.835373444,3.379147482,3.913488372,3.004503597,7.386086331,7.925960432,0%
S01007836,Balgay,Dundee City,558,342,3685,53,11,6,3,3561,2256,3047,6288,5329,3122,5241,9%,52,12%,40,110,53,0,99,23%,0%,106,*,6.50,88,0%,12%,12,220,26,7,5%,1%,3.788328544,1.522461686,1.612926245,2.066642857,3.844295977,4.887285714,7.519003831,6.721834291,10.30183908,0%
S01007837,Balgay,Dundee City,774,437,5763,83,17,9,5,5980,4940,4964,4826,4940,2900,5646,3%,23,4%,19,65,32,0,55,19%,0%,79,89%,5.57,53,4%,11%,18,238,31,11,4%,1%,3.134505141,1.875260283,2.100269923,2.521513761,3.062985219,5.045140187,6.830777635,8.709411954,10.99297237,0%
S01007838,Balgay,Dundee City,1003,603,6273,90,18,9,5,5666,5318,5065,6411,5146,5935,4489,4%,36,4%,22,60,12,18,81,17%,7%,77,93%,6.23,61,0%,23%,6,61,58,10,7%,1%,3.358133136,2.351076923,1.193511834,2.747804878,3.485443787,5.803297872,7.714177515,4.256994083,9.35295858,0%
S01007839,Menzieshill,Dundee City,681,389,2369,34,7,4,2,3048,2790,2142,3045,3398,95,1786,11%,78,10%,38,120,124,22,189,21%,0%,125,80%,5.42,98,4%,10%,93,1366,66,21,13%,4%,4.626631054,2.448358262,1.897517806,2.259105263,5.04284188,7.367121212,7.485163818,3.843137464,9.838240741,2%
S01007840,Menzieshill,Dundee City,714,481,1758,26,6,3,2,1852,1490,1433,2027,3998,3181,1014,17%,123,15%,71,135,197,262,123,24%,16%,120,77%,5.00,117,5%,7%,15,215,118,44,15%,6%,3.964494751,2.82019685,1.722388451,1.735805471,4.261830709,6.933731343,8.89234252,6.04628937,10.87438976,0%
S01007841,Menzieshill,Dundee City,664,422,1725,25,5,3,2,1866,1363.5,2151,1598,5079,1501,948,17%,114,15%,65,120,168,158,99,21%,8%,116,75%,4.81,122,7%,7%,27,400,136,19,19%,3%,2.64290436,2.605474684,1.658255977,2.543793103,2.959367089,6.076428571,7.055369198,6.696005626,7.977623066,0%
S01007842,Menzieshill,Dundee City,782,517,245,4,1,1,1,356,223,455,234,4818,391,489.5,31%,242,26%,133,205,292,542,118,23%,16%,146,66%,4.03,140,10%,1%,61,784,171,39,22%,5%,3.109675325,2.404974026,1.575594156,2.624043062,3.492545455,7.14602459,6.888344156,5.544399351,7.385311688,0%
S01007843,Menzieshill,Dundee City,712,485,1579,23,5,3,2,1737.5,1308,1659,1449,5477,1974,912,18%,128,16%,76,135,146,101,109,23%,7%,137,79%,4.57,131,7%,5%,24,330,109,47,15%,7%,3.701113475,1.686957447,1.579804965,1.920948276,4.107939716,7.420283019,4.990921986,4.037468085,7.082241135,0%
S01007844,Menzieshill,Dundee City,907,655,526,8,2,1,1,665,272,767,1146,3872,1073,619,27%,245,25%,162,170,268,449,90,26%,2%,141,69%,5.21,127,16%,6%,44,485,211,25,23%,3%,3.812491979,2.149312834,2.621315508,2.614526066,4.350315508,8.453876652,4.957058824,6.478026738,6.789229947,0%
S01007845,Charleston,Dundee City,925,598,380,6,2,1,1,263,465.5,411,618,4644,2060,416,33%,305,22%,132,215,156,161,151,25%,7%,160,74%,4.94,190,9%,2%,30,320,218,39,24%,4%,2.538961794,3.66389258,2.077383721,1.809806094,2.901996124,5.769378531,10.98323643,6.194150055,6.57734773,0%
S01007846,Charleston,Dundee City,744,469,1759,26,6,3,2,1928,1934,1808,1373,3763,832,1692,17%,125,13%,60,135,88,366,85,23%,13%,116,71%,5.13,134,11%,7%,41,550,113,13,15%,2%,2.586700269,3.722594086,2.396639785,2.495582329,3.086374328,5.004038462,11.11334005,6.200504032,6.144549731,4%
S01007847,Charleston,Dundee City,881,544,551,8,2,1,1,565,425,559,1098,3500,1926,718,28%,247,23%,121,205,111,130,126,30%,2%,137,73%,4.56,146,9%,8%,30,336,181,39,20%,4%,2.369528353,4.687644493,2.387415485,3.175163399,3.126567612,6.283732877,11.86023991,5.661112323,5.812268266,0%
S01007848,Charleston,Dundee City,827,554,375,6,2,1,1,348,423,577,434,6345,322,903,31%,257,23%,124,190,182,390,145,26%,11%,139,73%,4.43,189,7%,3%,70,840,146,36,18%,4%,1.578354701,3.662957875,1.025601343,2.534756691,1.947518315,6.109902439,9.437222222,3.092753358,4.061477411,0%
S01007849,Charleston,Dundee City,934,601,1093,16,4,2,1,716,1097,2018,1010,4900,2384,785,26%,247,17%,101,145,20,158,101,23%,10%,116,70%,4.84,164,9%,9%,27,285,174,43,19%,5%,1.525661135,4.189906317,1.901391863,3.541155989,2.086349036,6.8653125,9.628278908,5.367039615,5.506132227,0%
S01007850,Lochee,Dundee City,733,436,556,8,2,1,1,644,689,863,113,3647,3265,2834,27%,199,20%,85,180,260,96,138,26%,4%,124,64%,3.62,177,8%,3%,15,209,80,16,11%,2%,2.754244032,3.317742042,2.612519894,3.289429348,3.0758687,4.584206349,10.27331233,8.495135942,8.92405504,0%
S01007851,Lochee,Dundee City,963,554,2808,41,9,5,3,2539,2929,1732,2676,5737,3538,3858,14%,131,9%,51,130,138,93,113,27%,0%,122,74%,5.77,128,1%,6%,18,191,67,23,7%,2%,2.894425532,2.494957447,1.780273936,2.79613941,2.341422872,3.62971875,7.73618617,6.419324468,6.904255319,0%
S01007852,Lochee,Dundee City,695,478,327,5,1,1,1,297,300,745,304,4135,851,2131,32%,223,24%,116,185,173,328,139,23%,4%,140,66%,4.60,167,13%,2%,38,544,89,12,13%,2%,3.276345577,3.142207646,2.426889055,3.565144509,2.883482009,3.842102273,9.158065967,7.846664168,8.325884558,0%
S01007853,Lochee,Dundee City,643,403,25,1,1,1,1,56,13,72,90,6858,289,981,42%,267,37%,149,235,453,728,158,35%,3%,166,68%,3.00,177,20%,4%,56,874,100,42,15%,6%,4.151223485,1.482674242,1.521356061,1.319510204,1.449916667,3.621652893,4.407924242,4.686575758,5.097704545,0%
S01007854,Lochee,Dundee City,1097,683,334,5,1,1,1,310,267,430,760,6173,265,1451,32%,348,25%,170,195,273,388,154,26%,9%,149,72%,4.94,176,11%,5%,100,913,170,27,16%,3%,3.308146667,1.970631111,2.074615556,2.204903581,1.819593333,4.200598802,6.826777778,6.46082,6.005413333,0%
S01007855,Lochee,Dundee City,542,361,416,6,2,1,1,581,180,1195,824,5610,223,252,28%,151,27%,95,170,108,433,110,24%,8%,108,73%,4.44,148,18%,9%,53,981,109,59,22%,12%,3.818567864,2.043388224,1.868577844,2.321666667,1.940289421,4.20924812,6.722659681,5.54758982,6.308682635,2%
S01007856,Lochee,Dundee City,923,547,2357,34,7,4,2,3172,2494,2845,934,4849,1114,2768,11%,101,11%,58,100,68,54,112,20%,2%,119,71%,4.55,126,7%,4%,44,476,93,16,11%,2%,2.469331972,2.829927071,2.353337223,2.457536232,2.618564761,4.961045918,9.557304551,6.819655776,7.688949825,0%
S01007857,Ardler and St Marys,Dundee City,505,333,818,12,3,2,1,707,692,1570,895,2257,2579,3049.5,27%,134,20%,65,195,17,61,83,28%,7%,87,72%,5.13,171,10%,4%,13,263,55,4,11%,1%,3.491839431,4.630025407,3.921255081,2.12907767,2.586067073,6.287669492,15.14900407,11.02566057,10.94557927,0%
S01007858,Ardler and St Marys,Dundee City,1078,659,801,12,3,2,1,935,659,558,1453,2932,1155,3724,24%,261,20%,129,180,113,133,174,31%,11%,148,77%,4.46,145,3%,7%,50,465,94,7,9%,1%,3.472568916,3.627214829,3.441898764,1.709397959,2.129346483,5.716239782,14.96365019,10.9973788,9.255451521,1%
S01007859,Ardler and St Marys,Dundee City,638,386,435,7,2,1,1,279,524,280,1511,2913,1799,1158,32%,207,21%,82,250,82,148,149,29%,0%,149,79%,5.25,185,11%,8%,22,352,107,0,20%,0%,3.849976326,3.541387311,2.944029356,2.183903226,2.886519886,5.365287081,14.55004735,8.589872159,10.55715909,0%
S01007860,Ardler and St Marys,Dundee City,652,451,2365,34,7,4,2,2213,2606,3026,1637,2419,4066,3785,15%,99,10%,47,110,20,60,104,19%,11%,113,78%,4.71,131,5%,5%,10,157,62,0,10%,0%,4.24783752,4.031271586,2.887810047,1.942101167,3.379705651,5.558581395,16.96287284,7.295149137,13.06693485,0%
S01007861,Ardler and St Marys,Dundee City,650,405,1240,18,4,2,1,1658,1657,1414,233,3908,2242,930,18%,120,14%,57,145,71,226,154,23%,4%,139,70%,4.03,177,10%,2%,19,299,118,30,18%,4%,4.041331602,3.497273739,1.37828635,2.245819209,3.975181751,4.781300813,14.86298961,3.265830861,13.50347181,0%
S01007862,Ardler and St Marys,Dundee City,722,441,1485,22,5,3,2,1562,1043,2212,2126,2112,3014,1965,19%,138,17%,75,145,39,163,89,21%,7%,106,78%,5.61,166,9%,11%,16,227,86,24,12%,3%,4.717517832,4.32128388,2.031779601,2.486333333,4.147303852,5.492117117,17.70981812,6.288109843,14.22506063,0%
S01007863,Ardler and St Marys,Dundee City,911,543,276,4,1,1,1,271,414,629,250,1915,727,1006,33%,298,23%,123,195,80,504,141,26%,11%,135,76%,4.32,210,16%,3%,53,583,172,19,19%,2%,4.801986034,4.282505587,2.357413408,2.275349162,4.619941341,5.435562914,15.98589106,6.078877095,14.32168715,0%
S01007864,Ardler and St Marys,Dundee City,933,581,1437,21,5,3,2,1482,1057,1844,2336,1953,3283,1290.5,20%,184,17%,99,140,112,109,108,24%,10%,108,86%,5.50,157,10%,6%,19,208,152,30,16%,3%,4.739701493,4.207542644,2.865887527,1.974836066,4.375679638,5.327191781,15.27808102,8.370644989,13.7414339,0%
S01007865,Western Edge,Dundee City,955,657,6021,87,18,9,5,6534,6738,6839,5896,1716,912,6748,2%,18,2%,10,25,5,0,27,11%,2%,63,91%,5.87,53,0%,13%,50,524,6,8,1%,1%,4.179170274,3.596670274,3.107914863,3.029546828,5.215519481,4.782700422,9.331789322,10.06948773,15.26015873,5%
S01007866,Western Edge,Dundee City,537,394,5548,80,16,8,4,5594.5,6033,5991,4095,1360,6726,4421,4%,20,3%,11,55,7,0,10,17%,4%,69,88%,5.38,59,5%,8%,*,*,45,3,8%,1%,4.985447952,4.787013652,3.417017918,2.521666667,4.125196246,5.967884615,17.11609642,9.703165529,14.50280717,0%
S01007867,Western Edge,Dundee City,670,428,5133,74,15,8,4,5590.5,6027.5,6612,5138,782,1708,3456,4%,25,3%,12,40,0,0,31,15%,3%,57,90%,6.11,67,6%,12%,25,366,31,18,7%,4%,3.590491329,4.086950867,4.32761079,2.497318841,6.060732177,9.481603774,17.22611753,17.78927746,16.03483141,20%
S01007868,Western Edge,Dundee City,826,510,6565,95,19,10,5,6450,6095,5932,5928,3154,5648,6172,2%,17,3%,13,40,16,0,53,18%,0%,79,*,5.87,58,0%,12%,6,74,31,3,4%,0%,2.877857143,2.6378223,2.890914634,3.393699187,3.38369338,8.079662921,7.459436702,8.510203252,7.640969803,1%
S01007869,Western Edge,Dundee City,978,628,5802,84,17,9,5,5674,6004,5149,5980,2107,3125,6400,4%,35,3%,17,55,20,32,91,16%,2%,76,85%,6.22,44,0%,17%,21,219,25,5,3%,1%,3.164680628,2.260835079,2.361955497,3.660818584,5.207094241,8.351126761,8.611717277,10.22520419,12.83501309,13%
S01007870,Doon Valley South,East Ayrshire,536,344,2234,33,7,4,2,3153,2420,2135,2051,716,3301,3340,11%,59,11%,37,125,55,0,177,24%,0%,134,72%,5.53,135,1%,4%,11,207,51,5,10%,1%,5.005200186,4.838645251,4.756191806,6.50747191,5.516824953,6.414741379,12.6388175,13.48564711,13.91420391,39%
S01007871,Doon Valley South,East Ayrshire,654,406,158,3,1,1,1,134,288,144,199,2997,869,2528,37%,243,25%,99,235,156,365,145,28%,4%,200,69%,4.65,244,5%,2%,35,540,91,1,14%,0%,3.708501495,3.638994768,2.04814275,2.456065089,4.480175635,5.088774194,6.682511211,5.933408072,7.488763079,27%
S01007872,Doon Valley South,East Ayrshire,638,423,40,1,1,1,1,30,83,43,196,5036,472,2476.5,44%,283,30%,128,280,155,228,178,28%,18%,213,66%,4.65,214,7%,2%,46,727,98,0,14%,0%,2.757783688,2.691599291,1.337900709,2.271291391,3.528698582,4.263085938,6.855953901,5.827992908,7.530347518,2%
S01007873,Doon Valley South,East Ayrshire,645,379,2053,30,6,3,2,1878.5,2344,834,2527,6575,1871,3237,17%,110,11%,42,150,117,183,183,34%,0%,135,83%,5.39,161,4%,10%,22,344,68,5,11%,1%,1.755072674,1.418822674,1.273528343,3.126546392,1.746115552,3.138820225,5.208030523,4.265305233,4.694578488,0%
S01007874,Doon Valley South,East Ayrshire,709,446,1237,18,4,2,1,1193,1146,506,1949,6550,1433,4329,22%,155,17%,73,190,76,162,147,30%,5%,168,85%,5.47,166,3%,2%,29,413,57,4,8%,1%,2.006103043,1.840895574,1.516607884,3.568146552,2.152302905,3.42856383,5.063001383,5.557081604,5.953201936,0%
S01007875,Doon Valley North,East Ayrshire,550,358,2021,29,6,3,2,2574,1922,1635,2106,1092,5291,3187,13%,74,13%,45,145,88,59,82,22%,3%,155,81%,4.84,113,3%,5%,5,92,58,3,11%,1%,8.371554183,7.986744297,1.17206749,2.555662252,9.740499049,8.822470588,17.06861217,3.258003802,21.8291635,2%
S01007876,Doon Valley North,East Ayrshire,1096,695,2802,41,9,5,3,3060,3316,2553,3136,668,5466,4263,11%,125,8%,56,105,73,27,133,20%,9%,129,81%,5.70,104,3%,6%,9,83,87,0,9%,0%,9.995319623,9.111709613,2.828855302,3.550909798,11.58429138,9.32950495,17.20380079,5.55173439,24.89030723,0%
S01007877,Doon Valley North,East Ayrshire,701,455,1112,16,4,2,1,1425,1237,277,1992,2520,2215,3330,20%,141,16%,72,205,167,84,263,31%,0%,182,75%,5.23,167,1%,8%,21,302,85,1,11%,0%,8.386397154,1.612981889,2.082635834,2.545578512,9.760924968,10.3749569,4.727587322,5.341681759,18.28216041,0%
S01007878,Doon Valley North,East Ayrshire,690,375,1153,17,4,2,1,1593,949,1553,687,1821,3131.5,3519,19%,130,18%,66,115,163,101,90,32%,11%,129,67%,5.00,172,9%,5%,15,219,63,0,11%,0%,7.261438714,2.071319133,1.953258595,2.880254237,8.636913303,9.4281,8.090418535,6.305138266,13.14408072,7%
S01007879,Doon Valley North,East Ayrshire,704,412,679,10,2,1,1,768,670,831,612,1771,2108,4689.5,26%,182,20%,81,190,83,47,112,27%,21%,140,71%,4.31,201,1%,5%,22,315,58,0,8%,0%,7.830680628,2.088010471,1.643507853,3.041047431,9.205193063,9.817272727,7.928206806,5.964430628,14.93668848,8%
S01007880,Doon Valley North,East Ayrshire,396,250,3660,53,11,6,3,4055.5,3826,4217,4425,400,6928,4255,8%,30,7%,17,70,63,42,87,17%,0%,88,84%,6.00,104,0%,9%,*,*,27,6,7%,2%,8.40210733,6.082048429,5.429986911,6.640333333,12.13170157,8.192241379,13.41600785,12.71328534,27.28045812,54%
S01007881,Mauchline Rural,East Ayrshire,524,324,1490,22,5,3,2,1652,1512,1543,2433,546,4467,3965,19%,97,15%,48,150,95,115,114,22%,0%,141,72%,5.54,143,0%,7%,7,135,51,1,9%,0%,10.83280521,6.214847397,1.716871634,2.42625,16.36758528,14.17103448,13.86352783,4.288177738,44.58273788,100%
S01007882,Mauchline Rural,East Ayrshire,742,513,4344,63,13,7,4,5257.5,5547,5851,5188,393,664,5813,4%,33,3%,17,50,9,0,50,14%,10%,78,88%,6.00,87,1%,17%,45,612,29,7,4%,1%,7.076292402,6.638561737,4.585434193,5.180354331,11.90880597,10.59666667,16.00380258,12.32092096,26.98565299,63%
S01007883,Mauchline Rural,East Ayrshire,1042,671,3726,54,11,6,3,3886,3648,2817,4771,1228,5789,4983,8%,84,7%,48,95,172,53,106,18%,5%,123,90%,5.62,100,0%,12%,7,68,72,0,7%,0%,6.475552103,7.446202199,1.677999522,1.836574468,9.710518642,7.464896373,13.28881453,4.162447419,21.78200287,1%
S01007884,Mauchline Rural,East Ayrshire,630,413,2469,36,8,4,2,3239,3127,1206,2552,2022,2356,2072,11%,67,9%,36,115,387,72,99,29%,11%,162,82%,5.42,134,3%,6%,18,288,98,0,15%,0%,5.085223005,2.544780908,2.663028169,1.698516129,5.883082942,6.462773723,12.29967136,11.33183099,19.59098592,0%
S01007885,Mauchline Rural,East Ayrshire,690,458,229,4,1,1,1,204.5,240,111,837,2765,1814,1427,35%,240,25%,116,235,234,476,133,35%,3%,172,77%,5.00,205,0%,1%,24,351,131,4,18%,1%,5.984232877,2.527280822,1.729910959,2.92568323,6.796688356,5.976542553,8.793582192,4.733753425,13.37340411,0%
S01007886,Mauchline Rural,East Ayrshire,787,500,1258,19,4,2,1,1180,1326,652,2778,2328,1590,2927,22%,173,16%,78,170,278,262,102,28%,8%,149,81%,5.43,128,3%,9%,30,384,103,5,12%,1%,5.066124567,2.200138408,1.652903691,3.553053435,5.862684544,6.971580087,8.612185698,7.230245098,15.06830161,3%
S01007887,Mauchline Rural,East Ayrshire,583,384,4393,63,13,7,4,5010,4946,4323,4835,447,5383,4677,5%,29,4%,17,70,18,27,81,15%,14%,102,85%,5.38,61,0%,16%,5,86,25,19,4%,3%,5.657984429,5.89740917,5.591016436,5.917272727,6.132179931,10.78245614,17.55017734,17.05916522,17.60094074,73%
S01007888,Drongan,East Ayrshire,1000,622,970,14,3,2,1,1178,1423,1193,289,1681,2725,3191,22%,220,15%,93,155,72,121,118,25%,4%,157,71%,4.87,222,7%,2%,25,252,121,3,11%,0%,7.255735981,1.877147196,1.852292056,2.1706,16.31250701,14.68962687,5.577803738,5.596345794,30.87664953,0%
S01007889,Drongan,East Ayrshire,488,286,1773,26,6,3,2,2099,1859,1710,1222,2643,1973,2420,16%,77,13%,37,145,86,35,122,27%,0%,116,66%,5.50,176,3%,5%,16,331,75,0,14%,0%,6.726913696,1.318128518,1.312087242,2.668478261,16.15252345,14.63935644,3.959699812,4.031294559,29.80157598,0%
S01007890,Drongan,East Ayrshire,745,481,2730,40,8,4,2,3058.5,3032,2689,2492,936,5792,4560,11%,85,9%,43,115,30,41,97,22%,8%,119,77%,5.32,135,1%,9%,5,68,56,2,8%,0%,6.451314538,2.416691576,2.412445652,3.592297297,16.65399117,14.59740506,8.201677989,8.27515625,32.49428329,3%
S01007891,Drongan,East Ayrshire,891,545,2955,43,9,5,3,3354,3240,2569,2897,1089,4882,3906,10%,91,8%,46,120,33,54,101,22%,8%,115,80%,5.69,142,1%,7%,10,113,77,5,9%,1%,6.171937067,2.428189954,2.399754619,4.058290323,15.33006062,13.94535928,7.824405312,7.894107968,28.96032621,0%
S01007892,Mauchline,East Ayrshire,678,400,3898,56,12,6,3,4013,3661,3083,2960,3958,3735,5028,8%,52,7%,28,90,52,73,104,25%,0%,93,78%,5.64,76,5%,5%,12,178,45,5,6%,1%,2.200250678,2.630094851,2.935735095,3.2326,2.620636856,9.869096386,6.344722222,6.886443089,5.962466125,2%
S01007893,Mauchline,East Ayrshire,999,601,6031,87,18,9,5,5500.5,5453,4185,5256,5864,5720,5779,4%,39,4%,21,75,17,33,78,20%,7%,85,92%,5.90,79,2%,12%,7,71,51,0,5%,0%,1.255156853,1.668050193,2.000666023,2.730632184,2.04074083,8.85859375,5.763745174,6.418861004,5.659695946,1%
S01007894,Mauchline,East Ayrshire,845,564,2979,43,9,5,3,2564,2876,2687,2640,5541,3359,3260.5,13%,114,9%,53,105,55,37,84,26%,0%,114,81%,5.45,142,1%,5%,17,203,104,0,11%,0%,1.8238619,1.813460699,2.325084607,2.175970588,2.426899563,9.622071006,6.886820415,8.167953057,7.59926583,0%
S01007895,Mauchline,East Ayrshire,630,383,4119,60,12,6,3,3768,3840,2871,4070,5404,3042,4162,9%,54,7%,25,90,42,206,94,21%,0%,127,82%,5.82,87,0%,6%,14,224,48,0,9%,0%,2.175401292,2.156162362,1.829607934,3.344677419,2.5512131,10.26380734,4.996798893,5.032555351,4.986780443,0%
S01007896,Mauchline,East Ayrshire,820,500,1135,17,4,2,1,1540,1268,474,969,2933,3266,1570,19%,158,16%,79,160,211,555,151,29%,13%,177,76%,5.20,178,4%,1%,17,209,139,13,16%,1%,3.107667243,3.006931949,2.380412341,3.851639785,3.484734717,10.94094262,7.770876586,8.16349481,7.55422722,0%
S01007897,Cumnock Rural,East Ayrshire,467,286,3676,53,11,6,3,4159,4345,4472,4767,395,2028,5512,7%,34,6%,16,95,37,36,53,16%,0%,68,89%,5.54,85,0%,12%,15,324,20,5,5%,1%,5.672255125,5.887630979,5.205592255,6.050212766,7.920421412,5.896232877,19.71933371,19.49734055,25.07933941,82%
S01007898,Cumnock Rural,East Ayrshire,444,288,4311,62,13,7,4,4584,5035,4322,4374,891,2483,5560,6%,27,4%,12,75,31,0,102,16%,0%,95,87%,5.50,86,1%,15%,12,273,20,5,4%,1%,4.25206278,4.087606502,4.148004484,3.815,4.386294843,11.64238889,11.59946188,11.89311659,13.56688341,49%
S01007899,Cumnock Rural,East Ayrshire,368,236,3803,55,11,6,3,4518.5,3866,4683,4477,363,5484,4633,6%,23,7%,16,85,18,0,72,13%,0%,90,85%,5.83,113,0%,15%,3,82,19,8,5%,2%,5.222729226,6.756375358,5.341289398,6.034722222,7.729835244,7.967625,22.44860315,18.41123209,22.99661175,79%
S01007900,Cumnock Rural,East Ayrshire,550,316,764,11,3,2,1,653,1368,1153,95,3799,3943,2232,27%,149,15%,49,160,98,127,98,25%,9%,148,69%,4.00,198,8%,1%,9,165,80,1,15%,0%,2.892163024,4.510687614,1.242786885,1.957467949,5.187163024,5.723350515,12.33924863,3.688447177,11.54283242,0%
S01007901,Cumnock Rural,East Ayrshire,669,410,1216,18,4,2,1,1215,1039,1497,1520,1640,2490,3745,22%,145,17%,70,145,93,93,122,21%,6%,152,71%,5.89,182,7%,5%,18,271,65,5,9%,1%,3.423688467,5.043769339,1.876898734,2.855,5.720084388,6.398191489,13.39303446,5.777313643,12.58824895,14%
S01007902,Cumnock Rural,East Ayrshire,805,473,291,5,1,1,1,370,283,910,137,883,5110,3234,31%,248,25%,115,215,57,115,89,23%,0%,129,62%,4.68,223,5%,3%,8,100,97,4,11%,0%,1.803496602,14.76207531,2.823997735,3.401949153,15.4385419,1.957217391,22.65006229,7.936749717,21.82619479,5%
S01007903,Cumnock Rural,East Ayrshire,600,350,1239,18,4,2,1,1677.5,596,1671,2455,1488,2519,3517,18%,110,20%,71,160,103,503,115,19%,0%,103,79%,5.23,151,2%,11%,16,269,68,0,11%,0%,1.685573643,15.82471318,0.889387597,1.810860215,16.51676357,3.008030303,28.50448062,4.23351938,27.67995349,2%
S01007904,Cumnock Rural,East Ayrshire,837,571,3941,57,12,6,3,4237,4174.5,4235,5144,588,3877,4447,7%,59,6%,33,80,24,19,63,17%,0%,98,94%,5.86,95,1%,9%,14,169,51,13,6%,2%,5.468277385,6.763050648,4.43479682,3.063292683,9.275644876,6.31344086,16.27768846,11.40582303,22.35081125,35%
S01007905,New Cumnock,East Ayrshire,603,387,585,9,2,1,1,419,803,776,513,3633,1402,2245,30%,181,19%,73,180,86,154,153,25%,8%,149,69%,5.50,236,7%,3%,25,418,100,1,15%,0%,3.618577147,2.275764192,1.804195779,3.211496599,3.725105531,12.77288043,5.34143377,4.776557496,8.353282387,1%
S01007906,New Cumnock,East Ayrshire,657,382,687,10,2,1,1,582,750,361,1026,6487,1175,4226,28%,183,19%,72,175,278,402,152,29%,7%,188,77%,5.18,204,4%,3%,30,461,60,3,8%,0%,2.338718923,1.145587017,2.147679558,1.988310811,2.446184392,11.53760331,3.668162983,4.253100829,5.873107735,0%
S01007907,New Cumnock,East Ayrshire,515,299,1813,26,6,3,2,1163,2195,1011,2424,5379,4067,4126.5,22%,114,12%,35,145,67,67,120,28%,5%,189,77%,6.00,178,2%,5%,8,157,48,0,9%,0%,2.881436567,1.601515858,1.343642724,2.710531915,2.985536381,12.083,4.579440299,3.894421642,7.469029851,0%
S01007908,New Cumnock,East Ayrshire,900,549,3179,46,10,5,3,3231,2937,2096,2844,6026,3212,3781,11%,96,9%,51,135,59,38,102,21%,0%,141,85%,5.40,148,4%,10%,19,213,81,8,9%,1%,1.500131435,2.556130887,1.463003834,2.078375796,1.705676342,9.16622549,6.12152793,4.558918401,5.749430449,1%
S01007909,Cumnock South and Craigens,East Ayrshire,500,321,2454,36,8,4,2,2173,2792,2808,2928,1485,3993,2137,15%,77,10%,31,115,56,62,140,21%,0%,94,77%,5.41,147,0%,13%,8,161,80,2,15%,0%,4.714060773,5.632214549,2.095943831,3.064615385,6.025612339,5.634208333,12.72402394,7.283047882,14.33041897,0%
S01007910,Cumnock South and Craigens,East Ayrshire,839,519,910,14,3,2,1,695,829,1593,774,3859,3164,3260.5,27%,224,19%,96,160,65,139,91,22%,8%,129,67%,4.98,174,6%,5%,18,216,103,1,11%,0%,2.960638646,3.882112445,1.450821507,2.598662614,4.27481441,4.44309417,9.56831059,6.092156114,12.20584334,0%
S01007911,Cumnock South and Craigens,East Ayrshire,786,493,2126,31,7,4,2,1817,1990.5,2134,2254,4056,2401,4894,17%,137,13%,61,125,93,100,104,21%,5%,129,80%,5.32,134,5%,7%,22,282,55,0,7%,0%,2.932223295,3.851518662,1.294749035,2.646980676,4.244803732,4.016774194,8.030768983,5.559623552,10.78443694,1%
S01007912,Cumnock South and Craigens,East Ayrshire,689,404,2072,30,6,3,2,2893,1228,1397,2383,4051,4524,4541,12%,83,16%,65,140,147,417,105,22%,8%,135,75%,5.58,158,3%,11%,9,132,59,1,8%,0%,2.170099075,2.747351387,3.070257596,4.129539474,3.457708058,3.109873418,8.344468296,9.602384412,10.53918428,0%
S01007913,Cumnock South and Craigens,East Ayrshire,605,381,631,10,2,1,1,333,696,622,1089,5868,2235,2808,31%,189,20%,74,180,141,298,168,24%,14%,157,72%,5.29,197,5%,6%,18,300,79,0,13%,0%,1.465105519,2.374521104,2.415146104,3.588194444,2.653060065,3.371918605,5.878741883,6.987325487,8.278839286,0%
S01007914,Cumnock South and Craigens,East Ayrshire,599,381,870,13,3,2,1,805,983.5,1777,457,3492,1212,1522.5,26%,153,18%,67,135,130,211,103,20%,16%,131,69%,4.37,156,4%,2%,27,455,112,0,18%,0%,2.150780255,3.770398089,3.31361465,3.503686131,3.314470541,5.106079545,8.137416401,8.863722134,7.357519904,0%
