Quarter Ending,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 9 - 12 weeks,> 12-15 weeks,> 15-18 weeks,>18 weeks,> 13 - 26 weeks1,> 26 weeks,Total Waiting ,,,,,,,,,,,
30-Sep-2010,Belfast,Ophthalmology,Acute Services,68,27,11,--,--,--,--,8,0,114,,,,,,,,,,,
30-Sep-2010,Belfast,Dermatology,Acute Services,45,8,7,--,--,--,--,8,0,68,,,,,,,,,,,
30-Sep-2010,Northern,T & O Surgery,Acute Services,803,193,61,--,--,--,--,44,0,"1,101",,,,,,,,,,,
30-Sep-2010,Northern,ENT,Acute Services,283,93,65,--,--,--,--,80,0,521,,,,,,,,,,,
30-Sep-2010,Northern,Ophthalmology,Acute Services,186,6,14,--,--,--,--,23,68,297,,,,,,,,,,,
30-Sep-2010,Northern,Dermatology,Acute Services,139,44,10,--,--,--,--,2,0,195,,,,,,,,,,,
30-Sep-2010,South Eastern,T & O Surgery,Acute Services,571,163,39,--,--,--,--,4,2,779,,,,,,,,,,,
30-Sep-2010,South Eastern,ENT,Acute Services,122,25,39,--,--,--,--,0,0,186,,,,,,,,,,,
30-Sep-2010,South Eastern,Ophthalmology,Acute Services,136,41,23,--,--,--,--,10,0,210,,,,,,,,,,,
30-Sep-2010,South Eastern,Dermatology,Acute Services,218,33,8,--,--,--,--,49,17,325,,,,,,,,,,,
30-Sep-2010,Southern,T & O Surgery,Acute Services,628,213,1,--,--,--,--,1,0,843,,,,,,,,,,,
30-Sep-2010,Southern,Dermatology,Acute Services,151,73,47,--,--,--,--,148,0,419,,,,,,,,,,,
30-Sep-2010,Southern,Urology,Acute Services,81,62,85,--,--,--,--,229,16,473,,,,,,,,,,,
30-Sep-2010,Western,T & O Surgery,Acute Services,839,157,2,--,--,--,--,0,0,998,,,,,,,,,,,
30-Sep-2010,Western,ENT,Acute Services,192,3,0,--,--,--,--,0,0,195,,,,,,,,,,,
30-Sep-2010,Western,Ophthalmology,Acute Services,98,1,0,--,--,--,--,0,0,99,,,,,,,,,,,
31-Dec-2010,Belfast,T & O Surgery,Acute Services,463,101,5,--,--,--,--,1,1,571,,,,,,,,,,,
31-Dec-2010,Belfast,Ophthalmology,Acute Services,13,7,16,--,--,--,--,16,7,59,,,,,,,,,,,
31-Dec-2010,Belfast,Dermatology,Acute Services,31,17,5,--,--,--,--,16,0,69,,,,,,,,,,,
31-Dec-2010,Northern,T & O Surgery,Acute Services,536,90,6,--,--,--,--,0,0,632,,,,,,,,,,,
31-Dec-2010,Northern,ENT,Acute Services,194,53,23,--,--,--,--,4,1,275,,,,,,,,,,,
31-Dec-2010,Northern,Ophthalmology,Acute Services,92,41,15,--,--,--,--,12,1,161,,,,,,,,,,,
31-Dec-2010,Northern,Dermatology,Acute Services,152,70,23,--,--,--,--,0,6,251,,,,,,,,,,,
31-Dec-2010,South Eastern,T & O Surgery,Acute Services,480,196,33,--,--,--,--,14,1,724,,,,,,,,,,,
31-Dec-2010,South Eastern,ENT,Acute Services,213,36,1,--,--,--,--,2,0,252,,,,,,,,,,,
31-Dec-2010,South Eastern,Ophthalmology,Acute Services,99,34,4,--,--,--,--,4,0,141,,,,,,,,,,,
31-Dec-2010,South Eastern,Dermatology,Acute Services,158,16,0,--,--,--,--,5,1,180,,,,,,,,,,,
31-Dec-2010,Southern,T & O Surgery,Acute Services,321,234,0,--,--,--,--,1,0,556,,,,,,,,,,,
31-Dec-2010,Southern,Dermatology,Acute Services,6,36,37,--,--,--,--,232,101,412,,,,,,,,,,,
31-Dec-2010,Southern,Urology,Acute Services,97,53,94,--,--,--,--,142,15,401,,,,,,,,,,,
31-Dec-2010,Western,T & O Surgery,Acute Services,626,301,71,--,--,--,--,2,0,"1,000",,,,,,,,,,,
31-Dec-2010,Western,ENT,Acute Services,434,25,0,--,--,--,--,0,0,459,,,,,,,,,,,
31-Dec-2010,Western,Ophthalmology,Acute Services,49,11,0,--,--,--,--,0,0,60,,,,,,,,,,,
31-Mar-2011,Belfast,T & O Surgery,Acute Services,427,30,4,--,--,--,--,3,0,464,,,,,,,,,,,
31-Mar-2011,Belfast,Dermatology,Acute Services,89,2,2,--,--,--,--,0,1,94,,,,,,,,,,,
31-Mar-2011,Northern,T & O Surgery,Acute Services,812,85,0,--,--,--,--,0,0,897,,,,,,,,,,,
31-Mar-2011,Northern,ENT,Acute Services,246,21,7,--,--,--,--,2,0,276,,,,,,,,,,,
31-Mar-2011,Northern,Ophthalmology,Acute Services,261,15,0,--,--,--,--,0,0,276,,,,,,,,,,,
31-Mar-2011,Northern,Dermatology,Acute Services,177,77,39,--,--,--,--,6,0,299,,,,,,,,,,,
31-Mar-2011,South Eastern,T & O Surgery,Acute Services,493,122,0,--,--,--,--,0,0,615,,,,,,,,,,,
31-Mar-2011,South Eastern,ENT,Acute Services,180,24,0,--,--,--,--,0,0,204,,,,,,,,,,,
31-Mar-2011,South Eastern,Ophthalmology,Acute Services,82,6,3,--,--,--,--,0,0,91,,,,,,,,,,,
31-Mar-2011,South Eastern,Dermatology,Acute Services,127,15,0,--,--,--,--,0,0,142,,,,,,,,,,,
31-Mar-2011,Southern,Urology,Acute Services,89,42,45,--,--,--,--,7,0,183,,,,,,,,,,,
31-Mar-2011,Southern,T & O Surgery,Acute Services,532,163,0,--,--,--,--,0,0,695,,,,,,,,,,,
31-Mar-2011,Southern,Cardiology,Acute Services,15,1,0,--,--,--,--,0,0,16,,,,,,,,,,,
31-Mar-2011,Western,T & O Surgery,Acute Services,831,197,44,--,--,--,--,0,0,"1,072",,,,,,,,,,,
31-Mar-2011,Western,ENT,Acute Services,260,72,164,--,--,--,--,51,0,547,,,,,,,,,,,
31-Mar-2011,Western,Ophthalmology,Acute Services,92,13,2,--,--,--,--,1,0,108,,,,,,,,,,,
30-Jun-2011,Belfast,T & O Surgery,Acute Services,464,77,--,7,0,1,10,--,--,559,,,,,,,,,,,
30-Jun-2011,Belfast,Ophthalmology,Acute Services,16,0,--,6,12,44,0,--,--,78,,,,,,,,,,,
30-Jun-2011,Belfast,Dermatology,Acute Services,63,4,--,1,2,0,1,--,--,71,,,,,,,,,,,
30-Jun-2011,Northern,T & O Surgery,Acute Services,857,53,--,0,2,0,0,--,--,912,,,,,,,,,,,
30-Jun-2011,Northern,ENT,Acute Services,244,53,--,11,1,0,0,--,--,309,,,,,,,,,,,
30-Jun-2011,Northern,Ophthalmology,Acute Services,91,0,--,0,0,0,0,--,--,91,,,,,,,,,,,
30-Jun-2011,Northern,Dermatology,Acute Services,195,56,--,32,22,17,9,--,--,331,,,,,,,,,,,
30-Jun-2011,South Eastern,T & O Surgery,Acute Services,618,134,--,4,0,1,1,--,--,758,,,,,,,,,,,
30-Jun-2011,South Eastern,ENT,Acute Services,182,12,--,2,1,0,0,--,--,197,,,,,,,,,,,
30-Jun-2011,South Eastern,Ophthalmology,Acute Services,135,5,--,1,0,0,0,--,--,141,,,,,,,,,,,
30-Jun-2011,South Eastern,Dermatology,Acute Services,155,6,--,3,1,0,0,--,--,165,,,,,,,,,,,
30-Jun-2011,Southern,Urology,Acute Services,77,63,--,2,3,0,1,--,--,146,,,,,,,,,,,
30-Jun-2011,Southern,T & O Surgery,Acute Services,365,201,--,0,0,0,0,--,--,566,,,,,,,,,,,
30-Jun-2011,Southern,Cardiology,Acute Services,33,9,--,0,1,12,0,--,--,55,,,,,,,,,,,
30-Jun-2011,Western,Urology,Acute Services,9,1,--,0,0,0,0,--,--,10,,,,,,,,,,,
30-Jun-2011,Western,T & O Surgery,Acute Services,837,150,--,25,3,0,0,--,--,"1,015",,,,,,,,,,,
30-Jun-2011,Western,ENT,Acute Services,263,40,--,12,38,39,175,--,--,567,,,,,,,,,,,
30-Jun-2011,Western,Ophthalmology,Acute Services,108,55,--,0,0,0,0,--,--,163,,,,,,,,,,,
30-Sep-2011,Belfast,T & O Surgery,Acute Services,479,111,--,23,1,1,10,--,--,625,,,,,,,,,,,
30-Sep-2011,Belfast,Ophthalmology,Acute Services,67,19,--,35,32,22,14,--,--,189,,,,,,,,,,,
30-Sep-2011,Belfast,Dermatology,Acute Services,65,17,--,11,2,1,4,--,--,100,,,,,,,,,,,
30-Sep-2011,Northern,T & O Surgery,Acute Services,703,25,--,0,0,0,0,--,--,728,,,,,,,,,,,
30-Sep-2011,Northern,ENT,Acute Services,266,49,--,0,0,0,0,--,--,315,,,,,,,,,,,
30-Sep-2011,Northern,Ophthalmology,Acute Services,98,5,--,0,0,0,0,--,--,103,,,,,,,,,,,
30-Sep-2011,Northern,Dermatology,Acute Services,174,63,--,35,22,25,8,--,--,327,,,,,,,,,,,
30-Sep-2011,South Eastern,T & O Surgery,Acute Services,568,164,--,29,8,1,0,--,--,770,,,,,,,,,,,
30-Sep-2011,South Eastern,ENT,Acute Services,123,46,--,7,0,0,0,--,--,176,,,,,,,,,,,
30-Sep-2011,South Eastern,Ophthalmology,Acute Services,151,24,--,2,1,1,1,--,--,180,,,,,,,,,,,
30-Sep-2011,South Eastern,Dermatology,Acute Services,187,17,--,0,3,7,14,--,--,228,,,,,,,,,,,
30-Sep-2011,Southern,Urology,Acute Services,98,37,--,23,6,2,0,--,--,166,,,,,,,,,,,
30-Sep-2011,Southern,T & O Surgery,Acute Services,489,180,--,1,0,0,0,--,--,670,,,,,,,,,,,
30-Sep-2011,Southern,Cardiology,Acute Services,27,15,--,17,13,16,12,--,--,100,,,,,,,,,,,
30-Sep-2011,Southern,Dermatology,Acute Services,142,2,--,1,0,8,34,--,--,187,,,,,,,,,,,
30-Sep-2011,Western,Urology,Acute Services,10,0,--,0,0,0,0,--,--,10,,,,,,,,,,,
30-Sep-2011,Western,T & O Surgery,Acute Services,828,156,--,5,4,0,0,--,--,993,,,,,,,,,,,
30-Sep-2011,Western,ENT,Acute Services,135,46,--,37,39,55,83,--,--,395,,,,,,,,,,,
30-Sep-2011,Western,Ophthalmology,Acute Services,117,53,--,35,8,0,1,--,--,214,,,,,,,,,,,
31-Dec-2011,Belfast,T & O Surgery,Acute Services,447,113,--,12,2,0,8,--,--,582,,,,,,,,,,,
31-Dec-2011,Belfast,Ophthalmology,Acute Services,63,50,--,11,13,7,0,--,--,144,,,,,,,,,,,
31-Dec-2011,Belfast,Dermatology,Acute Services,69,13,--,5,2,2,2,--,--,93,,,,,,,,,,,
31-Dec-2011,Northern,T & O Surgery,Acute Services,601,42,--,2,0,1,0,--,--,646,,,,,,,,,,,
31-Dec-2011,Northern,ENT,Acute Services,273,55,--,3,0,1,2,--,--,334,,,,,,,,,,,
31-Dec-2011,Northern,Ophthalmology,Acute Services,128,8,--,3,0,2,21,--,--,162,,,,,,,,,,,
31-Dec-2011,Northern,Dermatology,Acute Services,134,60,--,73,47,19,79,--,--,412,,,,,,,,,,,
31-Dec-2011,South Eastern,T & O Surgery,Acute Services,510,228,--,54,0,0,1,--,--,793,,,,,,,,,,,
31-Dec-2011,South Eastern,ENT,Acute Services,100,53,--,2,0,0,0,--,--,155,,,,,,,,,,,
31-Dec-2011,South Eastern,Ophthalmology,Acute Services,105,29,--,2,4,0,0,--,--,140,,,,,,,,,,,
31-Dec-2011,South Eastern,Dermatology,Acute Services,157,24,--,7,10,10,1,--,--,209,,,,,,,,,,,
31-Dec-2011,Southern,Urology,Acute Services,65,39,--,27,34,15,7,--,--,187,,,,,,,,,,,
31-Dec-2011,Southern,T & O Surgery,Acute Services,523,124,--,2,0,0,0,--,--,649,,,,,,,,,,,
31-Dec-2011,Southern,Cardiology,Acute Services,12,12,--,11,6,14,28,--,--,83,,,,,,,,,,,
31-Dec-2011,Southern,Dermatology,Acute Services,108,44,--,51,63,63,12,--,--,341,,,,,,,,,,,
31-Dec-2011,Western,T & O Surgery,Acute Services,622,159,--,51,4,2,0,--,--,838,,,,,,,,,,,
31-Dec-2011,Western,ENT,Acute Services,137,10,--,51,38,20,190,--,--,446,,,,,,,,,,,
31-Dec-2011,Western,Ophthalmology,Acute Services,152,33,--,31,12,1,0,--,--,229,,,,,,,,,,,
31-Mar-2012,Belfast,T & O Surgery,Acute Services,436,76,--,7,4,1,0,--,--,524,,,,,,,,,,,
31-Mar-2012,Belfast,Ophthalmology,Acute Services,98,54,--,17,12,3,1,--,--,185,,,,,,,,,,,
31-Mar-2012,Belfast,Dermatology,Acute Services,89,3,--,0,0,0,0,--,--,92,,,,,,,,,,,
31-Mar-2012,Northern,T & O Surgery,Acute Services,720,30,--,0,0,0,0,--,--,750,,,,,,,,,,,
31-Mar-2012,Northern,ENT,Acute Services,368,120,--,8,0,0,2,--,--,498,,,,,,,,,,,
31-Mar-2012,Northern,Ophthalmology,Acute Services,153,10,--,2,0,0,0,--,--,165,,,,,,,,,,,
31-Mar-2012,Northern,Dermatology,Acute Services,200,81,--,69,32,48,43,--,--,473,,,,,,,,,,,
31-Mar-2012,South Eastern,T & O Surgery,Acute Services,489,55,--,0,0,0,0,--,--,544,,,,,,,,,,,
31-Mar-2012,South Eastern,ENT,Acute Services,116,29,--,0,1,0,0,--,--,146,,,,,,,,,,,
31-Mar-2012,South Eastern,Ophthalmology,Acute Services,114,20,--,2,0,0,0,--,--,136,,,,,,,,,,,
31-Mar-2012,South Eastern,Dermatology,Acute Services,146,31,--,13,0,2,2,--,--,194,,,,,,,,,,,
31-Mar-2012,Southern,Urology,Acute Services,69,45,--,39,30,24,22,--,--,229,,,,,,,,,,,
31-Mar-2012,Southern,T & O Surgery,Acute Services,475,178,--,2,0,0,0,--,--,655,,,,,,,,,,,
31-Mar-2012,Southern,ENT,Acute Services,6,2,--,0,0,0,0,--,--,8,,,,,,,,,,,
31-Mar-2012,Southern,Cardiology,Acute Services,39,15,--,0,0,0,0,--,--,54,,,,,,,,,,,
31-Mar-2012,Southern,Dermatology,Acute Services,139,91,--,60,27,44,16,--,--,377,,,,,,,,,,,
31-Mar-2012,Western,Urology,Acute Services,3,0,--,0,0,0,0,--,--,3,,,,,,,,,,,
31-Mar-2012,Western,T & O Surgery,Acute Services,715,108,--,8,1,0,0,--,--,832,,,,,,,,,,,
31-Mar-2012,Western,ENT,Acute Services,223,40,--,33,15,29,52,--,--,392,,,,,,,,,,,
31-Mar-2012,Western,Ophthalmology,Acute Services,160,37,--,7,3,6,6,--,--,219,,,,,,,,,,,
30-Jun-2012,Belfast,T & O Surgery,Acute Services,461,75,--,17,4,2,7,--,--,566,,,,,,,,,,,
30-Jun-2012,Belfast,Ophthalmology,Acute Services,133,23,--,19,22,24,51,--,--,272,,,,,,,,,,,
30-Jun-2012,Belfast,Dermatology,Acute Services,27,4,--,19,8,0,0,--,--,58,,,,,,,,,,,
30-Jun-2012,Northern,T & O Surgery,Acute Services,757,29,--,0,0,0,0,--,--,786,,,,,,,,,,,
30-Jun-2012,Northern,ENT,Acute Services,209,124,--,74,41,4,0,--,--,452,,,,,,,,,,,
30-Jun-2012,Northern,Ophthalmology,Acute Services,100,8,--,0,0,0,0,--,--,108,,,,,,,,,,,
30-Jun-2012,Northern,Dermatology,Acute Services,220,68,--,27,13,15,11,--,--,354,,,,,,,,,,,
30-Jun-2012,South Eastern,T & O Surgery,Acute Services,568,133,--,0,0,0,1,--,--,702,,,,,,,,,,,
30-Jun-2012,South Eastern,ENT,Acute Services,163,49,--,3,13,0,0,--,--,228,,,,,,,,,,,
30-Jun-2012,South Eastern,Ophthalmology,Acute Services,150,17,--,3,0,0,0,--,--,170,,,,,,,,,,,
30-Jun-2012,South Eastern,Dermatology,Acute Services,190,14,--,0,0,0,12,--,--,216,,,,,,,,,,,
30-Jun-2012,Southern,Urology,Acute Services,50,51,--,38,49,58,50,--,--,296,,,,,,,,,,,
30-Jun-2012,Southern,T & O Surgery,Acute Services,712,258,--,1,1,0,0,--,--,972,,,,,,,,,,,
30-Jun-2012,Southern,ENT,Acute Services,72,20,--,16,22,15,23,--,--,168,,,,,,,,,,,
30-Jun-2012,Southern,Cardiology,Acute Services,2,14,--,5,12,3,4,--,--,40,,,,,,,,,,,
30-Jun-2012,Southern,Dermatology,Acute Services,181,64,--,60,90,61,16,--,--,472,,,,,,,,,,,
30-Jun-2012,Western,Urology,Acute Services,12,0,--,0,0,0,0,--,--,12,,,,,,,,,,,
30-Jun-2012,Western,T & O Surgery,Acute Services,810,220,--,52,8,1,0,--,--,"1,091",,,,,,,,,,,
30-Jun-2012,Western,ENT,Acute Services,240,70,--,80,6,18,1,--,--,415,,,,,,,,,,,
30-Jun-2012,Western,Ophthalmology,Acute Services,146,74,--,40,3,0,0,--,--,263,,,,,,,,,,,
30-Sep-2012,Belfast,T & O Surgery,Acute Services,544,73,--,6,3,0,10,--,--,636,,,,,,,,,,,
30-Sep-2012,Belfast,Ophthalmology,Acute Services,139,23,--,22,8,0,0,--,--,192,,,,,,,,,,,
30-Sep-2012,Belfast,Dermatology,Acute Services,77,16,--,0,0,0,0,--,--,93,,,,,,,,,,,
30-Sep-2012,Northern,T & O Surgery,Acute Services,794,55,--,0,0,0,0,--,--,849,,,,,,,,,,,
30-Sep-2012,Northern,ENT,Acute Services,178,62,--,36,23,7,7,--,--,313,,,,,,,,,,,
30-Sep-2012,Northern,Ophthalmology,Acute Services,141,14,--,0,0,0,0,--,--,155,,,,,,,,,,,
30-Sep-2012,Northern,Dermatology,Acute Services,184,34,--,14,3,2,0,--,--,237,,,,,,,,,,,
30-Sep-2012,South Eastern,T & O Surgery,Acute Services,580,206,--,41,7,2,1,--,--,837,,,,,,,,,,,
30-Sep-2012,South Eastern,ENT,Acute Services,127,27,--,11,9,0,0,--,--,174,,,,,,,,,,,
30-Sep-2012,South Eastern,Ophthalmology,Acute Services,219,45,--,3,3,2,0,--,--,272,,,,,,,,,,,
30-Sep-2012,South Eastern,Dermatology,Acute Services,225,44,--,1,0,0,10,--,--,280,,,,,,,,,,,
30-Sep-2012,Southern,Urology,Acute Services,63,38,--,24,16,5,17,--,--,163,,,,,,,,,,,
30-Sep-2012,Southern,T & O Surgery,Acute Services,647,253,--,0,0,0,1,--,--,901,,,,,,,,,,,
30-Sep-2012,Southern,ENT,Acute Services,90,30,--,22,21,23,40,--,--,226,,,,,,,,,,,
30-Sep-2012,Southern,Cardiology,Acute Services,29,4,--,0,0,0,0,--,--,33,,,,,,,,,,,
30-Sep-2012,Southern,Dermatology,Acute Services,208,60,--,52,68,63,24,--,--,475,,,,,,,,,,,
30-Sep-2012,Western,Urology,Acute Services,10,0,--,0,0,0,0,--,--,10,,,,,,,,,,,
30-Sep-2012,Western,T & O Surgery,Acute Services,890,234,--,11,0,0,0,--,--,"1,135",,,,,,,,,,,
30-Sep-2012,Western,ENT,Acute Services,267,143,--,15,60,31,14,--,--,530,,,,,,,,,,,
30-Sep-2012,Western,Ophthalmology,Acute Services,169,53,--,19,7,4,1,--,--,253,,,,,,,,,,,
31-Dec-2012,Belfast,T & O Surgery,Acute Services,518,193,--,17,4,0,12,--,--,744,,,,,,,,,,,
31-Dec-2012,Belfast,Ophthalmology,Acute Services,152,47,--,17,8,8,1,--,--,233,,,,,,,,,,,
31-Dec-2012,Belfast,Dermatology,Acute Services,8,3,--,1,1,0,0,--,--,13,,,,,,,,,,,
31-Dec-2012,Northern,T & O Surgery,Acute Services,787,90,--,1,0,0,0,--,--,878,,,,,,,,,,,
31-Dec-2012,Northern,ENT,Acute Services,160,12,--,5,3,1,9,--,--,190,,,,,,,,,,,
31-Dec-2012,Northern,Ophthalmology,Acute Services,177,0,--,0,0,0,0,--,--,177,,,,,,,,,,,
31-Dec-2012,Northern,Dermatology,Acute Services,141,19,--,4,2,0,1,--,--,167,,,,,,,,,,,
31-Dec-2012,South Eastern,T & O Surgery,Acute Services,579,278,--,80,2,4,1,--,--,944,,,,,,,,,,,
31-Dec-2012,South Eastern,ENT,Acute Services,85,83,--,43,5,1,0,--,--,217,,,,,,,,,,,
31-Dec-2012,South Eastern,Ophthalmology,Acute Services,163,48,--,9,2,0,0,--,--,222,,,,,,,,,,,
31-Dec-2012,South Eastern,Dermatology,Acute Services,257,54,--,18,3,4,1,--,--,337,,,,,,,,,,,
31-Dec-2012,Southern,Urology,Acute Services,94,47,--,29,0,0,0,--,--,170,,,,,,,,,,,
31-Dec-2012,Southern,T & O Surgery,Acute Services,625,298,--,15,0,0,0,--,--,938,,,,,,,,,,,
31-Dec-2012,Southern,ENT,Acute Services,81,39,--,33,19,6,33,--,--,211,,,,,,,,,,,
31-Dec-2012,Southern,Cardiology,Acute Services,14,11,--,6,12,7,14,--,--,64,,,,,,,,,,,
31-Dec-2012,Southern,Dermatology,Acute Services,111,85,--,76,60,18,1,--,--,351,,,,,,,,,,,
31-Dec-2012,Western,Urology,Acute Services,4,0,--,0,0,0,0,--,--,4,,,,,,,,,,,
31-Dec-2012,Western,T & O Surgery,Acute Services,759,362,--,90,1,0,1,--,--,"1,213",,,,,,,,,,,
31-Dec-2012,Western,ENT,Acute Services,218,68,--,61,35,16,4,--,--,402,,,,,,,,,,,
31-Dec-2012,Western,Ophthalmology,Acute Services,102,33,--,20,1,0,0,--,--,156,,,,,,,,,,,
31-Mar-2013,Belfast,T & O Surgery,Acute Services,345,81,--,11,3,0,1,--,--,441,,,,,,,,,,,
31-Mar-2013,Belfast,Ophthalmology,Acute Services,142,78,--,61,13,9,4,--,--,307,,,,,,,,,,,
31-Mar-2013,Belfast,Dermatology,Acute Services,61,11,--,0,0,1,0,--,--,73,,,,,,,,,,,
31-Mar-2013,Northern,T & O Surgery,Acute Services,827,101,--,0,0,0,0,--,--,928,,,,,,,,,,,
31-Mar-2013,Northern,ENT,Acute Services,144,37,--,0,0,0,0,--,--,181,,,,,,,,,,,
31-Mar-2013,Northern,Ophthalmology,Acute Services,119,2,--,0,0,0,0,--,--,121,,,,,,,,,,,
31-Mar-2013,Northern,Dermatology,Acute Services,159,38,--,1,0,0,0,--,--,198,,,,,,,,,,,
31-Mar-2013,South Eastern,T & O Surgery,Acute Services,558,96,--,1,0,0,0,--,--,655,,,,,,,,,,,
31-Mar-2013,South Eastern,ENT,Acute Services,58,45,--,27,0,1,1,--,--,132,,,,,,,,,,,
31-Mar-2013,South Eastern,Ophthalmology,Acute Services,153,28,--,2,1,0,0,--,--,184,,,,,,,,,,,
31-Mar-2013,South Eastern,Dermatology,Acute Services,274,96,--,35,14,5,0,--,--,424,,,,,,,,,,,
31-Mar-2013,Southern,Urology,Acute Services,61,60,--,34,11,15,0,--,--,181,,,,,,,,,,,
31-Mar-2013,Southern,T & O Surgery,Acute Services,659,263,--,0,0,0,0,--,--,922,,,,,,,,,,,
31-Mar-2013,Southern,ENT,Acute Services,90,32,--,0,0,0,0,--,--,122,,,,,,,,,,,
31-Mar-2013,Southern,Cardiology,Acute Services,44,20,--,0,0,0,0,--,--,64,,,,,,,,,,,
31-Mar-2013,Southern,Dermatology,Acute Services,124,7,--,6,4,8,0,--,--,149,,,,,,,,,,,
31-Mar-2013,Western,Urology,Acute Services,4,0,--,0,0,0,0,--,--,4,,,,,,,,,,,
31-Mar-2013,Western,T & O Surgery,Acute Services,834,198,--,47,6,2,1,--,--,"1,088",,,,,,,,,,,
31-Mar-2013,Western,ENT,Acute Services,247,70,--,25,13,30,9,--,--,394,,,,,,,,,,,
31-Mar-2013,Western,Ophthalmology,Acute Services,151,26,--,2,0,0,0,--,--,179,,,,,,,,,,,
30-Jun-2013,Belfast,T & O Surgery,Acute Services,597,75,--,11,5,2,3,--,--,693,,,,,,,,,,,
30-Jun-2013,Belfast,Ophthalmology,Acute Services,120,31,--,32,17,18,21,--,--,239,,,,,,,,,,,
30-Jun-2013,Belfast,Dermatology,Acute Services,115,20,--,2,0,0,2,--,--,139,,,,,,,,,,,
30-Jun-2013,Northern,T & O Surgery,Acute Services,932,93,--,0,0,0,0,--,--,"1,025",,,,,,,,,,,
30-Jun-2013,Northern,ENT,Acute Services,155,36,--,31,6,0,0,--,--,228,,,,,,,,,,,
30-Jun-2013,Northern,Ophthalmology,Acute Services,120,0,--,0,0,0,0,--,--,120,,,,,,,,,,,
30-Jun-2013,Northern,Dermatology,Acute Services,183,57,--,32,0,0,0,--,--,272,,,,,,,,,,,
30-Jun-2013,South Eastern,T & O Surgery,Acute Services,535,131,--,15,3,0,0,--,--,684,,,,,,,,,,,
30-Jun-2013,South Eastern,ENT,Acute Services,112,39,--,0,0,0,0,--,--,151,,,,,,,,,,,
30-Jun-2013,South Eastern,Ophthalmology,Acute Services,163,22,--,0,0,0,0,--,--,185,,,,,,,,,,,
30-Jun-2013,South Eastern,Dermatology,Acute Services,226,65,--,19,0,25,5,--,--,340,,,,,,,,,,,
30-Jun-2013,Southern,Urology,Acute Services,73,18,--,51,29,37,42,--,--,250,,,,,,,,,,,
30-Jun-2013,Southern,T & O Surgery,Acute Services,751,267,--,191,10,2,0,--,--,"1,221",,,,,,,,,,,
30-Jun-2013,Southern,ENT,Acute Services,105,19,--,0,0,1,0,--,--,125,,,,,,,,,,,
30-Jun-2013,Southern,Cardiology,Acute Services,26,21,--,17,18,11,8,--,--,101,,,,,,,,,,,
30-Jun-2013,Southern,Dermatology,Acute Services,271,68,--,9,0,0,0,--,--,348,,,,,,,,,,,
30-Jun-2013,Western,Urology,Acute Services,10,0,--,0,0,0,0,--,--,10,,,,,,,,,,,
30-Jun-2013,Western,T & O Surgery,Acute Services,966,297,--,108,10,1,0,--,--,"1,382",,,,,,,,,,,
