Quarter Ending,HSC Trust,Specialty,Programme Of Care,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 9 - 12 weeks,> 12-15 weeks,> 15-18 weeks,>18-26 weeks,>26-39 weeks,>39-52 weeks,>52-65 weeks,>65-78 weeks,>78-91 weeks,>91-104 weeks,>104 weeks,>18 weeks,>18-52 weeks,> 13 - 26 weeks,>52 weeks,> 26 weeks,Total Waiting
30-Jun-2008,Belfast,Dermatology,Acute Services,"1,308",422,143,,,,,,,,,,,,,,0,,0,"1,873"
30-Jun-2008,Belfast,Thoracic Medicine,Acute Services,257,70,30,,,,,,,,,,,,,,0,,0,357
30-Jun-2008,Belfast,Nephrology,Acute Services,164,17,4,,,,,,,,,,,,,,0,,0,185
30-Jun-2008,Belfast,Medical Oncology,Acute Services,32,5,0,,,,,,,,,,,,,,0,,0,37
30-Jun-2008,Belfast,Neurology,Acute Services,654,241,215,,,,,,,,,,,,,,15,,0,"1,125"
30-Jun-2008,Belfast,Rheumatology,Acute Services,420,146,142,,,,,,,,,,,,,,0,,0,708
30-Jun-2008,Belfast,Paediatrics,Acute Services,812,207,66,,,,,,,,,,,,,,16,,0,"1,101"
30-Jun-2008,Belfast,Paediatric Neurology,Acute Services,49,19,1,,,,,,,,,,,,,,0,,0,69
30-Jun-2008,Belfast,Geriatric Medicine,Elderly Care,251,20,7,,,,,,,,,,,,,,0,,0,278
30-Jun-2008,Belfast,Dental Medicine Specialties,Acute Services,294,49,69,,,,,,,,,,,,,,0,,0,412
30-Jun-2008,Belfast,Gynaecology,Acute Services,"1,331",299,133,,,,,,,,,,,,,,0,,0,"1,763"
30-Jun-2008,Belfast,Learning Disability,Learning Disability,19,5,0,,,,,,,,,,,,,,0,,0,24
30-Jun-2008,Belfast,Child & Adolescent Psychiatry,Mental Health,139,40,34,,,,,,,,,,,,,,0,,0,213
30-Jun-2008,Belfast,Old Age Psychiatry,Elderly Care,41,12,2,,,,,,,,,,,,,,0,,0,55
30-Jun-2008,Belfast,Clinical Oncology,Acute Services,114,4,0,,,,,,,,,,,,,,0,,0,118
30-Jun-2008,Belfast,Haematology,Acute Services,1,0,0,,,,,,,,,,,,,,0,,0,1
30-Jun-2008,Northern,General Surgery,Acute Services,"1,769",382,226,,,,,,,,,,,,,,0,,0,"2,377"
30-Jun-2008,Northern,Urology,Acute Services,213,61,70,,,,,,,,,,,,,,0,,0,344
30-Jun-2008,Northern,ENT,Acute Services,"1,177",407,376,,,,,,,,,,,,,,0,,0,"1,960"
30-Jun-2008,Northern,Oral Surgery,Acute Services,101,36,16,,,,,,,,,,,,,,0,,0,153
30-Jun-2008,Northern,Orthodontics,Acute Services,41,6,1,,,,,,,,,,,,,,0,,0,48
30-Jun-2008,Northern,Pain Management,Acute Services,159,43,34,,,,,,,,,,,,,,0,,0,236
30-Jun-2008,Northern,General Medicine,Acute Services,653,206,126,,,,,,,,,,,,,,0,,0,985
30-Jun-2008,Northern,Gastroenterology,Acute Services,387,92,86,,,,,,,,,,,,,,0,,0,565
30-Jun-2008,Northern,Haematology (Clinical),Acute Services,39,4,0,,,,,,,,,,,,,,0,,0,43
30-Jun-2008,Northern,Palliative Medicine,Acute Services,3,0,0,,,,,,,,,,,,,,0,,0,3
30-Jun-2008,Northern,Cardiology,Acute Services,368,100,76,,,,,,,,,,,,,,0,,0,544
30-Jun-2008,Northern,Dermatology,Acute Services,"1,100",375,180,,,,,,,,,,,,,,0,,0,"1,655"
30-Jun-2008,Northern,Nephrology,Acute Services,63,28,13,,,,,,,,,,,,,,0,,0,104
30-Jun-2008,Northern,Neurology,Acute Services,179,55,40,,,,,,,,,,,,,,0,,0,274
30-Jun-2008,Northern,Rheumatology,Acute Services,274,79,45,,,,,,,,,,,,,,0,,0,398
30-Jun-2008,Northern,Paediatrics,Acute Services,399,94,30,,,,,,,,,,,,,,0,,0,523
30-Jun-2008,Northern,Geriatric Medicine,Elderly Care,50,10,2,,,,,,,,,,,,,,0,,0,62
30-Jun-2008,Northern,Obstetrics,Maternity & Child Health,433,51,7,,,,,,,,,,,,,,0,,0,491
30-Jun-2008,Northern,Gynaecology,Acute Services,"1,190",408,293,,,,,,,,,,,,,,0,,0,"1,891"
30-Jun-2008,Northern,Chemical Pathology,Acute Services,14,1,0,,,,,,,,,,,,,,0,,0,15
30-Jun-2008,Northern,Haematology,Acute Services,5,0,0,,,,,,,,,,,,,,0,,0,5
30-Jun-2008,Northern,Joint Consultant Clinics,Acute Services,16,0,3,,,,,,,,,,,,,,0,,0,19
30-Jun-2008,South Eastern,General Surgery,Acute Services,"1,328",274,174,,,,,,,,,,,,,,0,,0,"1,776"
30-Jun-2008,South Eastern,Urology,Acute Services,273,43,7,,,,,,,,,,,,,,0,,0,323
30-Jun-2008,South Eastern,T & O Surgery,Acute Services,214,1,0,,,,,,,,,,,,,,0,,0,215
30-Jun-2008,South Eastern,ENT,Acute Services,"1,180",293,70,,,,,,,,,,,,,,0,,0,"1,543"
30-Jun-2008,South Eastern,Ophthalmology,Acute Services,753,258,123,,,,,,,,,,,,,,0,,0,"1,134"
30-Jun-2008,South Eastern,Oral Surgery,Acute Services,184,83,50,,,,,,,,,,,,,,0,,0,317
30-Jun-2008,South Eastern,Paediatric Dentistry,Acute Services,2,3,0,,,,,,,,,,,,,,0,,0,5
30-Jun-2008,South Eastern,Plastic Surgery,Acute Services,500,103,26,,,,,,,,,,,,,,0,,0,629
30-Jun-2008,South Eastern,Paediatric Surgery,Acute Services,24,1,0,,,,,,,,,,,,,,0,,0,25
30-Jun-2008,South Eastern,Pain Management,Acute Services,103,15,1,,,,,,,,,,,,,,0,,0,119
30-Jun-2008,South Eastern,General Medicine,Acute Services,842,185,101,,,,,,,,,,,,,,0,,0,"1,128"
30-Jun-2008,South Eastern,Gastroenterology,Acute Services,34,8,0,,,,,,,,,,,,,,0,,0,42
30-Jun-2008,South Eastern,Endocrinology,Acute Services,10,0,0,,,,,,,,,,,,,,0,,0,10
30-Jun-2008,South Eastern,Haematology (Clinical),Acute Services,51,4,2,,,,,,,,,,,,,,0,,0,57
30-Jun-2008,South Eastern,Palliative Medicine,Acute Services,1,0,0,,,,,,,,,,,,,,0,,0,1
30-Jun-2008,South Eastern,Cardiology,Acute Services,241,85,41,,,,,,,,,,,,,,0,,0,367
30-Jun-2008,South Eastern,Dermatology,Acute Services,"1,182",411,126,,,,,,,,,,,,,,0,,0,"1,719"
30-Jun-2008,South Eastern,Thoracic Medicine,Acute Services,180,29,16,,,,,,,,,,,,,,0,,0,225
30-Jun-2008,South Eastern,Nephrology,Acute Services,18,3,0,,,,,,,,,,,,,,0,,0,21
30-Jun-2008,South Eastern,Neurology,Acute Services,112,20,12,,,,,,,,,,,,,,0,,0,144
30-Jun-2008,South Eastern,Rheumatology,Acute Services,109,34,19,,,,,,,,,,,,,,0,,0,162
30-Jun-2008,South Eastern,Paediatrics,Acute Services,322,108,39,,,,,,,,,,,,,,0,,0,469
30-Jun-2008,South Eastern,Geriatric Medicine,Elderly Care,158,23,3,,,,,,,,,,,,,,0,,0,184
30-Jun-2008,South Eastern,Gynaecology,Acute Services,"1,085",287,86,,,,,,,,,,,,,,0,,0,"1,458"
30-Jun-2008,South Eastern,Mental Illness,Mental Health,86,5,1,,,,,,,,,,,,,,0,,0,92
30-Jun-2008,South Eastern,Child & Adolescent Psychiatry,Mental Health,44,19,17,,,,,,,,,,,,,,0,,0,80
30-Jun-2008,South Eastern,Old Age Psychiatry,Elderly Care,100,14,27,,,,,,,,,,,,,,0,,0,141
30-Jun-2008,Southern,General Surgery,Acute Services,"1,561",291,135,,,,,,,,,,,,,,0,,0,"1,987"
30-Jun-2008,Southern,Urology,Acute Services,149,16,14,,,,,,,,,,,,,,0,,0,179
30-Jun-2008,Southern,T & O Surgery,Acute Services,238,45,13,,,,,,,,,,,,,,0,,0,296
30-Jun-2008,Southern,ENT,Acute Services,"1,241",353,171,,,,,,,,,,,,,,0,,0,"1,765"
30-Jun-2008,Southern,Ophthalmology,Acute Services,728,217,126,,,,,,,,,,,,,,0,,0,"1,071"
30-Jun-2008,Southern,Oral Surgery,Acute Services,146,54,27,,,,,,,,,,,,,,0,,0,227
30-Jun-2008,Southern,Restorative Dentistry,Acute Services,4,3,6,,,,,,,,,,,,,,0,,0,13
30-Jun-2008,Southern,Paediatric Dentistry,Acute Services,21,0,0,,,,,,,,,,,,,,0,,0,21
30-Jun-2008,Southern,Orthodontics,Acute Services,41,11,2,,,,,,,,,,,,,,0,,0,54
30-Jun-2008,Southern,Thoracic Surgery,Acute Services,4,0,1,,,,,,,,,,,,,,0,,0,5
30-Jun-2008,Southern,Pain Management,Acute Services,125,55,29,,,,,,,,,,,,,,0,,0,209
30-Jun-2008,Southern,General Medicine,Acute Services,380,79,56,,,,,,,,,,,,,,0,,0,515
30-Jun-2008,Southern,Gastroenterology,Acute Services,23,0,0,,,,,,,,,,,,,,0,,0,23
30-Jun-2008,Southern,Endocrinology,Acute Services,75,11,7,,,,,,,,,,,,,,0,,0,93
30-Jun-2008,Southern,Haematology (Clinical),Acute Services,77,8,5,,,,,,,,,,,,,,0,,0,90
30-Jun-2008,Southern,Palliative Medicine,Acute Services,3,0,0,,,,,,,,,,,,,,0,,0,3
30-Jun-2008,Southern,Cardiology,Acute Services,207,36,21,,,,,,,,,,,,,,0,,0,264
30-Jun-2008,Southern,Dermatology,Acute Services,"1,144",264,70,,,,,,,,,,,,,,0,,0,"1,478"
30-Jun-2008,Southern,Thoracic Medicine,Acute Services,104,42,37,,,,,,,,,,,,,,0,,0,183
30-Jun-2008,Southern,Genito-Urinary Medicine,Acute Services,114,0,0,,,,,,,,,,,,,,0,,0,114
30-Jun-2008,Southern,Nephrology,Acute Services,13,1,1,,,,,,,,,,,,,,0,,0,15
30-Jun-2008,Southern,Neurology,Acute Services,238,63,12,,,,,,,,,,,,,,0,,0,313
30-Jun-2008,Southern,Rheumatology,Acute Services,209,69,33,,,,,,,,,,,,,,0,,0,311
30-Jun-2008,Southern,Paediatrics,Acute Services,442,101,45,,,,,,,,,,,,,,0,,0,588
30-Jun-2008,Southern,Geriatric Medicine,Elderly Care,56,4,1,,,,,,,,,,,,,,0,,0,61
30-Jun-2008,Southern,Obstetrics,Maternity & Child Health,46,2,0,,,,,,,,,,,,,,0,,0,48
30-Jun-2008,Southern,Gynaecology,Acute Services,965,259,147,,,,,,,,,,,,,,0,,0,"1,371"
30-Jun-2008,Southern,Learning Disability,Learning Disability,12,5,0,,,,,,,,,,,,,,0,,0,17
30-Jun-2008,Southern,Mental Illness,Mental Health,349,81,21,,,,,,,,,,,,,,0,,0,451
30-Jun-2008,Southern,Child & Adolescent Psychiatry,Mental Health,54,9,5,,,,,,,,,,,,,,0,,0,68
30-Jun-2008,Southern,Old Age Psychiatry,Elderly Care,69,23,2,,,,,,,,,,,,,,0,,0,94
30-Jun-2008,Southern,Chemical Pathology,Acute Services,12,2,3,,,,,,,,,,,,,,0,,0,17
30-Jun-2008,Western,General Surgery,Acute Services,"1,277",250,77,,,,,,,,,,,,,,0,,0,"1,604"
30-Jun-2008,Western,Urology,Acute Services,285,45,18,,,,,,,,,,,,,,0,,0,348
30-Jun-2008,Western,T & O Surgery,Acute Services,"1,168",217,26,,,,,,,,,,,,,,0,,0,"1,411"
30-Jun-2008,Western,ENT,Acute Services,939,176,68,,,,,,,,,,,,,,0,,0,"1,183"
30-Jun-2008,Western,Ophthalmology,Acute Services,"1,112",339,180,,,,,,,,,,,,,,0,,0,"1,631"
30-Jun-2008,Western,Oral Surgery,Acute Services,370,83,17,,,,,,,,,,,,,,0,,0,470
30-Jun-2008,Western,Restorative Dentistry,Acute Services,0,3,3,,,,,,,,,,,,,,0,,0,6
30-Jun-2008,Western,Orthodontics,Acute Services,56,10,5,,,,,,,,,,,,,,0,,0,71
30-Jun-2008,Western,Pain Management,Acute Services,107,20,2,,,,,,,,,,,,,,0,,0,129
30-Jun-2008,Western,General Medicine,Acute Services,580,111,28,,,,,,,,,,,,,,0,,0,719
30-Jun-2008,Western,Haematology (Clinical),Acute Services,34,10,3,,,,,,,,,,,,,,0,,0,47
30-Jun-2008,Western,Palliative Medicine,Acute Services,5,0,0,,,,,,,,,,,,,,0,,0,5
30-Jun-2008,Western,Cardiology,Acute Services,211,28,1,,,,,,,,,,,,,,0,,0,240
30-Jun-2008,Western,Dermatology,Acute Services,600,68,21,,,,,,,,,,,,,,0,,0,689
30-Jun-2008,Western,Genito-Urinary Medicine,Acute Services,222,0,0,,,,,,,,,,,,,,0,,0,222
30-Jun-2008,Western,Nephrology,Acute Services,13,6,0,,,,,,,,,,,,,,0,,0,19
30-Jun-2008,Western,Neurology,Acute Services,169,32,1,,,,,,,,,,,,,,0,,0,202
30-Jun-2008,Western,Rheumatology,Acute Services,164,39,8,,,,,,,,,,,,,,0,,0,211
30-Jun-2008,Western,Paediatrics,Acute Services,256,74,32,,,,,,,,,,,,,,0,,0,362
30-Jun-2008,Western,Geriatric Medicine,Elderly Care,77,9,1,,,,,,,,,,,,,,0,,0,87
30-Jun-2008,Western,Gynaecology,Acute Services,673,153,28,,,,,,,,,,,,,,0,,0,854
30-Jun-2008,Western,Learning Disability,Learning Disability,15,4,0,,,,,,,,,,,,,,0,,0,19
30-Jun-2008,Western,Child & Adolescent Psychiatry,Mental Health,19,8,8,,,,,,,,,,,,,,0,,0,35
30-Jun-2008,Western,Forensic Psychiatry,Mental Health,3,1,0,,,,,,,,,,,,,,0,,0,4
30-Jun-2008,Western,Old Age Psychiatry,Elderly Care,61,8,1,,,,,,,,,,,,,,0,,0,70
30-Jun-2008,Western,Chemical Pathology,Acute Services,13,10,6,,,,,,,,,,,,,,0,,0,29
30-Sep-2008,Belfast,General Surgery,Acute Services,"1,983",613,302,,,,,,,,,,,,,,0,,0,"2,898"
30-Sep-2008,Belfast,Urology,Acute Services,597,166,105,,,,,,,,,,,,,,0,,0,868
30-Sep-2008,Belfast,T & O Surgery,Acute Services,"2,737","1,011",774,,,,,,,,,,,,,,85,,0,"4,607"
30-Sep-2008,Belfast,ENT,Acute Services,"1,269",388,231,,,,,,,,,,,,,,0,,0,"1,888"
30-Sep-2008,Belfast,Ophthalmology,Acute Services,"2,180",814,558,,,,,,,,,,,,,,0,,0,"3,552"
30-Sep-2008,Belfast,Oral Surgery,Acute Services,377,96,39,,,,,,,,,,,,,,0,,0,512
30-Sep-2008,Belfast,Restorative Dentistry,Acute Services,659,148,94,,,,,,,,,,,,,,0,,0,901
30-Sep-2008,Belfast,Paediatric Dentistry,Acute Services,113,25,19,,,,,,,,,,,,,,0,,0,157
30-Sep-2008,Belfast,Orthodontics,Acute Services,49,2,2,,,,,,,,,,,,,,0,,0,53
30-Sep-2008,Belfast,Neurosurgery,Acute Services,174,52,31,,,,,,,,,,,,,,0,,0,257
30-Sep-2008,Belfast,Plastic Surgery,Acute Services,66,12,10,,,,,,,,,,,,,,1,,0,89
30-Sep-2008,Belfast,Cardiac Surgery,Acute Services,75,19,3,,,,,,,,,,,,,,0,,0,97
30-Sep-2008,Belfast,Paediatric Surgery,Acute Services,248,41,21,,,,,,,,,,,,,,0,,0,310
30-Sep-2008,Belfast,Thoracic Surgery,Acute Services,74,9,5,,,,,,,,,,,,,,0,,0,88
30-Sep-2008,Belfast,Accident & Emergency,Acute Services,20,0,0,,,,,,,,,,,,,,0,,0,20
30-Sep-2008,Belfast,Pain Management,Acute Services,281,72,62,,,,,,,,,,,,,,0,,0,415
30-Sep-2008,Belfast,General Medicine,Acute Services,815,220,208,,,,,,,,,,,,,,0,,0,"1,243"
30-Sep-2008,Belfast,Gastroenterology,Acute Services,359,111,54,,,,,,,,,,,,,,0,,0,524
30-Sep-2008,Belfast,Endocrinology,Acute Services,273,85,25,,,,,,,,,,,,,,0,,0,383
30-Sep-2008,Belfast,Haematology (Clinical),Acute Services,100,4,1,,,,,,,,,,,,,,0,,0,105
30-Sep-2008,Belfast,Clinical Genetics,Acute Services,126,79,116,,,,,,,,,,,,,,83,,0,404
30-Sep-2008,Belfast,Rehabilitation,Acute Services,12,2,1,,,,,,,,,,,,,,0,,0,15
30-Sep-2008,Belfast,Palliative Medicine,Acute Services,4,1,0,,,,,,,,,,,,,,0,,0,5
30-Sep-2008,Belfast,Cardiology,Acute Services,725,189,111,,,,,,,,,,,,,,38,,13,"1,076"
30-Sep-2008,Belfast,Dermatology,Acute Services,"1,273",346,201,,,,,,,,,,,,,,20,,0,"1,840"
30-Sep-2008,Belfast,Thoracic Medicine,Acute Services,195,74,18,,,,,,,,,,,,,,0,,0,287
30-Sep-2008,Belfast,Nephrology,Acute Services,142,20,5,,,,,,,,,,,,,,0,,0,167
30-Sep-2008,Belfast,Medical Oncology,Acute Services,23,1,1,,,,,,,,,,,,,,0,,0,25
30-Sep-2008,Belfast,Neurology,Acute Services,751,266,171,,,,,,,,,,,,,,1,,0,"1,189"
30-Sep-2008,Belfast,Rheumatology,Acute Services,397,155,101,,,,,,,,,,,,,,1,,0,654
30-Sep-2008,Belfast,Paediatrics,Acute Services,648,74,65,,,,,,,,,,,,,,44,,0,831
30-Sep-2008,Belfast,Paediatric Neurology,Acute Services,29,18,22,,,,,,,,,,,,,,13,,0,82
30-Sep-2008,Belfast,Geriatric Medicine,Elderly Care,277,42,16,,,,,,,,,,,,,,0,,0,335
30-Sep-2008,Belfast,Dental Medicine Specialties,Acute Services,285,133,47,,,,,,,,,,,,,,0,,0,465
30-Sep-2008,Belfast,Gynaecology,Acute Services,"1,468",245,132,,,,,,,,,,,,,,0,,0,"1,845"
30-Sep-2008,Belfast,Learning Disability,Learning Disability,20,13,5,,,,,,,,,,,,,,0,,0,38
30-Sep-2008,Belfast,Child & Adolescent Psychiatry,Mental Health,114,11,11,,,,,,,,,,,,,,1,,0,137
30-Sep-2008,Belfast,Old Age Psychiatry,Elderly Care,98,27,5,,,,,,,,,,,,,,0,,0,130
30-Sep-2008,Belfast,Clinical Oncology,Acute Services,167,3,0,,,,,,,,,,,,,,0,,0,170
30-Sep-2008,Belfast,Haematology,Acute Services,14,0,0,,,,,,,,,,,,,,0,,0,14
30-Sep-2008,Belfast,Joint Consultant Clinics,Acute Services,4,3,0,,,,,,,,,,,,,,0,,0,7
30-Sep-2008,Northern,General Surgery,Acute Services,"1,637",326,227,,,,,,,,,,,,,,0,,0,"2,190"
30-Sep-2008,Northern,Urology,Acute Services,277,74,61,,,,,,,,,,,,,,4,,0,416
30-Sep-2008,Northern,ENT,Acute Services,"1,126",373,131,,,,,,,,,,,,,,0,,0,"1,630"
30-Sep-2008,Northern,Oral Surgery,Acute Services,69,18,6,,,,,,,,,,,,,,0,,0,93
30-Sep-2008,Northern,Orthodontics,Acute Services,42,17,5,,,,,,,,,,,,,,0,,0,64
30-Sep-2008,Northern,Pain Management,Acute Services,135,63,30,,,,,,,,,,,,,,0,,0,228
30-Sep-2008,Northern,General Medicine,Acute Services,635,226,143,,,,,,,,,,,,,,2,,0,"1,006"
30-Sep-2008,Northern,Gastroenterology,Acute Services,307,98,72,,,,,,,,,,,,,,0,,0,477
30-Sep-2008,Northern,Haematology (Clinical),Acute Services,27,3,1,,,,,,,,,,,,,,0,,0,31
30-Sep-2008,Northern,Cardiology,Acute Services,321,109,95,,,,,,,,,,,,,,4,,0,529
30-Sep-2008,Northern,Dermatology,Acute Services,977,325,133,,,,,,,,,,,,,,0,,0,"1,435"
30-Sep-2008,Northern,Nephrology,Acute Services,56,13,0,,,,,,,,,,,,,,0,,0,69
30-Sep-2008,Northern,Neurology,Acute Services,172,51,63,,,,,,,,,,,,,,0,,0,286
30-Sep-2008,Northern,Rheumatology,Acute Services,284,117,96,,,,,,,,,,,,,,0,,0,497
30-Sep-2008,Northern,Paediatrics,Acute Services,297,79,24,,,,,,,,,,,,,,0,,0,400
30-Sep-2008,Northern,Geriatric Medicine,Elderly Care,46,8,3,,,,,,,,,,,,,,0,,0,57
30-Sep-2008,Northern,Obstetrics,Maternity & Child Health,15,1,2,,,,,,,,,,,,,,0,,0,18
30-Sep-2008,Northern,Gynaecology,Acute Services,"1,158",411,355,,,,,,,,,,,,,,0,,0,"1,924"
30-Sep-2008,Northern,Chemical Pathology,Acute Services,20,1,1,,,,,,,,,,,,,,0,,0,22
30-Sep-2008,Northern,Joint Consultant Clinics,Acute Services,37,14,8,,,,,,,,,,,,,,0,,0,59
30-Sep-2008,South Eastern,General Surgery,Acute Services,"1,230",324,178,,,,,,,,,,,,,,0,,0,"1,732"
30-Sep-2008,South Eastern,Urology,Acute Services,243,27,16,,,,,,,,,,,,,,0,,0,286
30-Sep-2008,South Eastern,T & O Surgery,Acute Services,220,2,1,,,,,,,,,,,,,,0,,0,223
30-Sep-2008,South Eastern,ENT,Acute Services,"1,148",267,70,,,,,,,,,,,,,,0,,1,"1,486"
30-Sep-2008,South Eastern,Ophthalmology,Acute Services,790,317,172,,,,,,,,,,,,,,0,,0,"1,279"
30-Sep-2008,South Eastern,Oral Surgery,Acute Services,197,58,20,,,,,,,,,,,,,,0,,0,275
30-Sep-2008,South Eastern,Restorative Dentistry,Acute Services,0,2,0,,,,,,,,,,,,,,0,,0,2
30-Sep-2008,South Eastern,Paediatric Dentistry,Acute Services,1,0,1,,,,,,,,,,,,,,0,,0,2
30-Sep-2008,South Eastern,Plastic Surgery,Acute Services,500,193,46,,,,,,,,,,,,,,0,,0,739
30-Sep-2008,South Eastern,Paediatric Surgery,Acute Services,44,4,0,,,,,,,,,,,,,,0,,0,48
30-Sep-2008,South Eastern,Pain Management,Acute Services,141,52,12,,,,,,,,,,,,,,0,,0,205
30-Sep-2008,South Eastern,General Medicine,Acute Services,866,188,80,,,,,,,,,,,,,,0,,0,"1,134"
30-Sep-2008,South Eastern,Gastroenterology,Acute Services,28,20,2,,,,,,,,,,,,,,0,,0,50
30-Sep-2008,South Eastern,Endocrinology,Acute Services,9,1,0,,,,,,,,,,,,,,0,,0,10
30-Sep-2008,South Eastern,Haematology (Clinical),Acute Services,49,6,1,,,,,,,,,,,,,,0,,0,56
30-Sep-2008,South Eastern,Palliative Medicine,Acute Services,1,0,0,,,,,,,,,,,,,,0,,0,1
30-Sep-2008,South Eastern,Cardiology,Acute Services,295,115,54,,,,,,,,,,,,,,0,,0,464
30-Sep-2008,South Eastern,Dermatology,Acute Services,"1,203",427,207,,,,,,,,,,,,,,0,,0,"1,837"
30-Sep-2008,South Eastern,Thoracic Medicine,Acute Services,137,35,8,,,,,,,,,,,,,,0,,0,180
30-Sep-2008,South Eastern,Nephrology,Acute Services,27,0,0,,,,,,,,,,,,,,0,,0,27
30-Sep-2008,South Eastern,Neurology,Acute Services,112,35,30,,,,,,,,,,,,,,0,,0,177
30-Sep-2008,South Eastern,Rheumatology,Acute Services,99,34,9,,,,,,,,,,,,,,0,,0,142
30-Sep-2008,South Eastern,Paediatrics,Acute Services,264,92,28,,,,,,,,,,,,,,0,,0,384
30-Sep-2008,South Eastern,Geriatric Medicine,Elderly Care,185,38,10,,,,,,,,,,,,,,0,,0,233
30-Sep-2008,South Eastern,Gynaecology,Acute Services,"1,110",307,113,,,,,,,,,,,,,,0,,0,"1,530"
30-Sep-2008,South Eastern,Mental Illness,Mental Health,51,13,3,,,,,,,,,,,,,,0,,0,67
30-Sep-2008,South Eastern,Child & Adolescent Psychiatry,Mental Health,27,5,11,,,,,,,,,,,,,,0,,0,43
30-Sep-2008,South Eastern,Old Age Psychiatry,Elderly Care,80,6,0,,,,,,,,,,,,,,0,,0,86
30-Sep-2008,Southern,General Surgery,Acute Services,"1,498",387,190,,,,,,,,,,,,,,0,,0,"2,075"
30-Sep-2008,Southern,Urology,Acute Services,135,26,14,,,,,,,,,,,,,,0,,0,175
30-Sep-2008,Southern,T & O Surgery,Acute Services,258,83,17,,,,,,,,,,,,,,0,,0,358
30-Sep-2008,Southern,ENT,Acute Services,"1,093",369,140,,,,,,,,,,,,,,0,,0,"1,602"
30-Sep-2008,Southern,Ophthalmology,Acute Services,675,223,94,,,,,,,,,,,,,,0,,0,992
30-Sep-2008,Southern,Oral Surgery,Acute Services,126,70,33,,,,,,,,,,,,,,0,,0,229
30-Sep-2008,Southern,Restorative Dentistry,Acute Services,6,4,2,,,,,,,,,,,,,,0,,0,12
30-Sep-2008,Southern,Paediatric Dentistry,Acute Services,12,6,0,,,,,,,,,,,,,,0,,0,18
30-Sep-2008,Southern,Orthodontics,Acute Services,49,28,7,,,,,,,,,,,,,,0,,0,84
30-Sep-2008,Southern,Thoracic Surgery,Acute Services,4,1,0,,,,,,,,,,,,,,0,,0,5
30-Sep-2008,Southern,Pain Management,Acute Services,131,52,19,,,,,,,,,,,,,,0,,0,202
