,date,age,value,sex
43,2020-01-24,01-14,0.0,Men
42,2020-01-24,Under 1 year,0.0,Men
48,2020-01-24,85+,0.0,Men
64,2020-01-31,01-14,0.0,Women
69,2020-01-31,85+,0.0,Women
68,2020-01-31,75-84,0.0,Women
67,2020-01-31,65-74,0.0,Women
66,2020-01-31,45-64,0.0,Women
65,2020-01-31,15-44,0.0,Women
63,2020-01-31,Under 1 year,0.0,Women
59,2020-01-31,45-64,0.0,Men
61,2020-01-31,75-84,0.0,Men
56,2020-01-31,Under 1 year,0.0,Men
57,2020-01-31,01-14,0.0,Men
62,2020-01-31,85+,0.0,Men
60,2020-01-31,65-74,0.0,Men
58,2020-01-31,15-44,0.0,Men
78,2020-02-07,01-14,0.0,Women
83,2020-02-07,85+,0.0,Women
82,2020-02-07,75-84,0.0,Women
81,2020-02-07,65-74,0.0,Women
80,2020-02-07,45-64,0.0,Women
79,2020-02-07,15-44,0.0,Women
77,2020-02-07,Under 1 year,0.0,Women
76,2020-02-07,85+,0.0,Men
75,2020-02-07,75-84,0.0,Men
74,2020-02-07,65-74,0.0,Men
73,2020-02-07,45-64,0.0,Men
72,2020-02-07,15-44,0.0,Men
71,2020-02-07,01-14,0.0,Men
70,2020-02-07,Under 1 year,0.0,Men
96,2020-02-14,75-84,0.0,Women
95,2020-02-14,65-74,0.0,Women
94,2020-02-14,45-64,0.0,Women
93,2020-02-14,15-44,0.0,Women
92,2020-02-14,01-14,0.0,Women
97,2020-02-14,85+,0.0,Women
91,2020-02-14,Under 1 year,0.0,Women
89,2020-02-14,75-84,0.0,Men
88,2020-02-14,65-74,0.0,Men
87,2020-02-14,45-64,0.0,Men
86,2020-02-14,15-44,0.0,Men
85,2020-02-14,01-14,0.0,Men
84,2020-02-14,Under 1 year,0.0,Men
90,2020-02-14,85+,0.0,Men
111,2020-02-21,85+,0.0,Women
110,2020-02-21,75-84,0.0,Women
109,2020-02-21,65-74,0.0,Women
108,2020-02-21,45-64,0.0,Women
107,2020-02-21,15-44,0.0,Women
106,2020-02-21,01-14,0.0,Women
105,2020-02-21,Under 1 year,0.0,Women
104,2020-02-21,85+,0.0,Men
102,2020-02-21,65-74,0.0,Men
101,2020-02-21,45-64,0.0,Men
100,2020-02-21,15-44,0.0,Men
99,2020-02-21,01-14,0.0,Men
98,2020-02-21,Under 1 year,0.0,Men
103,2020-02-21,75-84,0.0,Men
120,2020-02-28,01-14,0.0,Women
125,2020-02-28,85+,0.0,Women
124,2020-02-28,75-84,0.0,Women
123,2020-02-28,65-74,0.0,Women
122,2020-02-28,45-64,0.0,Women
121,2020-02-28,15-44,0.0,Women
119,2020-02-28,Under 1 year,0.0,Women
114,2020-02-28,15-44,0.0,Men
117,2020-02-28,75-84,0.0,Men
112,2020-02-28,Under 1 year,0.0,Men
113,2020-02-28,01-14,0.0,Men
118,2020-02-28,85+,0.0,Men
115,2020-02-28,45-64,0.0,Men
116,2020-02-28,65-74,0.0,Men
139,2020-03-06,85+,0.0,Women
138,2020-03-06,75-84,0.0,Women
137,2020-03-06,65-74,0.0,Women
136,2020-03-06,45-64,0.0,Women
135,2020-03-06,15-44,0.0,Women
133,2020-03-06,Under 1 year,0.0,Women
134,2020-03-06,01-14,0.0,Women
131,2020-03-06,75-84,0.0,Men
130,2020-03-06,65-74,0.0,Men
129,2020-03-06,45-64,0.0,Men
128,2020-03-06,15-44,0.0,Men
127,2020-03-06,01-14,0.0,Men
126,2020-03-06,Under 1 year,0.0,Men
132,2020-03-06,85+,0.0,Men
148,2020-03-13,01-14,0.0,Women
153,2020-03-13,85+,0.0,Women
152,2020-03-13,75-84,2.0,Women
151,2020-03-13,65-74,1.0,Women
150,2020-03-13,45-64,0.0,Women
146,2020-03-13,85+,0.0,Men
149,2020-03-13,15-44,0.0,Women
147,2020-03-13,Under 1 year,0.0,Women
144,2020-03-13,65-74,0.0,Men
143,2020-03-13,45-64,1.0,Men
142,2020-03-13,15-44,0.0,Men
141,2020-03-13,01-14,0.0,Men
140,2020-03-13,Under 1 year,0.0,Men
145,2020-03-13,75-84,1.0,Men
167,2020-03-20,85+,17.0,Women
166,2020-03-20,75-84,13.0,Women
165,2020-03-20,65-74,11.0,Women
164,2020-03-20,45-64,4.0,Women
163,2020-03-20,15-44,1.0,Women
162,2020-03-20,01-14,0.0,Women
161,2020-03-20,Under 1 year,0.0,Women
160,2020-03-20,85+,27.0,Men
158,2020-03-20,65-74,14.0,Men
157,2020-03-20,45-64,4.0,Men
156,2020-03-20,15-44,0.0,Men
155,2020-03-20,01-14,0.0,Men
154,2020-03-20,Under 1 year,0.0,Men
159,2020-03-20,75-84,22.0,Men
181,2020-03-27,85+,99.0,Women
180,2020-03-27,75-84,74.0,Women
179,2020-03-27,65-74,35.0,Women
178,2020-03-27,45-64,27.0,Women
177,2020-03-27,15-44,2.0,Women
176,2020-03-27,01-14,0.0,Women
175,2020-03-27,Under 1 year,0.0,Women
174,2020-03-27,85+,106.0,Men
172,2020-03-27,65-74,78.0,Men
168,2020-03-27,Under 1 year,0.0,Men
169,2020-03-27,01-14,0.0,Men
173,2020-03-27,75-84,133.0,Men
171,2020-03-27,45-64,48.0,Men
170,2020-03-27,15-44,5.0,Men
195,2020-04-03,85+,588.0,Women
194,2020-04-03,75-84,498.0,Women
193,2020-04-03,65-74,232.0,Women
192,2020-04-03,45-64,161.0,Women
190,2020-04-03,01-14,0.0,Women
188,2020-04-03,85+,666.0,Men
191,2020-04-03,15-44,23.0,Women
186,2020-04-03,65-74,469.0,Men
185,2020-04-03,45-64,284.0,Men
184,2020-04-03,15-44,26.0,Men
183,2020-04-03,01-14,0.0,Men
182,2020-04-03,Under 1 year,0.0,Men
187,2020-04-03,75-84,854.0,Men
189,2020-04-03,Under 1 year,0.0,Women
203,2020-04-10,Under 1 year,0.0,Women
209,2020-04-10,85+,1056.0,Women
208,2020-04-10,75-84,905.0,Women
207,2020-04-10,65-74,418.0,Women
206,2020-04-10,45-64,277.0,Women
205,2020-04-10,15-44,28.0,Women
204,2020-04-10,01-14,0.0,Women
202,2020-04-10,85+,1264.0,Men
200,2020-04-10,65-74,800.0,Men
199,2020-04-10,45-64,528.0,Men
198,2020-04-10,15-44,50.0,Men
197,2020-04-10,01-14,0.0,Men
196,2020-04-10,Under 1 year,0.0,Men
201,2020-04-10,75-84,1562.0,Men
223,2020-04-17,85+,1923.0,Women
222,2020-04-17,75-84,1223.0,Women
221,2020-04-17,65-74,518.0,Women
220,2020-04-17,45-64,344.0,Women
219,2020-04-17,15-44,41.0,Women
218,2020-04-17,01-14,2.0,Women
217,2020-04-17,Under 1 year,0.0,Women
216,2020-04-17,85+,1830.0,Men
214,2020-04-17,65-74,1009.0,Men
213,2020-04-17,45-64,676.0,Men
212,2020-04-17,15-44,63.0,Men
211,2020-04-17,01-14,0.0,Men
210,2020-04-17,Under 1 year,0.0,Men
215,2020-04-17,75-84,1866.0,Men
232,2020-04-24,01-14,0.0,Women
237,2020-04-24,85+,2107.0,Women
236,2020-04-24,75-84,1200.0,Women
235,2020-04-24,65-74,458.0,Women
233,2020-04-24,15-44,41.0,Women
231,2020-04-24,Under 1 year,0.0,Women
234,2020-04-24,45-64,288.0,Women
229,2020-04-24,75-84,1678.0,Men
228,2020-04-24,65-74,839.0,Men
227,2020-04-24,45-64,596.0,Men
230,2020-04-24,85+,1734.0,Men
226,2020-04-24,15-44,68.0,Men
225,2020-04-24,01-14,0.0,Men
224,2020-04-24,Under 1 year,0.0,Men
251,2020-05-01,85+,1782.0,Women
250,2020-05-01,75-84,935.0,Women
249,2020-05-01,65-74,299.0,Women
248,2020-05-01,45-64,182.0,Women
247,2020-05-01,15-44,19.0,Women
246,2020-05-01,01-14,0.0,Women
245,2020-05-01,Under 1 year,0.0,Women
244,2020-05-01,85+,1352.0,Men
243,2020-05-01,75-84,1111.0,Men
242,2020-05-01,65-74,592.0,Men
241,2020-05-01,45-64,373.0,Men
240,2020-05-01,15-44,35.0,Men
239,2020-05-01,01-14,0.0,Men
238,2020-05-01,Under 1 year,0.0,Men
265,2020-05-08,85+,1245.0,Women
264,2020-05-08,75-84,608.0,Women
263,2020-05-08,65-74,207.0,Women
262,2020-05-08,45-64,121.0,Women
261,2020-05-08,15-44,21.0,Women
260,2020-05-08,01-14,0.0,Women
259,2020-05-08,Under 1 year,0.0,Women
258,2020-05-08,85+,826.0,Men
257,2020-05-08,75-84,806.0,Men
256,2020-05-08,65-74,333.0,Men
255,2020-05-08,45-64,236.0,Men
254,2020-05-08,15-44,22.0,Men
253,2020-05-08,01-14,0.0,Men
252,2020-05-08,Under 1 year,1.0,Men
279,2020-05-15,85+,1232.0,Women
278,2020-05-15,75-84,533.0,Women
277,2020-05-15,65-74,203.0,Women
276,2020-05-15,45-64,104.0,Women
275,2020-05-15,15-44,13.0,Women
274,2020-05-15,01-14,0.0,Women
273,2020-05-15,Under 1 year,0.0,Women
271,2020-05-15,75-84,738.0,Men
270,2020-05-15,65-74,333.0,Men
269,2020-05-15,45-64,188.0,Men
268,2020-05-15,15-44,22.0,Men
267,2020-05-15,01-14,0.0,Men
266,2020-05-15,Under 1 year,1.0,Men
272,2020-05-15,85+,847.0,Men
288,2020-05-22,01-14,0.0,Women
293,2020-05-22,85+,863.0,Women
292,2020-05-22,75-84,398.0,Women
291,2020-05-22,65-74,102.0,Women
290,2020-05-22,45-64,75.0,Women
289,2020-05-22,15-44,9.0,Women
287,2020-05-22,Under 1 year,0.0,Women
286,2020-05-22,85+,578.0,Men
285,2020-05-22,75-84,458.0,Men
284,2020-05-22,65-74,228.0,Men
283,2020-05-22,45-64,140.0,Men
282,2020-05-22,15-44,21.0,Men
281,2020-05-22,01-14,0.0,Men
280,2020-05-22,Under 1 year,0.0,Men
307,2020-05-29,85+,552.0,Women
306,2020-05-29,75-84,302.0,Women
305,2020-05-29,65-74,111.0,Women
304,2020-05-29,45-64,54.0,Women
303,2020-05-29,15-44,3.0,Women
302,2020-05-29,01-14,0.0,Women
301,2020-05-29,Under 1 year,0.0,Women
299,2020-05-29,75-84,354.0,Men
298,2020-05-29,65-74,131.0,Men
297,2020-05-29,45-64,79.0,Men
296,2020-05-29,15-44,4.0,Men
295,2020-05-29,01-14,1.0,Men
294,2020-05-29,Under 1 year,0.0,Men
300,2020-05-29,85+,409.0,Men
316,2020-06-05,01-14,0.0,Women
321,2020-06-05,85+,474.0,Women
320,2020-06-05,75-84,224.0,Women
319,2020-06-05,65-74,96.0,Women
318,2020-06-05,45-64,57.0,Women
317,2020-06-05,15-44,8.0,Women
315,2020-06-05,Under 1 year,0.0,Women
314,2020-06-05,85+,317.0,Men
313,2020-06-05,75-84,303.0,Men
312,2020-06-05,65-74,131.0,Men
311,2020-06-05,45-64,76.0,Men
310,2020-06-05,15-44,10.0,Men
309,2020-06-05,01-14,1.0,Men
308,2020-06-05,Under 1 year,0.0,Men
335,2020-06-12,85+,328.0,Women
334,2020-06-12,75-84,174.0,Women
333,2020-06-12,65-74,57.0,Women
332,2020-06-12,45-64,30.0,Women
331,2020-06-12,15-44,6.0,Women
330,2020-06-12,01-14,0.0,Women
329,2020-06-12,Under 1 year,0.0,Women
328,2020-06-12,85+,236.0,Men
327,2020-06-12,75-84,220.0,Men
326,2020-06-12,65-74,89.0,Men
325,2020-06-12,45-64,59.0,Men
324,2020-06-12,15-44,4.0,Men
323,2020-06-12,01-14,0.0,Men
322,2020-06-12,Under 1 year,0.0,Men
348,2020-06-19,75-84,123.0,Women
347,2020-06-19,65-74,39.0,Women
346,2020-06-19,45-64,29.0,Women
345,2020-06-19,15-44,3.0,Women
344,2020-06-19,01-14,0.0,Women
343,2020-06-19,Under 1 year,0.0,Women
349,2020-06-19,85+,234.0,Women
341,2020-06-19,75-84,157.0,Men
340,2020-06-19,65-74,69.0,Men
339,2020-06-19,45-64,41.0,Men
338,2020-06-19,15-44,9.0,Men
337,2020-06-19,01-14,0.0,Men
336,2020-06-19,Under 1 year,0.0,Men
342,2020-06-19,85+,145.0,Men
363,2020-06-26,85+,148.0,Women
362,2020-06-26,75-84,90.0,Women
361,2020-06-26,65-74,33.0,Women
360,2020-06-26,45-64,19.0,Women
359,2020-06-26,15-44,1.0,Women
358,2020-06-26,01-14,0.0,Women
357,2020-06-26,Under 1 year,0.0,Women
356,2020-06-26,85+,137.0,Men
355,2020-06-26,75-84,126.0,Men
354,2020-06-26,65-74,58.0,Men
353,2020-06-26,45-64,38.0,Men
352,2020-06-26,15-44,2.0,Men
351,2020-06-26,01-14,0.0,Men
350,2020-06-26,Under 1 year,0.0,Men
377,2020-07-03,85+,140.0,Women
376,2020-07-03,75-84,77.0,Women
375,2020-07-03,65-74,36.0,Women
374,2020-07-03,45-64,7.0,Women
373,2020-07-03,15-44,5.0,Women
372,2020-07-03,01-14,0.0,Women
371,2020-07-03,Under 1 year,0.0,Women
370,2020-07-03,85+,103.0,Men
369,2020-07-03,75-84,117.0,Men
368,2020-07-03,65-74,38.0,Men
367,2020-07-03,45-64,37.0,Men
366,2020-07-03,15-44,2.0,Men
365,2020-07-03,01-14,0.0,Men
364,2020-07-03,Under 1 year,0.0,Men
391,2020-07-10,85+,98.0,Women
390,2020-07-10,75-84,43.0,Women
389,2020-07-10,65-74,26.0,Women
388,2020-07-10,45-64,9.0,Women
387,2020-07-10,15-44,2.0,Women
386,2020-07-10,01-14,0.0,Women
385,2020-07-10,Under 1 year,0.0,Women
384,2020-07-10,85+,72.0,Men
383,2020-07-10,75-84,78.0,Men
382,2020-07-10,65-74,36.0,Men
381,2020-07-10,45-64,21.0,Men
380,2020-07-10,15-44,3.0,Men
379,2020-07-10,01-14,0.0,Men
378,2020-07-10,Under 1 year,0.0,Men
404,2020-07-17,75-84,32.0,Women
403,2020-07-17,65-74,19.0,Women
402,2020-07-17,45-64,10.0,Women
401,2020-07-17,15-44,0.0,Women
400,2020-07-17,01-14,0.0,Women
399,2020-07-17,Under 1 year,0.0,Women
405,2020-07-17,85+,75.0,Women
397,2020-07-17,75-84,68.0,Men
396,2020-07-17,65-74,22.0,Men
395,2020-07-17,45-64,18.0,Men
394,2020-07-17,15-44,3.0,Men
393,2020-07-17,01-14,0.0,Men
392,2020-07-17,Under 1 year,0.0,Men
398,2020-07-17,85+,56.0,Men
419,2020-07-24,85+,48.0,Women
418,2020-07-24,75-84,27.0,Women
417,2020-07-24,65-74,24.0,Women
416,2020-07-24,45-64,10.0,Women
415,2020-07-24,15-44,1.0,Women
414,2020-07-24,01-14,0.0,Women
413,2020-07-24,Under 1 year,0.0,Women
412,2020-07-24,85+,44.0,Men
411,2020-07-24,75-84,42.0,Men
410,2020-07-24,65-74,16.0,Men
409,2020-07-24,45-64,17.0,Men
408,2020-07-24,15-44,2.0,Men
407,2020-07-24,01-14,0.0,Men
406,2020-07-24,Under 1 year,0.0,Men
432,2020-07-31,75-84,27.0,Women
431,2020-07-31,65-74,12.0,Women
430,2020-07-31,45-64,8.0,Women
429,2020-07-31,15-44,1.0,Women
428,2020-07-31,01-14,1.0,Women
427,2020-07-31,Under 1 year,0.0,Women
433,2020-07-31,85+,41.0,Women
425,2020-07-31,75-84,43.0,Men
424,2020-07-31,65-74,19.0,Men
423,2020-07-31,45-64,16.0,Men
422,2020-07-31,15-44,1.0,Men
421,2020-07-31,01-14,0.0,Men
420,2020-07-31,Under 1 year,0.0,Men
426,2020-07-31,85+,31.0,Men
446,2020-08-07,75-84,22.0,Women
445,2020-08-07,65-74,14.0,Women
444,2020-08-07,45-64,7.0,Women
443,2020-08-07,15-44,0.0,Women
442,2020-08-07,01-14,0.0,Women
441,2020-08-07,Under 1 year,0.0,Women
447,2020-08-07,85+,38.0,Women
439,2020-08-07,75-84,28.0,Men
438,2020-08-07,65-74,15.0,Men
437,2020-08-07,45-64,10.0,Men
436,2020-08-07,15-44,1.0,Men
435,2020-08-07,01-14,0.0,Men
434,2020-08-07,Under 1 year,0.0,Men
440,2020-08-07,85+,27.0,Men
461,2020-08-14,85+,42.0,Women
460,2020-08-14,75-84,16.0,Women
459,2020-08-14,65-74,10.0,Women
458,2020-08-14,45-64,5.0,Women
457,2020-08-14,15-44,1.0,Women
456,2020-08-14,01-14,0.0,Women
455,2020-08-14,Under 1 year,0.0,Women
454,2020-08-14,85+,27.0,Men
452,2020-08-14,65-74,16.0,Men
451,2020-08-14,45-64,5.0,Men
450,2020-08-14,15-44,1.0,Men
449,2020-08-14,01-14,0.0,Men
448,2020-08-14,Under 1 year,0.0,Men
453,2020-08-14,75-84,23.0,Men
470,2020-08-21,01-14,0.0,Women
475,2020-08-21,85+,36.0,Women
474,2020-08-21,75-84,25.0,Women
473,2020-08-21,65-74,7.0,Women
472,2020-08-21,45-64,5.0,Women
471,2020-08-21,15-44,2.0,Women
469,2020-08-21,Under 1 year,0.0,Women
468,2020-08-21,85+,19.0,Men
467,2020-08-21,75-84,30.0,Men
466,2020-08-21,65-74,11.0,Men
465,2020-08-21,45-64,14.0,Men
464,2020-08-21,15-44,0.0,Men
463,2020-08-21,01-14,0.0,Men
462,2020-08-21,Under 1 year,0.0,Men
489,2020-08-28,85+,18.0,Women
488,2020-08-28,75-84,11.0,Women
487,2020-08-28,65-74,5.0,Women
486,2020-08-28,45-64,3.0,Women
485,2020-08-28,15-44,1.0,Women
484,2020-08-28,01-14,0.0,Women
483,2020-08-28,Under 1 year,0.0,Women
481,2020-08-28,75-84,26.0,Men
480,2020-08-28,65-74,9.0,Men
479,2020-08-28,45-64,14.0,Men
478,2020-08-28,15-44,2.0,Men
477,2020-08-28,01-14,0.0,Men
476,2020-08-28,Under 1 year,0.0,Men
482,2020-08-28,85+,22.0,Men
498,2020-09-04,01-14,0.0,Women
503,2020-09-04,85+,14.0,Women
502,2020-09-04,75-84,10.0,Women
501,2020-09-04,65-74,5.0,Women
500,2020-09-04,45-64,5.0,Women
499,2020-09-04,15-44,0.0,Women
497,2020-09-04,Under 1 year,0.0,Women
490,2020-09-04,Under 1 year,0.0,Men
495,2020-09-04,75-84,20.0,Men
494,2020-09-04,65-74,6.0,Men
493,2020-09-04,45-64,7.0,Men
492,2020-09-04,15-44,0.0,Men
491,2020-09-04,01-14,0.0,Men
496,2020-09-04,85+,16.0,Men
512,2020-09-11,01-14,0.0,Women
517,2020-09-11,85+,20.0,Women
516,2020-09-11,75-84,10.0,Women
515,2020-09-11,65-74,9.0,Women
514,2020-09-11,45-64,4.0,Women
513,2020-09-11,15-44,1.0,Women
511,2020-09-11,Under 1 year,0.0,Women
504,2020-09-11,Under 1 year,0.0,Men
509,2020-09-11,75-84,22.0,Men
508,2020-09-11,65-74,16.0,Men
507,2020-09-11,45-64,5.0,Men
506,2020-09-11,15-44,3.0,Men
505,2020-09-11,01-14,0.0,Men
510,2020-09-11,85+,20.0,Men
531,2020-09-18,85+,41.0,Women
530,2020-09-18,75-84,15.0,Women
529,2020-09-18,65-74,10.0,Women
528,2020-09-18,45-64,5.0,Women
527,2020-09-18,15-44,1.0,Women
526,2020-09-18,01-14,0.0,Women
525,2020-09-18,Under 1 year,0.0,Women
523,2020-09-18,75-84,31.0,Men
522,2020-09-18,65-74,15.0,Men
521,2020-09-18,45-64,10.0,Men
520,2020-09-18,15-44,3.0,Men
519,2020-09-18,01-14,0.0,Men
518,2020-09-18,Under 1 year,0.0,Men
524,2020-09-18,85+,27.0,Men
540,2020-09-25,01-14,0.0,Women
545,2020-09-25,85+,42.0,Women
544,2020-09-25,75-84,27.0,Women
543,2020-09-25,65-74,10.0,Women
542,2020-09-25,45-64,9.0,Women
541,2020-09-25,15-44,1.0,Women
539,2020-09-25,Under 1 year,0.0,Women
532,2020-09-25,Under 1 year,0.0,Men
537,2020-09-25,75-84,48.0,Men
533,2020-09-25,01-14,0.0,Men
534,2020-09-25,15-44,2.0,Men
538,2020-09-25,85+,51.0,Men
536,2020-09-25,65-74,25.0,Men
535,2020-09-25,45-64,19.0,Men
559,2020-10-02,85+,57.0,Women
558,2020-10-02,75-84,50.0,Women
557,2020-10-02,65-74,24.0,Women
556,2020-10-02,45-64,15.0,Women
555,2020-10-02,15-44,0.0,Women
553,2020-10-02,Under 1 year,0.0,Women
554,2020-10-02,01-14,0.0,Women
551,2020-10-02,75-84,73.0,Men
550,2020-10-02,65-74,40.0,Men
549,2020-10-02,45-64,13.0,Men
548,2020-10-02,15-44,3.0,Men
547,2020-10-02,01-14,0.0,Men
546,2020-10-02,Under 1 year,0.0,Men
552,2020-10-02,85+,68.0,Men
573,2020-10-09,85+,87.0,Women
572,2020-10-09,75-84,65.0,Women
571,2020-10-09,65-74,27.0,Women
570,2020-10-09,45-64,15.0,Women
569,2020-10-09,15-44,2.0,Women
568,2020-10-09,01-14,0.0,Women
567,2020-10-09,Under 1 year,0.0,Women
565,2020-10-09,75-84,112.0,Men
564,2020-10-09,65-74,60.0,Men
563,2020-10-09,45-64,32.0,Men
562,2020-10-09,15-44,4.0,Men
561,2020-10-09,01-14,0.0,Men
560,2020-10-09,Under 1 year,0.0,Men
566,2020-10-09,85+,70.0,Men
587,2020-10-16,85+,138.0,Women
586,2020-10-16,75-84,112.0,Women
585,2020-10-16,65-74,46.0,Women
584,2020-10-16,45-64,19.0,Women
583,2020-10-16,15-44,5.0,Women
582,2020-10-16,01-14,0.0,Women
581,2020-10-16,Under 1 year,0.0,Women
580,2020-10-16,85+,137.0,Men
578,2020-10-16,65-74,79.0,Men
577,2020-10-16,45-64,38.0,Men
576,2020-10-16,15-44,6.0,Men
575,2020-10-16,01-14,0.0,Men
574,2020-10-16,Under 1 year,0.0,Men
579,2020-10-16,75-84,182.0,Men
596,2020-10-23,01-14,0.0,Women
601,2020-10-23,85+,211.0,Women
600,2020-10-23,75-84,160.0,Women
599,2020-10-23,65-74,68.0,Women
598,2020-10-23,45-64,37.0,Women
597,2020-10-23,15-44,3.0,Women
595,2020-10-23,Under 1 year,0.0,Women
588,2020-10-23,Under 1 year,0.0,Men
593,2020-10-23,75-84,238.0,Men
589,2020-10-23,01-14,0.0,Men
590,2020-10-23,15-44,9.0,Men
594,2020-10-23,85+,199.0,Men
592,2020-10-23,65-74,132.0,Men
591,2020-10-23,45-64,69.0,Men
615,2020-10-30,85+,311.0,Women
614,2020-10-30,75-84,231.0,Women
613,2020-10-30,65-74,94.0,Women
612,2020-10-30,45-64,41.0,Women
611,2020-10-30,15-44,7.0,Women
609,2020-10-30,Under 1 year,0.0,Women
610,2020-10-30,01-14,0.0,Women
607,2020-10-30,75-84,330.0,Men
606,2020-10-30,65-74,192.0,Men
605,2020-10-30,45-64,86.0,Men
604,2020-10-30,15-44,5.0,Men
603,2020-10-30,01-14,0.0,Men
602,2020-10-30,Under 1 year,0.0,Men
608,2020-10-30,85+,301.0,Men
629,2020-11-06,85+,447.0,Women
628,2020-11-06,75-84,322.0,Women
627,2020-11-06,65-74,133.0,Women
626,2020-11-06,45-64,80.0,Women
625,2020-11-06,15-44,4.0,Women
623,2020-11-06,Under 1 year,0.0,Women
624,2020-11-06,01-14,0.0,Women
621,2020-11-06,75-84,489.0,Men
616,2020-11-06,Under 1 year,0.0,Men
617,2020-11-06,01-14,0.0,Men
622,2020-11-06,85+,407.0,Men
619,2020-11-06,45-64,123.0,Men
620,2020-11-06,65-74,213.0,Men
618,2020-11-06,15-44,8.0,Men
643,2020-11-13,85+,639.0,Women
642,2020-11-13,75-84,372.0,Women
641,2020-11-13,65-74,169.0,Women
640,2020-11-13,45-64,93.0,Women
639,2020-11-13,15-44,13.0,Women
637,2020-11-13,Under 1 year,0.0,Women
638,2020-11-13,01-14,0.0,Women
635,2020-11-13,75-84,574.0,Men
634,2020-11-13,65-74,310.0,Men
633,2020-11-13,45-64,160.0,Men
632,2020-11-13,15-44,9.0,Men
631,2020-11-13,01-14,0.0,Men
630,2020-11-13,Under 1 year,0.0,Men
636,2020-11-13,85+,500.0,Men
657,2020-11-20,85+,655.0,Women
656,2020-11-20,75-84,410.0,Women
655,2020-11-20,65-74,167.0,Women
654,2020-11-20,45-64,78.0,Women
653,2020-11-20,15-44,11.0,Women
652,2020-11-20,01-14,0.0,Women
651,2020-11-20,Under 1 year,0.0,Women
649,2020-11-20,75-84,646.0,Men
644,2020-11-20,Under 1 year,0.0,Men
645,2020-11-20,01-14,0.0,Men
650,2020-11-20,85+,569.0,Men
647,2020-11-20,45-64,165.0,Men
648,2020-11-20,65-74,328.0,Men
646,2020-11-20,15-44,11.0,Men
671,2020-11-27,85+,755.0,Women
670,2020-11-27,75-84,458.0,Women
669,2020-11-27,65-74,172.0,Women
668,2020-11-27,45-64,101.0,Women
667,2020-11-27,15-44,15.0,Women
665,2020-11-27,Under 1 year,0.0,Women
666,2020-11-27,01-14,0.0,Women
663,2020-11-27,75-84,667.0,Men
662,2020-11-27,65-74,343.0,Men
661,2020-11-27,45-64,180.0,Men
660,2020-11-27,15-44,11.0,Men
659,2020-11-27,01-14,1.0,Men
658,2020-11-27,Under 1 year,0.0,Men
664,2020-11-27,85+,668.0,Men
685,2020-12-04,85+,688.0,Women
684,2020-12-04,75-84,455.0,Women
683,2020-12-04,65-74,191.0,Women
682,2020-12-04,45-64,92.0,Women
681,2020-12-04,15-44,12.0,Women
680,2020-12-04,01-14,0.0,Women
679,2020-12-04,Under 1 year,0.0,Women
678,2020-12-04,85+,642.0,Men
676,2020-12-04,65-74,317.0,Men
675,2020-12-04,45-64,170.0,Men
674,2020-12-04,15-44,18.0,Men
673,2020-12-04,01-14,0.0,Men
672,2020-12-04,Under 1 year,0.0,Men
677,2020-12-04,75-84,575.0,Men
699,2020-12-11,85+,703.0,Women
698,2020-12-11,75-84,401.0,Women
