income,type,rate,label,label2
1400,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
1400,plus_student_loans,0.0,+ Student Loans,+ Student Loans
1500,income_tax,0.0,Income Tax,Income Tax
1500,plus_nics,0.0,+ National Insurance,Income Tax + NIC
1500,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
1500,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
1500,plus_student_loans,0.0,+ Student Loans,+ Student Loans
1600,income_tax,0.0,Income Tax,Income Tax
1600,plus_nics,0.0,+ National Insurance,Income Tax + NIC
1600,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
1600,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
1600,plus_student_loans,0.0,+ Student Loans,+ Student Loans
1700,income_tax,0.0,Income Tax,Income Tax
1700,plus_nics,0.0,+ National Insurance,Income Tax + NIC
1700,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
1700,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
1700,plus_student_loans,0.0,+ Student Loans,+ Student Loans
1800,income_tax,0.0,Income Tax,Income Tax
1800,plus_nics,0.0,+ National Insurance,Income Tax + NIC
1800,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
1800,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
1800,plus_student_loans,0.0,+ Student Loans,+ Student Loans
1900,income_tax,0.0,Income Tax,Income Tax
1900,plus_nics,0.0,+ National Insurance,Income Tax + NIC
1900,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
1900,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
1900,plus_student_loans,0.0,+ Student Loans,+ Student Loans
2000,income_tax,0.0,Income Tax,Income Tax
2000,plus_nics,0.0,+ National Insurance,Income Tax + NIC
2000,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
2000,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
2000,plus_student_loans,0.0,+ Student Loans,+ Student Loans
2100,income_tax,0.0,Income Tax,Income Tax
2100,plus_nics,0.0,+ National Insurance,Income Tax + NIC
2100,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
2100,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
2100,plus_student_loans,0.0,+ Student Loans,+ Student Loans
2200,income_tax,0.0,Income Tax,Income Tax
2200,plus_nics,0.0,+ National Insurance,Income Tax + NIC
2200,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
2200,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
2200,plus_student_loans,0.0,+ Student Loans,+ Student Loans
2300,income_tax,0.0,Income Tax,Income Tax
2300,plus_nics,0.0,+ National Insurance,Income Tax + NIC
2300,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
2300,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
2300,plus_student_loans,0.0,+ Student Loans,+ Student Loans
2400,income_tax,0.0,Income Tax,Income Tax
2400,plus_nics,0.0,+ National Insurance,Income Tax + NIC
2400,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
2400,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
2400,plus_student_loans,0.0,+ Student Loans,+ Student Loans
2500,income_tax,0.0,Income Tax,Income Tax
2500,plus_nics,0.0,+ National Insurance,Income Tax + NIC
2500,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
2500,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
2500,plus_student_loans,0.0,+ Student Loans,+ Student Loans
2600,income_tax,0.0,Income Tax,Income Tax
2600,plus_nics,0.0,+ National Insurance,Income Tax + NIC
2600,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
2600,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
2600,plus_student_loans,0.0,+ Student Loans,+ Student Loans
2700,income_tax,0.0,Income Tax,Income Tax
2700,plus_nics,0.0,+ National Insurance,Income Tax + NIC
2700,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
2700,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
2700,plus_student_loans,0.0,+ Student Loans,+ Student Loans
2800,income_tax,0.0,Income Tax,Income Tax
2800,plus_nics,0.0,+ National Insurance,Income Tax + NIC
2800,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
2800,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
2800,plus_student_loans,0.0,+ Student Loans,+ Student Loans
2900,income_tax,0.0,Income Tax,Income Tax
2900,plus_nics,0.0,+ National Insurance,Income Tax + NIC
2900,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
2900,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
2900,plus_student_loans,0.0,+ Student Loans,+ Student Loans
3000,income_tax,0.0,Income Tax,Income Tax
3000,plus_nics,0.0,+ National Insurance,Income Tax + NIC
3000,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
3000,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
3000,plus_student_loans,0.0,+ Student Loans,+ Student Loans
3100,income_tax,0.0,Income Tax,Income Tax
3100,plus_nics,0.0,+ National Insurance,Income Tax + NIC
3100,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
3100,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
3100,plus_student_loans,0.0,+ Student Loans,+ Student Loans
3200,income_tax,0.0,Income Tax,Income Tax
3200,plus_nics,0.0,+ National Insurance,Income Tax + NIC
3200,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
3200,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
3200,plus_student_loans,0.0,+ Student Loans,+ Student Loans
3300,income_tax,0.0,Income Tax,Income Tax
3300,plus_nics,0.0,+ National Insurance,Income Tax + NIC
3300,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
3300,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
3300,plus_student_loans,0.0,+ Student Loans,+ Student Loans
3400,income_tax,0.0,Income Tax,Income Tax
3400,plus_nics,0.0,+ National Insurance,Income Tax + NIC
3400,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
3400,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
3400,plus_student_loans,0.0,+ Student Loans,+ Student Loans
3500,income_tax,0.0,Income Tax,Income Tax
3500,plus_nics,0.0,+ National Insurance,Income Tax + NIC
3500,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
3500,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
3500,plus_student_loans,0.0,+ Student Loans,+ Student Loans
3600,income_tax,0.0,Income Tax,Income Tax
3600,plus_nics,0.0,+ National Insurance,Income Tax + NIC
3600,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
3600,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
3600,plus_student_loans,0.0,+ Student Loans,+ Student Loans
3700,income_tax,0.0,Income Tax,Income Tax
3700,plus_nics,0.0,+ National Insurance,Income Tax + NIC
3700,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
3700,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
3700,plus_student_loans,0.0,+ Student Loans,+ Student Loans
3800,income_tax,0.0,Income Tax,Income Tax
3800,plus_nics,0.0,+ National Insurance,Income Tax + NIC
3800,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
3800,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
3800,plus_student_loans,0.0,+ Student Loans,+ Student Loans
3900,income_tax,0.0,Income Tax,Income Tax
3900,plus_nics,0.0,+ National Insurance,Income Tax + NIC
3900,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
3900,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
3900,plus_student_loans,0.0,+ Student Loans,+ Student Loans
4000,income_tax,0.0,Income Tax,Income Tax
4000,plus_nics,0.0,+ National Insurance,Income Tax + NIC
4000,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
4000,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
4000,plus_student_loans,0.0,+ Student Loans,+ Student Loans
4100,income_tax,0.0,Income Tax,Income Tax
4100,plus_nics,0.0,+ National Insurance,Income Tax + NIC
4100,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
4100,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
4100,plus_student_loans,0.0,+ Student Loans,+ Student Loans
4200,income_tax,0.0,Income Tax,Income Tax
4200,plus_nics,0.0,+ National Insurance,Income Tax + NIC
4200,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
4200,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
4200,plus_student_loans,0.0,+ Student Loans,+ Student Loans
4300,income_tax,0.0,Income Tax,Income Tax
4300,plus_nics,0.0,+ National Insurance,Income Tax + NIC
4300,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
4300,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
4300,plus_student_loans,0.0,+ Student Loans,+ Student Loans
4400,income_tax,0.0,Income Tax,Income Tax
4400,plus_nics,0.0,+ National Insurance,Income Tax + NIC
4400,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
4400,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
4400,plus_student_loans,0.0,+ Student Loans,+ Student Loans
4500,income_tax,0.0,Income Tax,Income Tax
4500,plus_nics,0.0,+ National Insurance,Income Tax + NIC
4500,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
4500,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
4500,plus_student_loans,0.0,+ Student Loans,+ Student Loans
4600,income_tax,0.0,Income Tax,Income Tax
4600,plus_nics,0.0,+ National Insurance,Income Tax + NIC
4600,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
4600,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
4600,plus_student_loans,0.0,+ Student Loans,+ Student Loans
4700,income_tax,0.0,Income Tax,Income Tax
4700,plus_nics,0.0,+ National Insurance,Income Tax + NIC
4700,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
4700,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
4700,plus_student_loans,0.0,+ Student Loans,+ Student Loans
4800,income_tax,0.0,Income Tax,Income Tax
4800,plus_nics,0.0,+ National Insurance,Income Tax + NIC
4800,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
4800,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
4800,plus_student_loans,0.0,+ Student Loans,+ Student Loans
4900,income_tax,0.0,Income Tax,Income Tax
4900,plus_nics,0.0,+ National Insurance,Income Tax + NIC
4900,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
4900,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
4900,plus_student_loans,0.0,+ Student Loans,+ Student Loans
5000,income_tax,0.0,Income Tax,Income Tax
5000,plus_nics,0.0,+ National Insurance,Income Tax + NIC
5000,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
5000,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
5000,plus_student_loans,0.0,+ Student Loans,+ Student Loans
5100,income_tax,0.0,Income Tax,Income Tax
5100,plus_nics,0.0,+ National Insurance,Income Tax + NIC
5100,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
5100,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
5100,plus_student_loans,0.0,+ Student Loans,+ Student Loans
5200,income_tax,0.0,Income Tax,Income Tax
5200,plus_nics,0.0,+ National Insurance,Income Tax + NIC
5200,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
5200,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
5200,plus_student_loans,0.0,+ Student Loans,+ Student Loans
5300,income_tax,0.0,Income Tax,Income Tax
5300,plus_nics,0.0,+ National Insurance,Income Tax + NIC
5300,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
5300,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
5300,plus_student_loans,0.0,+ Student Loans,+ Student Loans
5400,income_tax,0.0,Income Tax,Income Tax
5400,plus_nics,0.0,+ National Insurance,Income Tax + NIC
5400,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
5400,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
5400,plus_student_loans,0.0,+ Student Loans,+ Student Loans
5500,income_tax,0.0,Income Tax,Income Tax
5500,plus_nics,0.0,+ National Insurance,Income Tax + NIC
5500,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
5500,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
5500,plus_student_loans,0.0,+ Student Loans,+ Student Loans
5600,income_tax,0.0,Income Tax,Income Tax
5600,plus_nics,0.0,+ National Insurance,Income Tax + NIC
5600,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
5600,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
5600,plus_student_loans,0.0,+ Student Loans,+ Student Loans
5700,income_tax,0.0,Income Tax,Income Tax
5700,plus_nics,0.0,+ National Insurance,Income Tax + NIC
5700,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
5700,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
5700,plus_student_loans,0.0,+ Student Loans,+ Student Loans
5800,income_tax,0.0,Income Tax,Income Tax
5800,plus_nics,0.0,+ National Insurance,Income Tax + NIC
5800,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
5800,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
5800,plus_student_loans,0.0,+ Student Loans,+ Student Loans
5900,income_tax,0.0,Income Tax,Income Tax
5900,plus_nics,0.0,+ National Insurance,Income Tax + NIC
5900,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
5900,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
5900,plus_student_loans,0.0,+ Student Loans,+ Student Loans
6000,income_tax,0.0,Income Tax,Income Tax
6000,plus_nics,0.0,+ National Insurance,Income Tax + NIC
6000,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
6000,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
6000,plus_student_loans,0.0,+ Student Loans,+ Student Loans
6100,income_tax,0.0,Income Tax,Income Tax
6100,plus_nics,0.0,+ National Insurance,Income Tax + NIC
6100,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
6100,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
6100,plus_student_loans,0.0,+ Student Loans,+ Student Loans
6200,income_tax,0.0,Income Tax,Income Tax
6200,plus_nics,0.0,+ National Insurance,Income Tax + NIC
6200,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
6200,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
6200,plus_student_loans,0.0,+ Student Loans,+ Student Loans
6300,income_tax,0.0,Income Tax,Income Tax
6300,plus_nics,0.0,+ National Insurance,Income Tax + NIC
6300,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
6300,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
6300,plus_student_loans,0.0,+ Student Loans,+ Student Loans
6400,income_tax,0.0,Income Tax,Income Tax
6400,plus_nics,0.0,+ National Insurance,Income Tax + NIC
6400,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
6400,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
6400,plus_student_loans,0.0,+ Student Loans,+ Student Loans
6500,income_tax,0.0,Income Tax,Income Tax
6500,plus_nics,0.0,+ National Insurance,Income Tax + NIC
6500,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
6500,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
6500,plus_student_loans,0.0,+ Student Loans,+ Student Loans
6600,income_tax,0.0,Income Tax,Income Tax
6600,plus_nics,0.0,+ National Insurance,Income Tax + NIC
6600,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
6600,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
6600,plus_student_loans,0.0,+ Student Loans,+ Student Loans
6700,income_tax,0.0,Income Tax,Income Tax
6700,plus_nics,0.0,+ National Insurance,Income Tax + NIC
6700,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
6700,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
6700,plus_student_loans,0.0,+ Student Loans,+ Student Loans
6800,income_tax,0.0,Income Tax,Income Tax
6800,plus_nics,0.0,+ National Insurance,Income Tax + NIC
6800,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
6800,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
6800,plus_student_loans,0.0,+ Student Loans,+ Student Loans
6900,income_tax,0.0,Income Tax,Income Tax
6900,plus_nics,0.0,+ National Insurance,Income Tax + NIC
6900,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
6900,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
6900,plus_student_loans,0.0,+ Student Loans,+ Student Loans
7000,income_tax,0.0,Income Tax,Income Tax
7000,plus_nics,0.0,+ National Insurance,Income Tax + NIC
7000,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
7000,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
7000,plus_student_loans,0.0,+ Student Loans,+ Student Loans
7100,income_tax,0.0,Income Tax,Income Tax
7100,plus_nics,0.0,+ National Insurance,Income Tax + NIC
7100,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
7100,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
7100,plus_student_loans,0.0,+ Student Loans,+ Student Loans
7200,income_tax,0.0,Income Tax,Income Tax
7200,plus_nics,0.0,+ National Insurance,Income Tax + NIC
7200,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
7200,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
7200,plus_student_loans,0.0,+ Student Loans,+ Student Loans
7300,income_tax,0.0,Income Tax,Income Tax
7300,plus_nics,0.0,+ National Insurance,Income Tax + NIC
7300,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
7300,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
7300,plus_student_loans,0.0,+ Student Loans,+ Student Loans
7400,income_tax,0.0,Income Tax,Income Tax
7400,plus_nics,0.0,+ National Insurance,Income Tax + NIC
7400,plus_PA_withdrawl,0.0,+ Personal Allowance Withdrawal,Income Tax + NIC + Taper
7400,plus_child_benefit_withdrawal,0.0,+ Child Benefit Withdrawal,+ Child Benefit Withdrawal
7400,plus_student_loans,0.0,+ Student Loans,+ Student Loans
